,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
L039P,0.81464845402312,0.860393761038769,1.10559640685177,0.938165961824064,0.967080613453711,0.811667568482468,1.13876930848538,1.02047721711929,0.855132353677327,1.05099165266843,0.632353367574769,1.01323345510475,0.841315258664397,1.08320570995334,0.840833855912986,0.809972864539599,1.11970123657163,0.757992481444767,1.16794958347668,0.983156254403951,0.780793946867102,0.704710780812431,1.0352942021832,0.929644319730951,0.869984300026607,0.937625589957806,0.722927682979595,0.831861363771787
L040P,0.693007493413703,0.641666991592897,0.987393196315266,0.87087090555383,0.908253779394101,0.807326624250844,1.08847308440665,0.935815586705533,0.728748805035696,0.977628489471108,0.502670950251181,0.985930313021002,0.719405823443468,1.07690812290352,0.803562070872549,0.53022425556031,1.02924176478609,0.711595642224732,1.09517311640981,0.927623903465653,0.736257920714142,0.70414046702444,0.997276352055432,0.891268938272836,0.79927830957694,0.861664061655412,0.680002846367737,0.779692682566561
L041P,0.763922580028841,0.817502766323064,1.04761571935849,0.906348037799601,0.917585361303157,0.788052918455282,1.11705656865827,0.940447242340951,0.797764298051347,1.02683892912909,0.656288813569413,1.00013874695544,0.790592541032128,1.07963546626519,0.816905208627428,0.715865379744129,1.08086746617152,0.818493234288379,1.16409249336257,0.941109580006239,0.762921185065554,0.717399700351818,1.01251997472399,0.892169557384894,0.833135491887369,0.898687480132417,0.724685778338802,0.823926973573773
L042P,0.596217476317816,0.704655940613346,1.0377244342753,0.885814402661189,0.923788737707943,0.783049055419711,1.08926717467817,0.941156018909104,0.767219086592244,0.975964290636124,0.625956649223796,0.989412216439538,0.701514336787133,1.0763901276973,0.789138068268789,0.693211637372729,1.04446085231915,0.742920636930898,1.09562059059346,0.937640451485356,0.714556668012822,0.750865326685494,1.01375627319353,0.861740864892518,0.80444421437847,0.879747311250864,0.691580614906611,0.794008573738992
L076P,0.767043121775085,0.885373325748542,1.09846011011712,0.91235308590174,0.968363970870355,0.803915908128124,1.12525144220347,1.032164330489,0.783183647655552,1.00614467434404,0.581871026609,1.04627646237176,0.79282464793691,1.08242929743915,0.851656578302812,0.714963243049727,1.08933609937073,0.769895722601046,1.16440690609975,0.983502810659054,0.805046999114401,0.744610580180006,1.04218591557742,0.939670345455668,0.840202829517331,0.953270374128281,0.726573819939557,0.86013651784307
L044P,0.658007377275861,0.671838717379894,1.0008862950412,0.824862843709927,0.949703147440408,0.786067494271361,1.09519338138495,1.02347842161211,0.72633751274539,0.986188054007474,0.581577225414203,0.981934520073535,0.617218751282458,1.05216340460056,0.809795901280942,0.6749534988899,1.02111822381365,0.706610035671796,1.15746708122565,0.937318405991682,0.74819152135569,0.704583020603761,1.01495045847933,0.875750578722822,0.788632621699002,0.885275672088988,0.677570496071807,0.789847309416192
L045P,0.705292015005245,0.768603646438009,1.02610359090938,0.841029818761946,0.92359336843892,0.801734826873819,1.1095273745484,1.03087284900961,0.753361543856298,1.00350803333687,0.576410009437793,1.00688658887511,0.709240177865987,1.07209982290091,0.850771550212506,0.658707445883412,1.05914600732031,0.773751829418379,1.10240929610592,0.957794107308371,0.745362669789162,0.758606962190547,1.00970454881296,0.88660573144406,0.837776176043962,0.897875525069935,0.683747930670824,0.801511168904187
L046P,0.808712427279025,0.779197021377913,1.10431364239647,0.913344124576137,0.953814922846408,0.846266402004141,1.12775509333119,0.990314606479132,0.67221794324178,1.0369313238991,0.55679938406239,1.02162754703142,0.810314474911197,1.08372134358585,0.879789528197827,0.842843317433819,1.12230651752903,0.718745410893262,1.17698768742139,0.974861648713605,0.804592902541993,0.752043679705712,1.05633173185893,0.943334593452851,0.850157080699121,0.933765542055627,0.693182286475547,0.771032571650276
L047P,0.683758325375621,0.786783907374871,1.01602142000205,0.817944802846289,0.932106507231299,0.805172432705817,1.09792645466781,0.953840889068333,0.758637267835969,0.968293827011658,0.6248169479618,0.987071213207079,0.765499275129658,1.06889148381573,0.775941427359959,0.712130951152501,1.04073523783878,0.746300609415326,1.14678910008936,0.939883813475967,0.735161961246221,0.75422131226278,1.01620750867445,0.893100787532477,0.813199397196503,0.888160335333629,0.672628573173931,0.782925331644972
L048P,0.742943148536486,0.773986347364144,1.05740960776564,0.902071369797673,0.951699399600963,0.785218635457154,1.09827336564323,0.980203594847678,0.670694536448124,1.02805338757149,0.594687939485904,1.00057205024679,0.765373053703794,1.08130307494023,0.847838953210623,0.718115030931173,1.08492454958786,0.733243078994327,1.10699592644996,0.93998082743768,0.749719635262772,0.74394277974818,1.02107077972133,0.889010451323603,0.856918694703907,0.909546780015559,0.712797726713508,0.797071363362604
