"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CTDSP1",7.1553635355083,7.19671841977971,164.490234125517,0,0,822.577793481364
"USP15",5.06516108660484,5.18283583700872,164.220972638258,0,0,822.364047700109
"TEX261",6.03625427136517,6.02553495749696,164.067405960707,0,0,821.956528588378
"CDC42",7.17004884552387,7.13532843816297,164.135614908599,0,0,821.74910079646
"PSMD12",6.12487263701337,6.15572667992296,163.87613580789,0,0,821.492138323385
"YPEL5",6.3328021882855,6.31206720856351,163.854261638685,0,0,821.391179333977
"SYNCRIP",6.56599808614172,6.546574534811,163.869247721087,0,0,821.360297882451
"CDC27",5.60400381249619,5.5396007311228,163.710882518101,0,0,821.188569105843
"ARL1",6.3658050053912,6.27068794157708,163.678118982864,0,0,820.972184437638
"PPP1R12C",6.0190698975571,5.98891737616536,163.634579943799,0,0,820.951229292752
"GGNBP2",5.83476908591691,5.79173094949718,163.609178224066,0,0,820.923635322967
"KCMF1",5.74517487449803,5.69493453113317,163.148492819055,0,0,819.859317634973
"STT3B",7.46334035407429,7.357314010973,163.291246005148,0,0,819.637954251002
"PPP2CA",6.6745141046111,6.59740876242033,163.090970641822,0,0,819.509682485835
"PRKAG1",5.42516905288512,5.41947676421096,162.920765019179,0,0,819.34781780196
"ARL8B",5.99908643309947,5.95985021184242,162.937925470046,0,0,819.325684060762
"YTHDC1",5.30413300477004,5.39489529852668,162.773254805076,0,0,819.0014584867
"ZDHHC3",5.49902023477759,5.53294530040306,162.766482480864,0,0,818.984432483727
"TM9SF4",6.34749557355988,6.35551630961073,162.812316324915,0,0,818.95203241683
"RPN2",8.77439303325476,8.60279197261199,163.354498223318,0,0,818.922821308252
"SRP72",6.45792538371737,6.36322691392485,162.809882000994,0,0,818.916918209278
"HSPD1",9.4098237732645,9.18840782459913,163.539304390627,0,0,818.812183175608
"CALM1",7.51893656753624,7.57445162227018,162.904791069973,0,0,818.705981859832
"APH1A",7.79246233606618,7.67089601799049,162.940715096397,0,0,818.633271179365
"ELAVL1",5.97326738759102,5.96166046504042,162.54698281745,0,0,818.412939189035
"HNRNPU",8.55380307991811,8.39322667895874,162.968878929128,0,0,818.19518270748
"CTBP1",6.07672115943596,6.05620708830634,162.382428223601,0,0,818.005390234487
"MYL6",8.33466988933754,8.35491604728038,162.801938456156,0,0,817.962764605563
"PSME4",6.21058011993552,6.25190033426984,162.307091077706,0,0,817.79942354736
"GPBP1L1",6.48307251432404,6.59750536933118,162.279578609472,0,0,817.664388464312
"HNRNPF",7.61820618548024,7.61005918257713,162.426495656347,0,0,817.532071332712
"ARF1",9.14398771548867,8.88310216685939,162.865639642824,0,0,817.485613585261
"CLTC",8.52498170976368,8.41804260713479,162.602421963973,0,0,817.362858816663
"STAU1",7.70638316403003,7.67273878797314,162.3004219891,0,0,817.186311811777
"MTCH2",7.37389577340528,7.36811263938197,162.2068816702,0,0,817.147189383623
"UQCRC1",7.8508163742923,7.91310827067959,162.013343884243,0,0,816.428702813782
"EIF4G1",8.50712652318525,8.47715741800486,162.059521735827,0,0,816.10790717399
"ATP6AP2",7.06342405269862,6.89184146585425,161.703388640072,0,0,816.10686388968
"RPS14",9.11967198240942,9.07647107632583,161.733510112952,0,0,814.866962556064
"NCLN",6.81917776431532,6.79387349873057,161.08135968334,0,0,814.730551670576
"BFAR",5.43142350068088,5.42883104813505,160.900379395973,0,0,814.579718423265
"PHB2",7.18355312817887,7.32343753901734,160.925528641546,0,0,814.216145852635
"ADIPOR1",7.48842740748134,7.25558226171684,160.888117376725,0,0,813.980218079227
"NUDCD3",6.08537685462585,6.07116391182741,160.528959401668,0,0,813.619443326828
"CFL1",8.39342674334804,8.31274438231496,160.947023674992,0,0,813.574525794832
"CAP1",7.34240785183904,7.35002041825856,160.639776770137,0,0,813.465821082492
"GORASP2",6.64794767244473,6.51216051951095,160.52202429652,0,0,813.460669758917
"PSMD3",7.02162781649134,6.96464589313885,160.540020894929,0,0,813.370790832448
"NDUFV1",7.56756363610926,7.56410279098601,160.481427452694,0,0,812.974699717794
"PCBP2",7.1109309637735,7.14780102325002,160.101957979311,0,0,812.29268500642
"ASCC2",6.02178563165074,5.99674937379437,159.751286875019,0,0,811.777653080254
"SRP68",6.38597041543711,6.37280837832798,159.776593919311,0,0,811.757499763497
"CCNY",6.44772769080705,6.5364558760842,159.753521006077,0,0,811.68651982617
"TAX1BP1",7.17173622965071,7.10015694540627,159.719841005617,0,0,811.355627080003
"BTF3",8.2620266760409,8.21609205770587,159.935005221415,0,0,811.266599265963
"DCTN4",5.90041296840775,5.77903152373531,159.523124961222,0,0,811.25213495141
"ACP1",6.40892508264184,6.42536060945109,159.311892930854,0,0,810.640085189233
"PPIG",5.67528754720804,5.66667033555236,159.206926866926,0,0,810.52321159871
"ETF1",6.41720761872172,6.39888721687425,159.147977066657,0,0,810.245177897834
"CENPB",6.62968196125781,6.60999218975719,159.15724427252,0,0,810.208481919113
"SCYL1",6.60939238529829,6.68046303356873,159.064020733794,0,0,809.990816537364
"IK",6.56030773810514,6.46565089891172,158.857176622416,0,0,809.508023513536
"MAPK1IP1L",5.88700358722325,5.88812110486316,158.581512321528,0,0,808.992975824872
"PAK2",6.46425308477856,6.38213745969862,158.57858307462,0,0,808.864787849728
"CCT7",7.49698561855416,7.51210888470112,158.73886548707,0,0,808.85551331176
"VDAC1",8.18087836180009,7.99240649226024,158.712029174422,0,0,808.404580508517
"RNF114",6.04045981121692,6.07997987736373,158.29835972029,0,0,808.284826009525
"NAP1L4",6.52778933822886,6.55059419231008,158.299088172076,0,0,808.174177132217
"FAM32A",6.18989030929085,6.2321467603042,158.245653779638,0,0,808.128031663056
