,amino_acid,lipid,nucleotide,Angiogenesis,Antigen processing machinery,CD8 T effector,Cell cycle,Cell cycle regulators,DNA damage repair,DNA replication,EMT_1,EMT_2,EMT_3,Fanconi anemia,FGFR3-related genes,Homologous recombination,Immune checkpoint,Mismatch repair,Nucleotide excision repair,Pan-F-TBRS,WNT target
TCGA.DD.AAC8.01A.11R.A41C.07,0.54398330366043,0.507817714144596,0.349370836645475,-0.161577105452856,0.447350902101046,-0.0980679163745287,0.145665758453572,0.104823173188722,0.0933670413003154,0.0982760162507887,-0.0831151976875951,-0.295778800043145,-0.117042880495049,-0.0121766343163787,-0.281850783991052,0.0373823597206625,-0.298373965875887,0.101252482710437,0.210460767297422,0.103421064776885,0.262614574874374
TCGA.BC.A216.01A.11R.A155.07,0.662791658149513,0.628827150824435,0.499197068231082,-0.390317549224634,0.477228194808898,0.257551252400784,0.210644287275461,0.138915171076114,0.0631931522533925,0.202498165612235,0.172672900533284,-0.290908040776007,-0.0930619594280194,0.00641941365492012,-0.107272527596755,0.04946441427255,-0.00126520899630702,0.158201459455994,0.212423127473574,0.200262837728389,0.149808208266712
TCGA.DD.AADV.01A.11R.A39D.07,0.850678678719504,0.709906412818757,0.524982667265553,-0.00833429224080029,0.429187729381817,-0.114267388683669,0.17122333752039,0.0878020822009527,0.0780960201992745,0.188547334199709,0.136807163660358,-0.151520735976125,-0.211807831917502,-0.0372765033359656,-0.214027263870827,0.0152973662657712,-0.290678948689962,0.183637693894485,0.228557922223716,0.207709774037842,0.0241554276418784
TCGA.DD.AAE2.01A.11R.A41C.07,0.824973671721846,0.768003750542071,0.649252237128163,0.0587801744994312,0.492627012182301,0.134219833510229,0.126976570574199,0.139243471032174,0.0562818380466202,0.0995676183603639,0.114959147102627,-0.187234492173867,-0.305670820565924,-0.0247287229003133,-0.214283995910417,-0.0629758672464241,-0.234186051888906,0.0978825288347442,0.193496879600094,0.152266565840344,0.0617835553260123
TCGA.G3.AAV7.01A.11R.A38B.07,0.421313631963726,0.493942106633702,0.584844390070364,-0.171174776255023,0.495115063212503,-0.15294238086724,0.24074766613543,0.069273225128935,0.0617775304690191,0.194821884198418,0.107409516466901,-0.103567472811173,-0.145425056294557,0.00823997506833165,-0.180543479525366,0.0391091032691208,-0.222025225645124,0.20225031745376,0.206749795877933,0.194286087877737,0.174982585479835
TCGA.CC.A9FU.01A.11R.A37K.07,0.562648596474407,0.513332907112716,0.414261727818816,-0.161087465647131,0.419146337590667,-0.0834810209331716,0.200912100261547,0.000100467701980537,0.10298731144969,0.216701547642071,-0.0996080013720764,-0.291944192431525,-0.225789571697919,0.0251750900946533,-0.101712146378621,0.0489849323405854,-0.300313995589428,0.172009507430018,0.255380817783528,0.0880636433429425,0.215407010597958
TCGA.5C.A9VH.01A.11R.A37K.07,0.698699150089886,0.596960706925509,0.450343786580588,0.185285687499286,0.444405859153176,-0.0945311644544739,0.119263792481194,0.106182749481517,0.0503404445696107,0.0731915656171053,0.247667251433763,-0.17694495604324,-0.150814352902968,-0.0565897763792037,-0.149847596244381,-0.0601625027710533,-0.290796131692793,0.0947697917812608,0.171131243994685,0.278993937447048,0.147824979586843
TCGA.WX.AA44.01A.11R.A39D.07,0.539815207342018,0.64838922625543,0.490964445428622,-0.21200153471112,0.436870522423756,-0.0143059711690402,0.164813540358706,0.107146849681741,0.030466993041426,0.133847165202322,0.150261336588752,-0.219710024851772,-0.136591484079453,-0.0358625980312939,-0.116208240959727,-0.0659326725200608,-0.294637130118932,0.0753020783085761,0.162113664353654,0.15252086101072,0.110374484638231
TCGA.BC.A10Y.01A.11R.A131.07,0.698177425443391,0.663210539990144,0.534809202962247,-0.123769792293536,0.456888816785741,0.0420281467259106,0.217596428404625,0.0329287584115441,0.115790739614484,0.227420681984795,0.093539964352463,-0.201829085849809,-0.241152820756863,0.0516544400377483,-0.319588030963956,0.112155672273327,-0.296212590490331,0.200668416897255,0.263246275786737,0.191415284943417,0.183701890565847
TCGA.DD.A1EG.01A.11R.A213.07,0.659653029283436,0.638412535588735,0.624479277267253,-0.0417816839748209,0.480667028660984,0.0392843282057463,0.161596465755601,0.141119159916684,0.0724802171041771,0.139767037310775,0.1803907111464,-0.156343520690009,-0.147218126673705,-0.04559435929823,-0.200348572338211,-0.0185461127375966,-0.24885612718357,0.121514433441776,0.193358392099034,0.174484352289235,0.224058163318114
