node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
AK2,NT5E,9606.ENSP00000499935,9606.ENSP00000257770,0.042,0,0,0,0.045,0,0.65,0.19,0.706
AK2,DCK,9606.ENSP00000499935,9606.ENSP00000286648,0,0,0,0,0.055,0,0.907,0.198,0.923
AK2,RRM1,9606.ENSP00000499935,9606.ENSP00000300738,0.042,0,0,0,0.097,0,0.793,0.242,0.846
AK2,ENTPD3,9606.ENSP00000499935,9606.ENSP00000301825,0,0,0,0,0,0,0.673,0.164,0.715
AK2,DTYMK,9606.ENSP00000499935,9606.ENSP00000304802,0,0,0,0,0.111,0.091,0.287,0.594,0.735
AK2,NME1,9606.ENSP00000499935,9606.ENSP00000337060,0.053,0,0,0,0.145,0,0.713,0.266,0.807
AK2,ENTPD2,9606.ENSP00000499935,9606.ENSP00000347213,0,0,0,0,0,0,0.906,0,0.906
AK2,RRM2,9606.ENSP00000499935,9606.ENSP00000353770,0,0,0,0,0.072,0,0.739,0.182,0.785
AK2,GUK1,9606.ENSP00000499935,9606.ENSP00000355689,0,0,0,0,0.134,0.291,0.184,0.524,0.73
AK2,ENTPD1,9606.ENSP00000499935,9606.ENSP00000360250,0,0,0,0,0,0,0.673,0.16,0.714
AK2,ENTPD8,9606.ENSP00000499935,9606.ENSP00000360561,0,0,0,0,0,0,0.673,0.135,0.705
AK2,APRT,9606.ENSP00000499935,9606.ENSP00000367615,0.084,0,0,0,0.167,0,0.934,0.442,0.968
AK2,NT5M,9606.ENSP00000499935,9606.ENSP00000373674,0,0,0,0,0,0,0.684,0.621,0.875
AK2,NME2,9606.ENSP00000499935,9606.ENSP00000376886,0.053,0,0,0,0.12,0.232,0.713,0.303,0.849
AK2,AMPD3,9606.ENSP00000499935,9606.ENSP00000379802,0,0,0,0,0.057,0,0.65,0.32,0.756
AK2,AMPD1,9606.ENSP00000499935,9606.ENSP00000430075,0,0,0,0,0.057,0,0.65,0.266,0.736
AK2,AMPD2,9606.ENSP00000499935,9606.ENSP00000499465,0,0,0,0,0.064,0,0.65,0.344,0.766
AK5,NME4,9606.ENSP00000346577,9606.ENSP00000219479,0.053,0,0,0,0.08,0,0.716,0.282,0.799
AK5,NT5C1A,9606.ENSP00000346577,9606.ENSP00000235628,0,0,0,0,0.075,0,0.689,0.081,0.712
AK5,RRM2B,9606.ENSP00000346577,9606.ENSP00000251810,0,0,0,0,0.046,0,0.738,0.051,0.742
AK5,NT5E,9606.ENSP00000346577,9606.ENSP00000257770,0.042,0,0,0,0.101,0,0.65,0.196,0.725
AK5,AK7,9606.ENSP00000346577,9606.ENSP00000267584,0,0,0,0,0.084,0.089,0.4,0.734,0.849
AK5,DCK,9606.ENSP00000346577,9606.ENSP00000286648,0,0,0,0,0.055,0,0.91,0.144,0.921
AK5,RRM1,9606.ENSP00000346577,9606.ENSP00000300738,0.042,0,0,0,0,0,0.795,0.203,0.83
AK5,ENTPD3,9606.ENSP00000346577,9606.ENSP00000301825,0,0,0,0,0.075,0,0.675,0.158,0.725
AK5,NME1,9606.ENSP00000346577,9606.ENSP00000337060,0.053,0,0,0,0.08,0,0.716,0.219,0.781
AK5,NT5C1B,9606.ENSP00000346577,9606.ENSP00000352904,0,0,0,0,0.055,0,0.689,0.081,0.706
AK5,AMPD1,9606.ENSP00000346577,9606.ENSP00000430075,0,0,0,0,0.109,0,0.65,0.172,0.719
AK5,AMPD3,9606.ENSP00000346577,9606.ENSP00000379802,0,0,0,0,0.067,0,0.65,0.255,0.736
AK5,AMPD2,9606.ENSP00000346577,9606.ENSP00000499465,0,0,0,0,0.079,0,0.65,0.247,0.736
AK5,RRM2,9606.ENSP00000346577,9606.ENSP00000353770,0,0,0,0,0.046,0,0.738,0.051,0.742
AK5,NME2,9606.ENSP00000346577,9606.ENSP00000376886,0.053,0,0,0,0.08,0,0.716,0.273,0.796
AK5,ENTPD2,9606.ENSP00000346577,9606.ENSP00000347213,0,0,0,0,0.055,0,0.907,0.115,0.915
AK5,APRT,9606.ENSP00000346577,9606.ENSP00000367615,0.084,0,0,0,0.14,0,0.934,0.415,0.965
AK7,NME4,9606.ENSP00000267584,9606.ENSP00000219479,0.053,0,0,0,0.08,0,0.713,0.162,0.763
AK7,RRM2B,9606.ENSP00000267584,9606.ENSP00000251810,0,0,0,0,0,0,0.739,0.073,0.748
AK7,AMPD2,9606.ENSP00000267584,9606.ENSP00000499465,0,0,0,0,0.057,0,0.65,0.184,0.707
AK7,AMPD3,9606.ENSP00000267584,9606.ENSP00000379802,0,0,0,0,0.057,0,0.65,0.199,0.712
AK7,AMPD1,9606.ENSP00000267584,9606.ENSP00000430075,0,0,0,0,0.057,0,0.65,0.224,0.721
AK7,RRM2,9606.ENSP00000267584,9606.ENSP00000353770,0,0,0,0,0,0,0.739,0.073,0.748
AK7,NME2,9606.ENSP00000267584,9606.ENSP00000376886,0.053,0,0,0,0.08,0,0.713,0.135,0.755
