node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADSS2	HPRT1	9606.ENSP00000355493	9606.ENSP00000298556	0.111	0	0	0	0.138	0	0.911	0.517	0.963
ADSS2	RRM1	9606.ENSP00000355493	9606.ENSP00000300738	0	0	0	0	0.101	0	0	0.461	0.495
ADSS2	ENTPD3	9606.ENSP00000355493	9606.ENSP00000301825	0	0	0	0	0	0	0.900	0.156	0.912
ADSS2	DTYMK	9606.ENSP00000355493	9606.ENSP00000304802	0.109	0	0	0	0.078	0	0	0.404	0.468
ADSS2	PFAS	9606.ENSP00000355493	9606.ENSP00000313490	0	0	0	0	0.049	0	0	0.489	0.493
ADSS2	TYMS	9606.ENSP00000355493	9606.ENSP00000315644	0	0	0	0	0.045	0	0	0.528	0.530
ADSS2	IMPDH2	9606.ENSP00000355493	9606.ENSP00000321584	0.079	0	0	0	0.401	0	0.910	0.796	0.988
ADSS2	ENTPD5	9606.ENSP00000355493	9606.ENSP00000335246	0	0	0	0	0	0	0.900	0.284	0.925
ADSS2	NT5C2	9606.ENSP00000355493	9606.ENSP00000339479	0	0	0	0	0.044	0	0.900	0.230	0.920
ADSS2	IMPDH1	9606.ENSP00000355493	9606.ENSP00000345096	0.079	0	0	0	0.401	0	0.910	0.669	0.981
ADSS2	ENTPD4	9606.ENSP00000355493	9606.ENSP00000351520	0	0	0	0	0	0	0.900	0.129	0.909
ADSS2	NT5C1B	9606.ENSP00000355493	9606.ENSP00000352904	0.044	0	0	0	0.070	0.071	0.900	0.108	0.912
ADSS2	PNP	9606.ENSP00000355493	9606.ENSP00000354532	0	0	0	0	0.042	0	0	0.557	0.557
ADSS2	TK1	9606.ENSP00000355493	9606.ENSP00000468425	0	0	0	0	0.042	0	0	0.410	0.410
ADSS2	DPYD	9606.ENSP00000355493	9606.ENSP00000359211	0.057	0	0	0	0.162	0	0	0.331	0.425
ADSS2	NME2	9606.ENSP00000355493	9606.ENSP00000376886	0.060	0	0	0	0.057	0.225	0	0.283	0.442
ADSS2	GUK1	9606.ENSP00000355493	9606.ENSP00000355689	0.042	0	0	0	0.074	0	0	0.432	0.453
ADSS2	CMPK1	9606.ENSP00000355493	9606.ENSP00000360939	0.042	0	0	0	0.137	0	0	0.431	0.489
ADSS2	CTPS2	9606.ENSP00000355493	9606.ENSP00000401264	0.102	0.017	0	0	0.245	0	0	0.407	0.563
ADSS2	GMPR2	9606.ENSP00000355493	9606.ENSP00000454038	0.079	0	0	0	0.401	0	0.145	0.247	0.597
ADSS2	APRT	9606.ENSP00000355493	9606.ENSP00000367615	0	0	0	0	0.141	0.299	0	0.674	0.787
ADSS2	GMPS	9606.ENSP00000355493	9606.ENSP00000419851	0.120	0	0	0	0.158	0.143	0	0.769	0.834
ADSS2	PAICS	9606.ENSP00000355493	9606.ENSP00000382595	0.120	0	0	0	0.602	0.095	0	0.604	0.858
ADSS2	ENTPD8	9606.ENSP00000355493	9606.ENSP00000360561	0	0	0	0	0	0	0.900	0.072	0.903
ADSS2	NT5M	9606.ENSP00000355493	9606.ENSP00000373674	0	0	0	0	0	0	0.900	0.081	0.904
ADSS2	ENTPD1	9606.ENSP00000355493	9606.ENSP00000360250	0	0	0	0	0	0	0.900	0.120	0.908
