0	1	2	3	4	5	6	7	8	9	10	11	12	13
ABHD10	0.14158	0.20622	0.14722	0.07877	0.08318	0.04081	0.11102	0.05388	0.26354	0.20649	0.09979	0.14362	0.06243	0.00169
ABHD11	0.12509	0.19739	0.25314	0.12125	0.1486	0.17167	0.16632	0.26823	0.11338	0.14287	0.20229	0.23959	0.15455	0.12992
ABHD12	0.39201	0.4024	0.08578	0.04323	0.0959	0.0515	0.33633	0.19109	0.13474	0.36031	0.13016	0.15352	0.26567	0.14356
ABHD12B	0.00025	0.00018	0.00053	0	0.00051	0	0	0	0.00098	0.00039	0.00086	0	0	0
ABHD13	0.0528	0.08904	0.07027	0.01381	0.05646	0.00034	0.0302	0.0496	0.02858	0.10566	0.04638	0.02504	0.10462	0.00484
ABHD14A	0.05333	0.1087	0.07531	0.01641	0.11915	0.05666	0.0384	0.10752	0.27379	0.11693	0.01573	0.06775	0.31213	0.21285
ABHD14B	0.37656	0.11694	0.16646	0.05586	0.13609	0.06605	0.09211	0.2328	0.30087	0.35127	0.23753	0.26919	0.24102	0.20655
ABHD15	0.08126	0.1622	0.33697	0.21949	0.19095	0.39075	0.16838	0.18187	0.16379	0.0906	0.35569	0.2007	0.18742	0.41825
ABHD16A	0.12906	0.10928	0.09873	0.06767	0.06999	0.01666	0.05255	0.08201	0.04812	0.24021	0.15018	0.10288	0.12181	0.16016
ABHD17A	0.05022	0.01848	0.15012	0.12933	0.18273	0.04654	0.0561	0.07267	0.14461	0.11624	0.10418	0.09333	0.07877	0.148
ABHD17B	0.03531	0.05868	0.01986	0.01057	0.08652	0.02918	0.02889	0.02373	0.03619	0.11512	0.04459	0.03743	0.15756	0.0604
ABHD17C	0.04876	0.08603	0.06882	0.03421	0.02848	0.00546	0.01554	0	0.00914	0.107	0.14593	0.03676	0	0
ABHD2	0.3682	0.69938	0.84472	0.69465	0.29328	0.35761	0.41456	0.0997	0.36077	0.59616	0.68362	0.7466	0.14843	0.12711
ABHD3	0.10047	0.04253	0.03795	0.01633	0.04115	0.0283	0.03872	0.02839	0.07408	0.0775	0.02713	0.07865	0.07326	0.00487
ABHD4	0.05097	0.08574	0.07964	0.01513	0.01698	0.02517	0.03919	0.05561	0.02503	0.04486	0.0959	0.03274	0.02558	0.03956
ABHD5	0.08589	0.15096	0.12126	0.04259	0.08555	0.01861	0.07611	0.11032	0.14797	0.08775	0.15045	0.07201	0.13869	0.25896
ABHD6	0.0711	0.093	0.17747	0.07583	0.01883	0.03368	0.07359	0.0025	0.01253	0.14182	0.16076	0.16988	0.00885	0.00637
ABHD8	0.01528	0.03002	0.03358	0.04284	0.00477	0.00521	0.01283	0.0014	0.00861	0.0104	0.03399	0.01419	0.00133	0.05568
ABI1	0.3112	0.18593	0.18505	0.08328	0.29309	0.08467	0.21337	0.11146	0.22907	0.31529	0.15131	0.14162	0.20989	0.23892
ABI2	0.1563	0.33659	0.56127	0.37616	0.33634	0.75032	0.36792	0.30176	0.29751	0.32257	0.6278	0.27642	0.22132	0.38788
ABI3	0.00103	0.00981	0.00992	0.01674	0.24087	0.07683	0.17495	0.0212	0.48234	0.13645	0	0.0139	0.13851	0.10588
ABL1	0.0689	0.08555	0.0888	0.03002	0.05981	0.02965	0.0544	0.03658	0.04443	0.06338	0.04536	0.17118	0	0.08584
ABL2	0.47607	0.83915	1.91575	1.56046	1.22333	3.13569	1.43223	1.36588	1.01618	0.59231	1.88645	1.4328	1.23631	1.41619
ABLIM1	0.22871	0.40941	0.22822	0.13331	0.2442	0.06516	0.14256	0.01469	0.28188	0.29162	0.21369	0.54306	0.09725	0.17377
ABLIM2	0.03731	0.02285	0.03252	0.01324	0.00179	0	0.00489	0	0.00239	0.0192	0.02996	0.03269	0	0
ABLIM3	0.06044	0.11843	0.11072	0.04888	0.02394	0.09576	0.06062	0.01729	0.0136	0.12146	0.11215	0.17403	0.05566	0.01056
ABR	0.00025	0.00856	0.00116	0.00249	0.05661	0.01154	0.18042	0.02429	0.21299	0	0.00966	0.02753	0.02291	0.00482
ABRACL	0.00466	0.07336	0.02048	0.00316	0.17396	0.03734	0.08233	0.0819	0.27852	0.02598	0.03328	0.03721	0.16397	0.06357
ABT1	0.08987	0.06548	0.04705	0.05134	0.04542	0.04277	0.03481	0.03252	0.09126	0.10007	0.01849	0.10436	0.05299	0
ABTB1	0.04332	0.05952	0.14938	0.1203	0.07534	0.01092	0.10332	0.1097	0.08719	0.04631	0.15863	0.10044	0.18598	0.10997
ABTB2	0.03433	0.03145	0.03637	0	0.0049	0.00044	0.00689	0.00134	0	0.04182	0.01855	0.00144	0	0.05612
ACAA1	1.16357	0.62031	0.60726	0.2506	0.23657	0.18246	0.3188	0.17215	0.17136	0.96945	0.60408	0.99646	0.27011	0.13744
ACAA2	0.45915	0.75664	0.60718	0.40138	0.24948	0.19396	0.2662	0.19941	0.52442	0.45701	0.53374	0.93289	0.27511	0.03503
ACACB	0.06293	0.15988	0.80706	0.55907	0.05039	0.1624	0.13525	0.03432	0.03351	0.07542	0.72675	0.31302	0.02926	0
ACAD10	0.14828	0.3015	0.1783	0.02455	0.06174	0.02318	0.05983	0.06988	0.0447	0.19619	0.0879	0.12202	0.04428	0.00244
ACAD8	0.07798	0.05961	0.08606	0.05866	0.03461	0.01184	0.02051	0.04055	0.02483	0.11629	0.0869	0.01054	0.03123	0.02035
ACAD9	0.13585	0.2203	0.15787	0.07788	0.05099	0.04128	0.16071	0.05867	0.21322	0.17047	0.20492	0.12888	0.10391	0.00421
ACADL	0.0173	0.10458	0.02123	0.01332	0.00902	0	0.01122	0	0	0.00247	0.03602	0.02478	0	0
ACADM	0.32511	0.59186	0.42115	0.26454	0.16265	0.10497	0.2047	0.27999	0.35826	0.25501	0.27871	0.3287	0.31787	0.17969
ACADS	0.16949	0.15553	0.15465	0.06116	0.07141	0.04124	0.04267	0.02338	0.12298	0.18155	0.11168	0.18832	0.0685	0.14723
ACADSB	1.01331	1.27624	0.42781	0.23094	0.20926	0.1449	0.42213	0.09063	0.16106	0.91645	0.40189	0.33361	0.05808	0.12248
ACADVL	0.56071	0.48432	1.10681	0.39236	0.2815	0.39773	0.31887	0.8452	0.7465	1.02074	1.18623	1.23593	1.07898	0.18874
ACAP1	0.00825	0.0073	0.00503	0.01627	0.40614	0.0969	0.01271	0.11847	0.48602	0.00927	0.02679	0.07702	0.38341	0.49046
ACAP2	0.23594	0.64426	0.29872	0.12999	0.47718	0.11506	0.43292	0.20596	0.54322	0.3319	0.27785	0.3731	0.28568	0.2227
ACAP3	0.04152	0.10053	0.15885	0.0707	0.05551	0.02973	0.05507	0.07544	0.1768	0.03389	0.2154	0.18663	0.24864	0.05448
ACAT1	0.51948	0.5586	0.79914	0.58292	0.11556	0.09711	0.21203	0.14982	0.11616	0.35658	0.698	0.54395	0.10803	0.06916
ACAT2	0.5632	0.31884	0.19852	0.07186	0.11165	0.04257	0.08659	0.03297	0.18988	0.2837	0.13727	0.13328	0.01253	0.26982
ACBD3	0.29433	0.41123	0.42738	0.28664	0.29305	0.24152	0.40585	0.61163	0.4337	0.60646	0.45755	0.35004	0.75256	0.26672
ACBD4	0.04904	0.03646	0.08516	0.05869	0.01841	0.00915	0.02353	0.02953	0.01733	0.04228	0.08806	0.01554	0.01465	0.00618
ACBD5	0.33808	0.29183	0.34768	0.16965	0.12808	0.08736	0.1192	0.11898	0.15402	0.2011	0.38709	0.06398	0.0823	0.06658
ACBD7	0.02357	0.05951	0.19373	0.11141	0.06234	0.25364	0.08348	0.07058	0.06785	0.04173	0.25788	0.15108	0.07057	0.182
ACCS	0.13389	0.01982	0.0398	0.01124	0.02868	0.0055	0.02235	0.04196	0.04171	0.11421	0.06347	0.10536	0.02369	0
ACD	0.1172	0.07769	0.06152	0.01318	0.04823	0.02158	0.09205	0.0232	0.0983	0.12912	0.09381	0.0892	0.06408	0.09475
ACE	0	0.0016	0.00139	0	0.00492	0	0.02511	0	0	0.01691	0	0	0	0
ACE2	0	0.00433	0	0	0.02746	0.01002	0.00197	0.00422	0	0	0	0.18968	0.00119	0
ACER3	0.70536	1.21427	2.58429	2.28936	1.70499	3.9811	2.06182	1.98959	1.45086	0.82127	2.55733	2.01405	1.6959	2.15105
ACHE	0.00016	0.05027	0	0	0.00379	0	0.01616	0.01084	0	0	0	0	0.01135	0
ACIN1	0.20057	0.51332	0.6106	0.28057	0.56307	0.81778	0.76362	0.57135	0.98257	0.30193	0.57834	0.64538	0.64518	1.08905
ACKR2	0.02204	0.00677	0.02747	0.01486	0.0141	0.01932	0.00803	0.00819	0.00191	0.05088	0.01451	0.07762	0.00342	0.07444
ACKR3	0.00053	0.00061	0.01825	0.00414	0	0	0.00156	0	0	0.06074	0.00252	0	0	0
ACLY	0.18177	0.2976	0.17662	0.06018	0.19779	0.05243	0.1662	0.08898	0.22881	0.18584	0.17329	0.22537	0.12119	0.09554
ACMSD	0.04483	0.04324	0.0272	0.027	0.00533	0.01196	0.01003	0.00265	0.0053	0.04828	0.00568	0	0.00342	0
ACO1	0.17506	0.15471	0.18917	0.07396	0.03336	0.01883	0.05544	0.0204	0.0223	0.23606	0.11966	0.10011	0.01164	0.14986
ACO2	0.3353	0.44573	0.17666	0.10283	0.1525	0.05333	0.18805	0.2936	0.26198	0.27107	0.18699	0.20682	0.40205	0.42713
ACOT11	0.00809	0.0114	0.00461	0.00206	0.00207	0	0.01183	0	0	0.01256	0.00086	0	0	0
ACOT12	0.18223	0.34919	0.1927	0.05225	0.02711	0.09404	0.058	0.0095	0.00411	0.14244	0.30252	0.29614	0.03246	0.00256
ACOT13	0.40639	0.30286	0.11946	0.067	0.12535	0.14158	0.10767	0.05865	0.15003	0.37295	0.15996	0.89984	0.09352	0.05068
ACOT2	0.12273	0.16986	0.08182	0.05295	0.03731	0.0081	0.04514	0	0.00203	0.08177	0.11039	0.0587	0.0029	0
ACOT4	0.0526	0.05558	0.06857	0.02441	0.01394	0	0.02922	0	0.01829	0.08234	0.0729	0.08419	0	0
ACOT7	0.15053	0.29019	0.08059	0.05094	0.08037	0.05176	0.07557	0.06087	0.61673	0.084	0.17328	0.03888	0.00275	0.01065
ACOT8	0.10072	0.071	0.07054	0.01618	0.03201	0.03422	0.00615	0.0917	0.15427	0.21385	0.06259	0.13686	0.04445	0.06975
ACOT9	0.16903	0.28254	0.52237	0.37112	0.35554	0.72107	0.43473	0.32278	0.38404	0.22987	0.50286	0.52673	0.24616	0.40126
ACOX1	0.51314	0.42914	0.47144	0.28376	0.14369	0.24504	0.23508	0.14362	0.13661	0.25265	0.40083	0.47014	0.08627	0.15863
ACOX2	0.0695	0.21157	0.16775	0.04329	0.0246	0.00276	0.02524	0.01787	0.00098	0.09626	0.1049	0.18927	0.00316	0
ACOX3	0.06608	0.03316	0.15064	0.09708	0.05796	0.01582	0.01989	0.03665	0.08484	0.08519	0.11982	0.12123	0.05984	0.06887
ACOXL	0	0	0	0	0.01513	0	0	0.07069	0.01289	0	0.0354	0	0.12083	0.00497
ACP1	0.2984	0.26246	0.21513	0.04982	0.13872	0.08373	0.13016	0.252	0.37977	0.38894	0.27208	0.20174	0.26545	0.12911
ACP2	0.10534	0.13053	0.17842	0.10052	0.02827	0.03277	0.21451	0.11525	0.07553	0.09115	0.15228	0.10229	0.1156	0.1012
ACP5	0.0029	0.0012	0.01067	0.02665	0.01809	0.00093	0.08888	0.00268	0.00504	0.00164	0.01234	0.00468	0.0088	0.11138
ACP6	0.05575	0.09085	0.06425	0.02429	0.05047	0.01793	0.02263	0.00456	0.01809	0.07373	0.09135	0.13009	0.01925	0
ACPP	0.00243	0.00582	0.00464	0.00154	0.00437	0.0024	0.02937	0.00106	0.0016	0.00329	0.00673	0.00152	0	0
ACR	0.00607	0.00231	0.00981	0.00299	0	0	0	0	0	0.05507	0	0.02171	0	0
ACRBP	0.00679	0.00226	0.0021	0	0.00027	0.00225	0.05469	0	0.00102	0	0	0	0	0.09665
ACSBG1	0	0.02481	0	0	0.00616	4e-05	0.00203	0	0	0	0	0	0	0
ACSF2	0.27118	0.08457	0.16633	0.09366	0.03794	0.01952	0.06417	0.03229	0.05166	0.16424	0.17328	0.25028	0.02594	0.18353
ACSF3	0.0435	0.00408	0.02398	0.01713	0.03623	0.01248	0.02801	0.04324	0.03074	0.04854	0.08109	0.00995	0.01899	0.08628
ACSL1	0.90093	0.94623	0.86281	0.38612	0.18194	0.1165	0.39023	0.02439	0.11496	0.65884	0.67068	0.5548	0.00592	0.0424
