Malignant cells	Immune cells	Stromal cells
AGA	0.06455	0.07854	0.10548
AGAP1	0.12127	0.0558	0.02777
AL136982.1	0.00349	0.00574	0
AGAP2	0.0064	0.06528	0.16742
AGAP3	0.22918	0.12813	0.02876
AGAP4	0.01164	0.00824	0.00043
AGAP5	0.02742	0.02091	0.0013
AGAP6	0.05494	0.04307	0.01133
AGBL2	0.03681	0.00817	0.01772
AGBL3	0.01897	0.00509	0.00978
AGBL4	0.00694	0.00155	0
AGBL5	0.09445	0.03422	0.11583
AGER	0.01345	0.01636	0.04118
AGFG1	0.22923	0.18662	0.29703
AGFG2	0.28653	0.083	0.10073
AGGF1	0.16142	0.19211	0.35986
AGK	0.02399	0.02866	0.0506
AGL	0.29357	0.18173	0.15689
AGMAT	0.7108	0.43091	0.27704
AGMO	0.27069	0.17947	0.09565
AGO1	0.14424	0.12512	0.16222
AGO2	0.0677	0.08825	0.15108
AGO3	0.06799	0.05438	0.13818
AGO4	0.12854	0.10536	0.05616
AGPAT1	0.19753	0.11076	0.17432
AGPAT2	0.14307	0.10413	0.06097
AGPAT3	0.30924	0.22468	0.36279
AGPAT4	0.04983	0.01961	0.00056
AGPAT5	0.07057	0.08554	0.17877
AGPS	0.24998	0.13774	0.21072
AGRN	0.08215	0.03732	0.00056
AGT	2.06203	0.43245	0.06179
AGTPBP1	0.04553	0.11816	0.30156
AGTR1	0.04556	0.00356	0
AGTRAP	0.08879	0.15103	0.18052
AGXT	0.97499	0.29965	0.07741
AGXT2	0.03209	0.00892	0
AHCTF1	0.2333	0.16276	0.25513
AHCTF1P1	0.00907	0.00041	0
AHCY	0.60932	0.20814	0.50326
AHCYL1	0.58738	0.34785	0.40475
AHCYL2	0.0663	0.03839	0.04037
AHDC1	0.04163	0.03057	0.00031
AHI1	0.3746	0.25896	0.57219
AHNAK	1.35972	1.19254	0.88777
AHNAK2	0.03664	0.01635	0
AHR	0.39383	0.27222	0.16223
AHRR	0.00544	0.0033	0
AHSA1	0.15316	0.17345	0.21607
AHSA2P	0.40619	0.17938	0.12891
AHSG	3.30225	1.01419	0.27152
AICDA	0.13184	0.13791	0.20561
AIDA	0.25439	0.22659	0.17228
AIF1	0.05903	0.63751	0.38636
AIFM1	0.23468	0.11232	0.25318
AIFM2	0.13296	0.05155	0.09095
AIFM3	0.02462	0.00432	0
AIG1	0.62603	0.09113	0.05536
CRYBG1	0.11327	0.24534	0.38424
CRYBG2	0.03698	0.00095	0
AIM2	0.00643	0.09217	0.20446
AIMP1	0.24823	0.27728	0.62625
AIMP2	0.13579	0.06212	0.25041
AIP	0.08603	0.16642	0.44625
AIPL1	0.12052	0.13018	0.1535
AIRE	0.02458	0.0254	0.01573
AJAP1	0.00104	0	0
AJUBA	0.14255	0.01401	0.01078
AK1	0.49328	0.42768	0.33064
AK2	0.42794	0.22401	0.58358
AK3	0.67629	0.50906	0.38955
AK4	0.70928	0.17291	0.02369
AK7	0.00432	0	0
AK9	0.0497	0.05512	0.04022
AKAP1	0.31151	0.08701	0.07342
AKAP10	0.07989	0.15071	0.19304
AKAP11	0.18845	0.20887	0.42567
AKAP12	0.06019	0.01769	0.00467
AKAP13	0.421	1.00766	1.15752
AKAP5	0.20487	0.34935	0.39768
AKAP6	0.01757	0.00778	0.00396
AKAP7	0.07571	0.07351	0.04984
AKAP8	0.16234	0.16872	0.39865
AKAP8L	0.13615	0.15395	0.12203
AKAP9	0.92908	1.2271	1.18912
AKIP1	0.09489	0.06401	0.02809
AKIRIN1	0.24209	0.22402	0.24972
AKIRIN2	0.14037	0.14276	0.12918
AKNA	0.04737	0.33072	0.49377
AKR1A1	0.71717	0.51577	0.57652
AKR1B1	0.07092	0.24367	0.42805
AKR1B10	0.77523	0.35287	0.0531
AKR1B15	0.00712	0.00065	0
AKR1C1	1.68647	0.49091	0.10042
AKR1C2	1.62321	0.47878	0.12334
AKR1C3	1.02783	0.18582	0.04954
AKR1C4	0.37301	0.1089	0.00962
AKR1C6P	0.0145	0.00679	0.00244
AKR1D1	0.17845	0.17693	0.07953
AKR1E2	0.00424	0.00037	0
AKR7A2	0.37621	0.19765	0.28625
AKR7A3	0.03962	0.01097	0.02171
AKR7L	0.05221	0.01392	5e-04
AKT1	0.08008	0.06132	0.1072
AKT1S1	0.04459	0.06314	0.00377
AKT2	0.14792	0.08741	0.12236
AKT3	0.01919	0.05442	0.01661
AKTIP	0.0285	0.03663	0.05616
ALAD	0.17737	0.06102	0.05944
ALAS1	0.26344	0.12151	0.13036
ALB	4.82945	2.0783	0.77389
ALCAM	0.64428	0.29086	0.16994
ALDH16A1	0.11362	0.09887	0.20897
ALDH18A1	0.05417	0.04514	0.05255
ALDH1A1	1.48045	0.41428	0.08711
ALDH1A2	0.00394	0.00218	0
ALDH1B1	0.13007	0.07807	0.00776
ALDH1L1	1.14674	0.33608	0.16199
