Malignant cells	Immune cells	Stromal cells
AP1G1	0.20403	0.29411	0.39073
AP1G2	0.09406	0.20467	0.35792
AP1M1	0.17677	0.13575	0.29177
AP1M2	0.07537	0.00601	0
AP1S1	0.01614	0.00794	0.00655
AP1S2	0.02161	0.15711	0.21343
AP1S3	0.35593	0.36857	0.36715
AP2A1	0.05099	0.0368	0.05694
AP2A2	0.23145	0.26719	0.20002
AP2B1	0.13014	0.19341	0.44093
AP2M1	0.46292	0.40322	0.74362
AP2S1	0.40511	0.49836	0.86635
AP3B1	0.21016	0.34894	0.55373
AP3D1	0.70282	0.51549	0.66049
AP3M1	0.30111	0.28741	0.24472
AP3M2	0.06933	0.06915	0.05888
AP3S1	0.23964	0.20466	0.16045
AP3S2	0.00128	0.00184	0
AP4B1	0.04782	0.0689	0.11104
AP4B1-AS1	0.07391	0.08738	0.04038
AP4E1	0.14059	0.15302	0.06902
AP4M1	0.03919	0.02707	0.05782
AP4S1	0.22437	0.19454	0.11072
AP5B1	0.18324	0.14766	0.19146
AP5M1	0.06166	0.04576	0.04402
AP5S1	0.09377	0.11725	0.2481
AP5Z1	0.09789	0.07067	0.06326
APAF1	0.06223	0.09514	0.21799
APBA1	0.01804	0.01173	0.00275
APBA2	0.00663	0.01447	0.03344
APBA3	0.03891	0.05194	0.05767
APBB1	0.07794	0.04694	0.04647
APBB1IP	0.09492	0.36145	0.54616
APBB2	0.182	0.01293	0.02221
APBB3	0.21874	0.07399	0.13464
APC	0.22968	0.25066	0.31053
APCDD1	0.01689	0	0.01642
APCS	1.07436	0.19643	0.06101
APEH	0.28377	0.16958	0.35185
APEX1	0.20697	0.1237	0.18593
APEX2	0.05195	0.03497	0.09202
APH1A	0.14994	0.11741	0.07891
APH1B	0.03075	0.04646	0.00558
API5	0.18652	0.12563	0.35338
APIP	0.13198	0.09655	0.08736
APLF	0.0491	0.02331	0.00367
APLN	0.00494	0.00207	0
APLNR	0.00469	0.00017	0
APLP1	0.02542	0.01507	0.00135
APLP2	1.00443	0.47755	0.19083
APMAP	0.65313	0.32623	0.27376
APOA1	2.78457	0.97748	0.33236
APOA1-AS	0.00434	0.00237	0.00105
APOA2	5.57148	2.20715	0.90748
APOA4	0.00506	0.01062	0
APOA5	0.17095	0.02862	0.00383
APOB	3.62041	1.20345	0.43942
APOBEC3A	0.05142	0.05735	0.0556
APOBEC3B	0.00173	0	0.00062
APOBEC3B-AS1	0.0022	0.00372	0
APOBEC3C	0.02504	0.24122	0.63177
APOBEC3D	0.01058	0.08053	0.13296
APOBEC3F	0.04613	0.11764	0.19595
APOBEC3G	0.01294	0.15154	0.27694
APOBEC3H	0.003	0.02553	0.04452
APOBR	0.01613	0.09881	0.11951
APOC1	2.92093	1.11615	0.40363
APOC1P1	0.08492	0.02158	0.01175
APOC3	2.14894	0.78067	0.30846
APOD	0.01393	0.00579	0
APOE	3.70603	1.55389	0.4323
APOF	0.03208	0.00709	0.00083
APOH	2.76856	0.70765	0.23961
APOL1	0.52117	0.39978	0.24574
APOL2	0.23279	0.30428	0.39395
APOL3	0.08302	0.25664	0.43805
APOL4	0.03261	0.0311	0.00862
APOL5	0.00257	0	0.00102
APOL6	0.50839	0.78141	0.7078
APOLD1	0.04617	0.1178	0.45173
APOM	0.47193	0.08232	0.00995
APOO	0.04519	0.03432	0.09334
APOOL	0.26872	0.19294	0.17642
APOPT1	0.23908	0.23771	0.29042
APP	0.28872	0.08669	0.02151
APPBP2	0.11293	0.07933	0.09712
APPL1	0.27505	0.2221	0.21221
APPL2	0.10717	0.1308	0.07174
APRT	0.47368	0.66353	1.05708
APTX	0.08099	0.08075	0.16513
AQP1	0.00922	0.00033	0
AQP11	0.05485	0.00826	0.00037
AQP3	0.03366	0.0443	0.03759
AQP4-AS1	0.00352	0.00277	0.00415
AQP6	0.00649	0.00431	0.00112
AQP7	0.02029	0.00769	0.00083
AQP7P1	0.04198	0.00854	0
AQP8	0.00341	0	0
AQP9	0.64007	0.09545	0.08435
AQR	0.09326	0.0849	0.23875
AR	0.53109	0.04825	0.01436
ARAF	0.41021	0.14436	0.21101
ARAP1	0.11498	0.11775	0.06607
ARAP2	0.08987	0.32345	0.41532
ARAP3	0.00841	0.00826	0
ARCN1	0.22256	0.23624	0.30997
AREL1	0.10018	0.09789	0.11408
ARF1	0.5121	0.45533	0.69331
ARF3	0.19617	0.21581	0.21363
ARF4	0.2275	0.19704	0.22283
ARF5	0.16987	0.15586	0.21559
ARF6	0.17213	0.32075	0.62362
ARFGAP1	0.26626	0.25481	0.32446
ARFGAP2	0.42687	0.30983	0.34915
ARFGAP3	0.24744	0.29519	0.37378
ARFGEF1	0.26447	0.32779	0.51045
ARFGEF2	0.43231	0.29324	0.20707
ARFIP1	0.10852	0.09553	0.18147
ARFIP2	0.20852	0.17139	0.13248
ARFRP1	0.22846	0.16817	0.24503
ARG1	0.76904	0.18097	0.0411
ARG2	0.01517	0.01954	0.01248
ARGFX	0.16682	0.14442	0.09096
ARGLU1	0.61571	0.95841	1.35874
ARHGAP1	0.22166	0.15335	0.14244
ARHGAP10	0.00884	0.05199	0.12831
ARHGAP11A	0.08731	0.08128	1.008
AC091057.1	0.00763	0.01143	0.20969
ARHGAP12	0.27285	0.13317	0.08788
ARHGAP15	0.00853	0.20667	0.3815
ARHGAP17	0.08555	0.12073	0.17668
ARHGAP18	0.03479	0.31365	0.17057
ARHGAP19	0.01674	0.01931	0.17929
ARHGAP20	0.01254	0.00447	0.0019
ARHGAP21	0.40142	0.2422	0.19197
ARHGAP22	0.00586	0.04285	0
ARHGAP24	0.02584	0.03216	0.02741
ARHGAP25	0.02596	0.40604	0.61993
ARHGAP26	0.18526	0.32886	0.34501
ARHGAP27	0.02523	0.08914	0.06518
ARHGAP28	0.01126	9e-04	0.03177
ARHGAP29	0.24159	0.04339	0.00568
ARHGAP30	0.03581	0.50552	0.68604
ARHGAP31	0.02774	0.0581	0.04619
ARHGAP32	0.10978	0.03242	0.003
ARHGAP33	0.02678	0.01345	0.18076
ARHGAP35	0.37891	0.17202	0.11399
ARHGAP39	0.01595	0.00566	0
ARHGAP4	0.07767	0.42748	0.40308
ARHGAP42	0.05042	0.01355	0.00056
ARHGAP44	0.01082	0.00214	0.01459
ARHGAP5	0.39111	0.23953	0.13698
ARHGAP5-AS1	0.00614	0.00133	0.00135
ARHGAP6	0.00182	0.00603	0
ARHGAP9	0.02492	0.36596	0.58275
ARHGDIA	0.39942	0.56443	0.80912
ARHGDIB	0.12988	1.32214	2.58618
ARHGEF1	0.04111	0.12652	0.20848
ARHGEF10	0.00426	0.00344	0
ARHGEF10L	0.27167	0.07005	0.02442
ARHGEF11	0.19781	0.09759	0.0572
ARHGEF12	0.67466	0.25499	0.27079
ARHGEF15	0.00447	0	0
ARHGEF16	0.01196	0.00524	0
ARHGEF17	0.021	0	0
ARHGEF18	0.1024	0.09572	0.15038
ARHGEF19	0.02161	0.02405	0.01929
ARHGEF2	0.06937	0.15063	0.12031
ARHGEF25	0.00231	0.00071	0
ARHGEF26	0.12806	0.02549	0.00815
ARHGEF26-AS1	0.1997	0.16814	0.13401
ARHGEF28	0.17295	0.02281	0.01656
ARHGEF3	0.05218	0.13648	0.18838
ARHGEF34P	0.00184	0	0
ARHGEF35	0.04192	0.01791	0.00912
ARHGEF37	0.06608	0.00998	0.03128
ARHGEF39	0.1681	0.1327	0.12909
ARHGEF4	7e-04	0.00088	0
ARHGEF40	0.20617	0.07846	0.03756
ARHGEF5	0.07948	0.04367	0.011
ARHGEF6	0.06172	0.20859	0.48926
ARHGEF7	0.12448	0.19052	0.27833
ARHGEF9	0.06054	0.0633	0.09808
ARID1A	0.30052	0.39406	0.49312
ARID1B	0.17569	0.17514	0.28006
ARID2	0.17402	0.14139	0.377
ARID3A	0.08719	0.09505	0.04702
ARID3B	0.02956	0.04037	0.08324
ARID4A	0.34593	0.49419	0.49239
ARID4B	0.52297	0.62322	0.88097
ARID5A	0.10002	0.16334	0.33044
ARID5B	0.15069	0.44406	0.63346
ARIH1	0.16775	0.15508	0.11255
ARIH2	0.26964	0.25907	0.34582
ARIH2OS	0.18482	0.19937	0.1798
ARL1	0.20185	0.16214	0.09803
ARL10	0.03315	0.01974	0.00874
ARL11	0.13928	0.15408	0.11358
ARL13B	0.07173	0.03639	0.07813
ARL14EP	0.12996	0.22551	0.14887
ARL15	0.00897	0.01815	0.00495
ARL16	0.19553	0.16035	0.15397
ARL17A	0.0525	0.0251	0.01309
ARL2	0.12087	0.1411	0.34565
ARL2BP	0.13714	0.11606	0.17176
ARL3	0.10675	0.08584	0.19421
ARL4A	0.20006	0.12406	0.23277
ARL4C	0.06588	0.73096	0.60496
ARL4D	0.11855	0.00914	0.00905
ARL5A	0.22627	0.23188	0.31643
ARL5B	0.03489	0.0342	0.02535
ARL6	0.01154	0.0036	0.00359
ARL6IP1	0.54057	0.51036	1.6357
ARL6IP4	0.45093	0.54937	1.01608
ARL6IP5	0.18379	0.58656	0.84767
ARL6IP6	0.02162	0.02117	0.04168
ARL8A	0.08614	0.08947	0.10712
ARL8B	0.22	0.14372	0.20979
ARMC1	0.18323	0.09013	0.16327
ARMC10	0.26389	0.19342	0.24957
ARMC12	0.00332	0	0
ARMC2	0.02205	0.01171	0.05453
ARMC4	0.00149	0.00126	0.00094
ARMC4P1	0.00962	0.00394	0.00174
ARMC5	0.04206	0.0387	0.09777
ARMC6	0.08915	0.05826	0.20058
ARMC7	0.0438	0.0383	0.10405
ARMC8	0.07795	0.06191	0.07669
ARMC9	0.28588	0.26931	0.16475
ARMCX1	0.0057	0.01722	0.01484
ARMCX2	0.00353	0.00958	0.00034
ARMCX3	0.06117	0.14165	0.12743
ARMCX4	0.02647	0.02338	0.003
ARMCX5	0.03748	0.021	0.02145
ARMCX6	0.05374	0.12662	0.25
ARNT	0.15792	0.0926	0.05086
ARNT2	0.02951	0.03302	0
ARNTL	0.07615	0.14962	0.06229
ARNTL2	0.18705	0.13713	0.1252
ARPC1A	0.26913	0.11336	0.10375
ARPC1B	0.32045	0.76438	1.12613
ARPC2	0.61336	1.46395	2.92092
ARPC3	0.28705	0.46511	0.67885
ARPC4	0.36965	0.62933	1.1932
ARPC5	0.378	0.45572	0.93776
ARPC5L	0.13205	0.31512	0.74855
ARPP19	0.35751	0.46236	0.78177
ARPP21	0.01252	0.00143	0
ARRB1	0.02518	0.06491	0.07358
ARRB2	0.08676	0.2305	0.19247
ARRDC1	0.03988	0.05661	0.05513
ARRDC2	0.07925	0.08565	0.06533
ARRDC3	0.1809	0.21614	0.09518
ARRDC4	0.05755	0.03031	0.00364
ARRDC5	0.00231	0.04106	0.03258
ARSA	0.24261	0.31368	0.19373
ARSB	0.04238	0.0281	0.0465
ARSD	0.29642	0.15367	0.04065
ARSD-AS1	0.00068	0.00012	0
ARSE	0.18898	0.0392	0.00109
ARSF	0.00132	0.00036	0
ARSG	0.00665	0.01646	0.00063
ARSI	0.01115	0.00641	0
ARSJ	0.01831	0.00597	0
ARSK	0.11412	0.11952	0.07021
ART4	0.00452	0.00343	0
ART5	0.01407	0	0
ARTN	0.00269	0.00094	0.00331
ARV1	0.088	0.04351	0.07115
ARVCF	0.02067	0.00966	0.00333
AS3MT	0.00044	0	0
ASAH1	0.19169	0.28916	0.13207
ASAH2B	0.0414	0.01714	0.00211
ASAP1	0.14985	0.25186	0.30797
ASAP2	0.04813	0.01	0.00045
ASAP3	0.09073	0.01592	0.00167
ASB1	0.11035	0.06377	0.07633
ASB11	0.07223	0.06919	0.02243
ASB13	0.12718	0.02887	0.02553
ASB16	0.00512	0.00171	0.00057
ASB16-AS1	0.03065	0.04109	0.06836
ASB2	0.00186	0.02499	0.04765
GPR75-ASB3	0.0187	0.03741	0.01873
ASB4	0.01159	0.00303	0.00294
ASB6	0.03184	0.03551	0.10166
ASB7	0.04156	0.02996	0.0724
ASB8	0.37293	0.31714	0.37349
ASB9	0.05315	0.00521	0
ASB9P1	0.00266	0	0
ASCC1	0.08332	0.06592	0.11831
ASCC2	0.13725	0.108	0.17603
ASCC3	0.31655	0.3183	0.5181
ASCL1	0.0128	0.00228	0.00706
ASCL2	0.0054	0.00827	0.00033
ASF1A	0.046	0.03044	0.04163
ASF1B	0.0106	0.0049	0.15065
ASGR1	0.44961	0.06321	0.00761
ASGR2	0.71321	0.12746	0.0245
ASH1L	0.62554	0.66909	0.71213
ASH1L-AS1	0.01559	0.0247	0.00455
ASH2L	0.04907	0.05688	0.17903
ASIC1	0.02303	0.00131	0
ASIC3	0.0103	0.0162	0.00028
ASL	0.51963	0.23667	0.24524
ASMTL-AS1	0.00235	0.00087	0.00525
ASNA1	0.03339	0.04398	0.12895
ASNS	0.07255	0.12083	0.06406
ASNSD1	0.12613	0.18228	0.23326
ASPA	0.00462	0.00078	0
ASPDH	0.04288	0.0054	0.00044
ASPG	0.05175	0.00698	0
ASPH	0.83148	0.43029	0.1561
ASPHD1	0.00527	0	0.00069
ASPHD2	0.01032	0.04726	0.03143
ASPM	0.22119	0.08042	2.10308
ASPSCR1	0.35854	0.08341	0.04323
ASRGL1	0.04963	0.03135	0.11167
ASS1	0.14375	0.02626	0.00976
ASTE1	0.02592	0.03746	0.07122
ASTL	0.00084	0.02014	0
ASTN2	0.04528	0.02998	0.03483
INTS13	0.04524	0.09323	0.30621
ASXL1	0.3389	0.27466	0.6378
ASXL2	0.13269	0.27747	0.52366
ASZ1	0.00338	0.00034	0
ATAD1	0.21186	0.17166	0.19152
ATAD2	0.27284	0.18821	1.27379
ATAD2B	0.14858	0.1824	0.19808
ATAD3A	0.10129	0.05391	0.04196
ATAD3B	0.07484	0.04499	0.08723
ATAD3C	0.26057	0.23952	0.12985
ATAD5	0.09929	0.09803	0.82075
ATAT1	0.07927	0.02032	0.02517
ATCAY	0.32312	0.31913	0.24395
ATE1	0.24313	0.16198	0.188
ATE1-AS1	0.00376	0.00352	0
ATF1	0.13017	0.12451	0.25893
ATF2	0.2347	0.17129	0.17675
ATF3	0.043	0.22362	0.11929
ATF4	0.58641	1.05504	1.09043
ATF5	0.91873	0.36139	0.08388
ATF6	0.30647	0.28671	0.21564
ATF6B	0.03193	0.02639	0.05466
ATF7	0.07249	0.05672	0.07317
ATF7IP	0.33815	0.67979	1.10183
ATF7IP2	0.07582	0.07787	0.20392
ATG10	0.06163	0.0801	0.15172
ATG12	0.3284	0.28974	0.42077
ATG13	0.21876	0.17933	0.37681
ATG14	0.35149	0.32251	0.24768
ATG16L1	0.04005	0.06901	0.02451
ATG16L2	0.02708	0.0702	0.01982
ATG2A	0.15316	0.08636	0.0952
ATG2B	0.12495	0.1174	0.04571
ATG3	0.18191	0.18908	0.30988
ATG4A	0.05529	0.08241	0.22373
ATG4B	0.25538	0.1875	0.23948
ATG4C	0.04316	0.04691	0.0322
ATG4D	0.03505	0.03165	0.03364
ATG5	0.08278	0.1134	0.13396
ATG7	0.06835	0.09599	0.09321
ATG9A	0.26188	0.12327	0.06621
ATIC	0.19729	0.10326	0.33524
ATL1	0.00586	0.00915	0.00099
ATL2	0.30291	0.14062	0.20507
ATL3	0.23098	0.1894	0.2453
ATM	0.63348	0.92563	0.7436
ATMIN	0.15667	0.13146	0.258
ATN1	0.06349	0.05193	0.06523
ATOH8	0.02148	0.00077	0
ATOX1	1.16781	0.68416	0.70067
ATP10A	0.00203	0.01107	0.04621
ATP10B	0.00225	0.00272	0
ATP10D	0.03074	0.04308	0.06599
ATP11A	0.08623	0.04325	0.01454
ATP11A-AS1	0.00419	0.00782	0.01794
ATP11B	0.10503	0.25582	0.3223
ATP11C	0.17471	0.12763	0.04478
ATP13A1	0.07255	0.09846	0.04254
ATP13A2	0.04971	0.05416	0.04896
ATP13A3	0.42744	0.19876	0.12986
ATP13A4	0.00253	0.00195	0
ATP1A1	0.31611	0.19157	0.19968
ATP1A2	0.07198	0.06719	0.05461
ATP1B1	0.61669	0.25801	0.05191
ATP1B2	0.00813	0.00727	0.00145
ATP1B3	0.14622	0.27388	0.48196
ATP1B4	0.00736	0.00292	0.00271
ATP2A1	0.00534	0.00129	0.01436
ATP2A2	0.4857	0.24747	0.29571
ATP2A3	0.02368	0.28656	0.6028
ATP2B1	0.40926	0.47285	0.548
ATP2B2	0.29403	0.05625	0.01929
ATP2B4	0.16606	0.19117	0.2567
ATP2C1	0.11392	0.10821	0.18643
ATP5F1A	0.58869	0.52328	0.80104
ATP5F1B	1.34446	0.88332	1.21347
ATP5F1C	0.42642	0.20904	0.26654
ATP5F1D	0.16101	0.2048	0.38754
ATP5F1E	0.15196	0.36347	0.68939
ATP5F1EP2	0.11096	0.23838	0.35031
ATP5PB	0.44893	0.34626	0.66321
ATP5MC1	0.57848	0.36105	0.80737
ATP5MC2	0.64997	0.68391	1.13543
ATP5MC3	0.52963	0.34384	0.85312
ATP5PD	0.51081	0.35836	0.66874
ATP5ME	1.60065	1.51517	2.26429
ATP5PF	0.58069	0.42752	0.78187
ATP5MF	0.49045	0.43222	0.7982
ATP5MG	0.87914	0.9088	1.65915
ATP5MGL	0.02411	0.01879	0.01223
ATP5PO	0.63717	0.63943	1.34791
ATP5S	0.0989	0.06576	0.10255
DMAC2	0.08524	0.03703	0.01899
ATP6AP1	0.48968	0.50244	0.17612
ATP6AP1L	0.21858	0.16136	0.12853
ATP6AP2	0.31816	0.2783	0.28044
ATP6V0A1	0.45405	0.24506	0.1049
ATP6V0A2	0.08002	0.0782	0.11916
ATP6V0B	0.83939	0.70841	0.60778
ATP6V0C	0.37195	0.68224	0.53485
ATP6V0D1	0.12458	0.14792	0.19041
ATP6V0D2	0.00599	0.01138	0.00044
ATP6V0E1	0.41881	0.48869	0.42601
ATP6V0E2	0.22664	0.11518	0.27841
ATP6V0E2-AS1	0.0035	0.00552	0
ATP6V1A	0.23236	0.21363	0.22557
ATP6V1B1	0.00352	0.00024	0
ATP6V1B2	0.06387	0.1556	0.09279
ATP6V1C1	0.31294	0.18144	0.19535
ATP6V1C2	0.00332	0.00177	0.00088
ATP6V1D	0.21047	0.18642	0.21618
ATP6V1E1	0.29424	0.27256	0.3896
ATP6V1E2	0.03025	0.03004	0.0143
ATP6V1F	0.25855	0.35853	0.67527
ATP6V1G1	0.27204	0.26935	0.24242
ATP6V1H	0.06322	0.04201	0.06214
ATP7A	0.05013	0.08432	0.02532
ATP7B	0.04155	0.00631	0.01969
ATP8A1	0.0226	0.13096	0.27068
ATP8B1	0.35163	0.19628	0.12673
ATP8B2	0.05195	0.07835	0.20247
ATP8B3	0.00481	0.00151	0.03082
ATP8B4	0.00327	0.06264	0.01794
ATP8B5P	0.04424	0.02404	0.03617
ATP9A	0.28487	0.04716	0.11861
ATP9B	0.08219	0.11338	0.12457
ATPAF1	0.16126	0.12524	0.10486
ATPAF2	0.03569	0.03732	0.09276
ATP5IF1	0.75599	0.67337	1.27697
ATR	0.13516	0.13948	0.18569
ATRAID	0.22271	0.25001	0.22962
ATRIP	0.02847	0.01773	0.05793
ATRN	0.43712	0.1927	0.13555
ATRNL1	0.04598	0.00833	0
ATRX	0.81955	1.27115	1.05223
ATXN1	0.12343	0.25151	0.3496
ATXN10	0.33862	0.18283	0.28567
ATXN1L	0.0439	0.0564	0.09193
ATXN2	0.32693	0.17897	0.11811
ATXN2L	0.11859	0.12084	0.13826
ATXN3	0.21619	0.19497	0.18209
ATXN7	0.12738	0.13996	0.21431
ATXN7L1	0.08695	0.09375	0.15108
ATXN7L2	0.0055	0.00595	0.00142
ATXN7L3	0.14604	0.16252	0.19794
ATXN7L3B	0.2962	0.23741	0.34545
ATXN8OS	0.00036	0	0
AUH	0.07928	0.09013	0.07907
AUNIP	0.00683	0.00031	0.01854
AUP1	0.50076	0.39908	0.65251
AURKA	0.089	0.05315	0.84914
AURKAIP1	0.33064	0.3098	0.44391
AURKAP1	0.01753	0.04438	0.02496
AURKB	0.03629	0.01764	1.05742
AURKC	0.00864	9e-04	0.00256
AUTS2	0.20167	0.0536	0.05707
AVEN	0.04775	0.04303	0.07347
AVIL	0.03276	0.00462	0.01817
AVL9	0.10963	0.0778	0.13163
AVP	0.00275	0.00016	0
AVPI1	0.08022	0.03087	0
AVPR1A	0.03458	0.00737	0.00174
AXDND1	0.00724	0.00605	0.00105
AXIN1	0.04119	0.0393	0.04223
AXIN2	0.08924	0.00999	0
AXL	0.01263	0.06111	0.00321
AZGP1	0.95787	0.13982	0.05781
AZGP1P1	0.01643	0.00069	0
AZI2	0.1662	0.11922	0.22974
AZIN1	0.21904	0.20179	0.31905
B2M	1.94615	3.22647	3.13627
B3GALNT1	0.00632	0.00115	0
B3GALNT2	0.05694	0.0335	0.00387
B3GALT1	0.00485	0.00056	0
B3GALT4	0.01172	0.02753	0.02637
B3GALT6	0.11324	0.04547	0.04989
B3GAT1	0.03356	0.01224	0.01306
B3GAT2	0.00213	0.00013	0
B3GAT3	0.16347	0.10648	0.19678
B3GNT2	0.04624	0.09091	0.1154
B3GNT3	0.01976	0.00237	0.00161
B3GNT4	0.00171	0.00137	0.00038
B3GNT5	0.04598	0.02052	0
B3GNT6	0.04356	0.03261	0.04015
B3GNT7	0.00797	0.01249	0.04769
B3GNT9	0.01605	0.01623	0
B3GNTL1	0.02266	0.0207	0.03648
B4GALNT1	0.02138	0.0081	0
B4GALT1	0.18004	0.20204	0.16124
B4GALT2	0.10988	0.0563	0.09411
B4GALT3	0.14974	0.20133	0.1285
B4GALT4	0.04185	0.02265	0.06996
B4GALT5	0.07934	0.08782	0.06817
B4GALT6	0.02649	0.01236	0.00054
B4GALT7	0.10597	0.04767	0.12329
B9D1	0.06868	0.04039	0.05793
B9D2	0.02084	0.03172	0.07917
BAAT	0.91562	0.21808	0.12342
BABAM1	0.1738	0.14742	0.25824
BACE1	0.21718	0.06801	0.05359
BACE2	0.23107	0.20137	0.13041
BACH1	0.26919	0.26238	0.29523
BACH2	0.04225	0.0228	0.02731
BAD	0.28453	0.16023	0.16353
BAG1	0.16776	0.21052	0.21326
BAG2	0.08284	0.01756	0.06325
BAG3	0.0679	0.1396	0.04177
BAG4	0.09035	0.08684	0.12211
BAG5	0.14804	0.13882	0.13704
BAG6	0.5961	0.2226	0.34491
BAHCC1	0.02257	0.0044	0
BAHD1	0.05503	0.04135	0.00868
BAIAP2	0.20113	0.0739	0.01325
BAIAP2-DT	0.24256	0.18483	0.13482
BAIAP2L1	0.23456	0.03464	0.045
BAIAP2L2	0.06361	0.01893	0.02252
BAIAP3	0.03775	0.01888	0.01342
BAK1	0.0519	0.08172	0.09296
BAMBI	0.13545	0.01812	0.00766
BANF1	0.26144	0.12226	0.35543
BANK1	0.0411	0.08787	0.11933
BANP	0.07143	0.05986	0.05016
BAP1	0.2426	0.14194	0.29576
BARD1	0.0576	0.14865	0.54047
BARX1	0.00254	0.00081	0
BASP1	0.02387	0.24677	0.44117
BATF	0.01548	0.16587	0.3371
BATF2	0.01658	0.01314	0
BATF3	0.00163	0.03504	0.07333
BAX	0.01979	0.02024	0.03044
BAZ1A	0.27224	0.55208	0.78863
BAZ1B	0.64178	0.63727	1.08608
BAZ2A	0.49695	0.51469	0.46039
BAZ2B	0.4701	0.63407	0.36501
BBC3	0.03233	0.02253	0.00497
BBIP1	0.04816	0.02459	0.07748
BBOX1	0.18484	0.0362	0.00864
BBS1	0.03366	0.01634	0.004
BBS10	0.03978	0.02332	0.02164
BBS12	0.00444	0.00799	0
BBS2	0.07385	0.03737	0.03408
BBS4	0.06596	0.04746	0.04967
BBS5	0.06287	0.0525	0.00361
BBS7	0.02682	0.0181	0.02098
BBS9	0.01784	0.03178	0.0169
BBX	0.32914	0.45181	0.40848
BCAM	0.04509	0.00834	0.00129
BCAP29	0.18706	0.11568	0.09101
BCAP31	0.88718	0.72393	0.63506
BCAR1	0.12923	0.04755	0.00547
BCAR3	0.06694	0.02278	0.00871
BCAS1	0.08777	0.0921	0.04628
BCAS2	0.18112	0.19738	0.34129
BCAS3	0.11488	0.0913	0.11032
BCAS4	0.04019	0.0593	0.20552
BCAT1	0.01244	0.09997	0.14699
BCAT2	0.15518	0.06045	0.05772
BCCIP	0.24525	0.21662	0.28452
BCDIN3D	0.08191	0.06106	0.02767
BCDIN3D-AS1	0.00425	0.00069	0
BCHE	0.05266	0.00686	0.00268
BCKDHA	0.16169	0.15187	0.31821
BCKDHB	0.09998	0.03333	0.03368
BCKDK	0.19596	0.14921	0.22059
BCL10	0.07226	0.12054	0.17087
BCL11A	0.00732	0.02132	0.08055
BCL11B	0.01146	0.20207	0.37868
BCL2	0.01466	0.20723	0.13972
BCL2A1	0.0042	0.06553	0.02188
BCL2L1	0.1037	0.0961	0.08754
BCL2L11	0.07378	0.29457	0.16697
BCL2L12	0.05061	0.03815	0.13579
BCL2L13	0.09389	0.08585	0.09493
BCL2L15	0.12518	0.12524	0.10613
BCL2L2	0.03546	0.01795	0.00144
BCL3	0.06338	0.06272	0.06532
BCL6	0.23427	0.09477	0.12158
BCL6B	0.00911	0.00165	0
BCL7A	0.09023	0.05412	0.10171
BCL7B	0.06191	0.07348	0.17032
BCL7C	0.09284	0.06337	0.1738
BCL9	0.06593	0.0215	0.03559
BCL9L	0.09442	0.05863	0.06228
BCLAF1	0.60079	0.85618	1.28919
BCO2	0.03164	0.01146	0.00048
BCOR	0.06397	0.04716	0.03413
BCORL1	0.08388	0.03426	0.01774
BCR	0.10534	0.09348	0.16427
BCRP3	0.00651	0.00588	0.00246
BCS1L	0.11103	0.05951	0.15592
BCYRN1	0.45927	0.34252	0.3441
BDH1	0.29947	0.07607	0.06175
BDH2	0.16165	0.07381	0.03449
BDNF-AS	0.0609	0.0329	0.02635
BDP1	0.57427	0.69963	0.8908
BECN1	0.24069	0.2165	0.27228
BEGAIN	0.00462	0.00273	0
BEND2	0.05612	0.04908	0.03171
BEND3	0.01236	0.00519	0.02064
AL132656.1	0.01627	0.0139	0.0042
BEND4	0.00424	0.00103	0.01955
BEND5	0.01151	0.01622	0.04724
BEND6	0.00477	0.00085	0.03118
BEND7	0.12361	0.02329	0
BEST1	0.14046	0.11415	0.08395
BEST3	0.00077	0	0
BEST4	0.00136	0.00044	0
BET1	0.05729	0.0557	0.03741
BET1L	0.14452	0.14509	0.17832
BEX1	0.01035	0.00093	0
BEX2	0.07986	0.04703	0.00164
BEX4	0.03192	0.11098	0.0585
BEX5	0.03576	0.0497	0.03369
BFAR	0.094	0.08029	0.25746
BFSP1	0.00525	0.00988	0.00175
BFSP2	0.00089	0.01587	0.04023
BFSP2-AS1	0.10091	0.12459	0.10728
BGN	0.02705	0.00313	0.00135
BHLHB9	0.01524	0.00687	0.0189
BHLHE40	0.14337	0.13114	0.11342
BHLHE40-AS1	0.00255	0.01754	0.02429
BHLHE41	0.0109	0.15135	0.10526
BHMT	0.53248	0.09669	0.03192
BHMT2	1.31456	0.4432	0.28921
BICC1	0.11413	0.01158	0.00069
BICD1	0.04536	0.07864	0.13866
BICD2	0.06186	0.1745	0.2148
BID	0.13008	0.12003	0.16407
BIK	0.02467	0.04247	0.17604
BIN1	0.11878	0.15386	0.20431
BIN2	0.01987	0.26378	0.4396
BIN3	0.0262	0.06987	0.04837
BIRC2	0.31038	0.24626	0.33138
BIRC3	0.26834	0.53686	0.66723
BIRC5	0.09766	0.05026	1.50352
BIRC6	0.44394	0.54215	0.73328
BIVM	0.36989	0.22541	0.14775
BLCAP	0.23925	0.09444	0.04994
BLID	0.00231	0	0
BLK	0.00095	0.02543	0.05882
BLM	0.02386	0.07435	0.34611
BLMH	0.07719	0.11332	0.24484
BLNK	0.09874	0.16996	0.10733
BLOC1S1	0.17014	0.25314	0.64442
BLOC1S2	0.09168	0.12412	0.17908
BLOC1S3	0.04894	0.0291	0.07197
BLOC1S4	0.05922	0.02906	0.03842
