Cell	UMAP_1	UMAP_2	Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Patient	Sample	Tissue
HCC5_COL14_ROW7	8.15198610344903	-11.4798796600371	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL14_ROW10	8.11455247918145	-11.9275696701079	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL14_ROW11	8.36398027459161	-11.1658261245757	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL14_ROW12	7.86609647789971	-11.3657925552397	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL14_ROW24	7.64453504601495	-11.7460787719756	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL14_ROW37	7.62270353356377	-9.13228539886766	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL14_ROW40	8.32699392357842	-11.7517922348052	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL15_ROW2	7.40931985894219	-11.7277892059355	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL15_ROW4	8.48323438683526	-11.4939082092314	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL15_ROW11	8.00220201531426	-11.9153244918852	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL15_ROW24	9.6952848247625	-9.68235616150194	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL15_ROW29	8.17475698510186	-11.4281313842803	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL15_ROW31	7.58416841546075	-9.98040131988817	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL15_ROW34	8.36667249718682	-11.5353720611601	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL15_ROW35	6.51476524392144	-11.4160607284575	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL15_ROW39	7.51296232262627	-11.6485922760039	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL16_ROW1	7.49748800316827	-9.78727559509569	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL16_ROW4	6.40440795937554	-9.69949750366503	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL16_ROW8	7.12954233208672	-11.7191107696562	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL16_ROW11	9.59206579247491	-9.73529462280565	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL16_ROW14	7.55858419457452	-10.144849104312	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL16_ROW15	8.65211771050469	-11.7512228912383	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL16_ROW17	7.57779310265557	-9.24011830749803	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL16_ROW27	8.51302240410821	-11.5700171417265	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL16_ROW28	7.78233430901544	-10.1768086380034	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL16_ROW33	7.92293451348321	-9.99129990997606	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL16_ROW35	9.71994207421319	-9.64301137390428	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL17_ROW2	7.86607358971612	-11.7773859924346	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL17_ROW5	8.19373319664971	-11.8597920364409	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL17_ROW12	7.55702589074151	-10.0005419677764	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL17_ROW18	8.38461969414727	-12.01481561127	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL17_ROW30	7.56597898522393	-9.91567258301073	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL17_ROW35	8.32974432030694	-11.453479093936	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL18_ROW3	8.36132810631768	-11.3107827133208	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL18_ROW6	8.6084403804876	-11.7621233886748	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL18_ROW9	7.69004056969659	-8.41084508362108	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL18_ROW10	7.33724687615411	-9.04170064392381	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL18_ROW15	8.56604383507745	-11.7738173431426	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
