CD8T	Malignant	Mono/Macro	Tprolif	B
AFAP1L2	0.06764	0.00379	0	0.03558	0.02308
AFF1	0.20896	0.19331	0.26657	0.24145	0.26101
AFF2	0.00672	0.01273	0.00227	0.02205	0
AFF3	0.03871	0.10677	0.08758	0.07213	0.02558
AFF4	0.40656	0.42052	0.47039	0.32154	0.40173
AFG3L1P	0.03445	0.07321	0.07937	0.14619	0.04433
AFG3L2	0.12992	0.30928	0.21175	0.17903	0.06519
AFM	0.13095	0.77949	0.21655	0.04129	0.06594
AFMID	0.02777	0.23775	0.06455	0.02136	0.03077
AFP	0.00517	0.04992	0.01136	0	0
AFTPH	0.3668	0.31223	0.25329	0.53089	0.55603
AGA	0.07341	0.06455	0.02152	0.10548	0.15348
AGAP1	0.0527	0.12127	0.05827	0.02777	0.05691
AL136982.1	0.00346	0.00349	0.0055	0	0.00899
AGAP2	0.10953	0.0064	0.00737	0.16742	0.07693
AGAP3	0.09502	0.22918	0.2317	0.02876	0.04729
AGAP4	0.00439	0.01164	0.01833	0.00043	0.00119
AGAP5	0.01079	0.02742	0.02143	0.0013	0.03345
AGAP6	0.03431	0.05494	0.04076	0.01133	0.05726
AGBL2	0.01073	0.03681	0.01056	0.01772	0.00196
AGBL3	0.01147	0.01897	0.00116	0.00978	0.00149
AGBL4	0.0011	0.00694	0.00334	0	0
AGBL5	0.03768	0.09445	0.05035	0.11583	0.01041
AGER	0.00809	0.01345	0.01858	0.04118	0.02448
AGFG1	0.25248	0.22923	0.20189	0.29703	0.08253
AGFG2	0.11117	0.28653	0.09896	0.10073	0.02717
AGGF1	0.18646	0.16142	0.16022	0.35986	0.23766
AGK	0.05925	0.02399	0.00581	0.0506	0.01615
AGL	0.27424	0.29357	0.13748	0.15689	0.11414
AGMAT	0.39435	0.7108	0.5646	0.27704	0.31851
AGMO	0.16205	0.27069	0.17113	0.09565	0.21215
AGO1	0.14388	0.14424	0.14813	0.16222	0.07314
AGO2	0.13241	0.0677	0.03611	0.15108	0.09311
AGO3	0.0361	0.06799	0.07505	0.13818	0.05345
AGO4	0.0915	0.12854	0.15522	0.05616	0.06375
AGPAT1	0.11289	0.19753	0.11879	0.17432	0.09837
AGPAT2	0.06091	0.14307	0.16132	0.06097	0.092
AGPAT3	0.27132	0.30924	0.19642	0.36279	0.19774
AGPAT4	0.01895	0.04983	0.03673	0.00056	0
AGPAT5	0.07	0.07057	0.07944	0.17877	0.1131
AGPS	0.08493	0.24998	0.22963	0.21072	0.09656
AGRN	0.02555	0.08215	0.07885	0.00056	0.00296
AGT	0.40144	2.06203	0.79196	0.06179	0.04253
AGTPBP1	0.18094	0.04553	0.07656	0.30156	0.08615
AGTR1	0.00163	0.04556	0.00864	0	0
AGTRAP	0.2041	0.08879	0.10925	0.18052	0.13189
