Cell,UMAP_1,UMAP_2,Cluster,Celltype..malignancy.,Celltype..major.lineage.,Celltype..minor.lineage.,Patient,Sample,Tissue,Risk.Factor,RiskFactorScore
HCC2_COL7_ROW38,3.96922395745294,2.37313004073805,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.222092206880412,-0.222092206880412
HCC2_COL7_ROW4,1.72863576928155,3.04893405971236,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.242998673843513,-0.242998673843513
HCC2_COL7_ROW40,6.76582525292413,-5.29557589950853,4,Immune cells,CD8T,CD8T,Patient 2,Patient 2,Tumor,0.534285045635385,0.534285045635385
HCC2_COL7_ROW5,2.57489631691949,4.47231813010878,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.24799126296903,0.24799126296903
HCC2_COL7_ROW6,4.22834346810357,2.45240481433577,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.449489039706685,0.449489039706685
HCC2_COL7_ROW7,2.92757223168389,3.64169140395827,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.242998673843513,-0.242998673843513
HCC2_COL7_ROW8,3.18747709313409,-0.618617457774216,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.219985958343084,-0.219985958343084
HCC2_COL7_ROW9,4.92378852883355,2.98755105075545,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.277400733286528,0.277400733286528
HCC2_COL8_ROW1,2.9183678440191,4.02995749053664,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.253763944145409,-0.253763944145409
HCC2_COL8_ROW10,3.74822948494927,3.44991417464918,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.444652468991341,0.444652468991341
HCC2_COL8_ROW11,7.72766397515313,-5.67121200027757,4,Immune cells,CD8T,CD8T,Patient 2,Patient 2,Tumor,-0.240736406896014,-0.240736406896014
HCC2_COL8_ROW12,3.32426832238213,-1.89880041542345,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.223964427802481,-0.223964427802481
HCC2_COL8_ROW13,4.06166790047662,2.76389189300246,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.289804196895234,-0.289804196895234
HCC2_COL8_ROW14,3.95458410302178,4.6239087158174,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.461424448084874,0.461424448084874
HCC2_COL8_ROW15,4.46161125222222,2.97412307796187,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.218815820266791,-0.218815820266791
HCC2_COL8_ROW16,3.63847110787408,-0.72209755840593,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.253529916530151,-0.253529916530151
HCC2_COL8_ROW17,4.02244852105157,5.03658195075697,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.343240502379281,-0.343240502379281
HCC2_COL8_ROW18,3.80434368172662,3.51942010459608,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.335439581870661,-0.335439581870661
HCC2_COL8_ROW19,3.66056201973931,3.75724001464552,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.257742413604805,-0.257742413604805
HCC2_COL8_ROW2,4.24142787972466,4.10706468162245,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.41079647398393,0.41079647398393
HCC2_COL8_ROW20,2.88631866494195,3.84200139579481,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.242920664638427,-0.242920664638427
HCC2_COL8_ROW21,3.42076967278497,-1.43950800361925,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.247835244558858,-0.247835244558858
HCC2_COL8_ROW22,4.88965557137505,3.03466673431105,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.382479132537639,-0.382479132537639
HCC2_COL8_ROW23,3.12351463356988,2.82792480525679,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.235119744129807,-0.235119744129807
HCC2_COL8_ROW24,4.82256172219293,3.75662847099013,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.331851158436695,0.331851158436695
HCC2_COL8_ROW25,3.51098106423394,4.73886294898695,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.298619237069974,0.298619237069974
HCC2_COL8_ROW26,3.11004303017632,4.38265271720595,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.314689133317731,-0.314689133317731
HCC2_COL8_ROW27,3.19240186730401,4.80950136718458,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.325454403619627,-0.325454403619627
HCC2_COL8_ROW28,3.12575481453912,-3.71199826660448,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.22911303533817,-0.22911303533817
HCC2_COL8_ROW29,3.3924774936773,-0.779940885928208,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.220219985958343,-0.220219985958343
HCC2_COL8_ROW3,3.99532983819024,3.70468540725417,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.339184023714798,-0.339184023714798
HCC2_COL8_ROW30,3.34365270653741,2.6275765472383,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.22685076839067,-0.22685076839067
HCC2_COL8_ROW31,3.38797853508965,-1.71012286606126,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.224354473827912,-0.224354473827912
HCC2_COL8_ROW32,3.64121578255669,4.11257572707838,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.348701146735315,-0.348701146735315
HCC2_COL8_ROW33,3.92770431557671,3.15127571162886,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.22131211482955,-0.22131211482955
HCC2_COL8_ROW34,3.3026394657232,4.23419495162672,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.291676417817302,-0.291676417817302
HCC2_COL8_ROW35,4.81858919182794,3.6063408428163,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.354707855526952,0.354707855526952
HCC2_COL8_ROW36,2.63053176919,4.52546234664625,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.383961307434277,-0.383961307434277
HCC2_COL8_ROW37,3.1003050617315,4.51280947265333,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.290272252125751,-0.290272252125751
HCC2_COL8_ROW38,3.23868654290215,-0.213057560351426,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.216241516498947,-0.216241516498947
HCC2_COL8_ROW4,2.61785672226922,4.3778297477693,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.314455105702473,-0.314455105702473
HCC2_COL8_ROW40,3.91629169503228,4.67587562141127,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.266635462984632,-0.266635462984632
HCC2_COL8_ROW5,3.65960166970269,-0.875646633532578,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.27428036508308,-0.27428036508308
HCC2_COL8_ROW6,2.65082119027154,3.06395335731215,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.323582182697558,-0.323582182697558
HCC2_COL8_ROW7,3.46007917443292,4.79073067245192,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.348311100709884,-0.348311100709884
HCC2_COL8_ROW8,3.69549797097222,-1.29799894752794,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.250331539121616,-0.250331539121616
HCC2_COL8_ROW9,3.15868328133599,-1.18780235710436,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.21842577424136,-0.21842577424136
HCC2_COL9_ROW1,6.51953695336358,2.28527529773421,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.334503471409626,-0.334503471409626
HCC2_COL9_ROW10,4.96298072854058,2.87184401092238,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.587253295888915,0.587253295888915
HCC2_COL9_ROW11,3.69445608178155,4.40076561507887,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.316483345034714,-0.316483345034714
HCC2_COL9_ROW12,3.17870424309747,4.00283237037367,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.469069350183322,0.469069350183322
HCC2_COL9_ROW13,3.2265143207647,2.99919243392653,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.192058662922225,-0.192058662922225
HCC2_COL9_ROW14,4.65224454918877,4.09769650039381,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.498712848116078,0.498712848116078
HCC2_COL9_ROW15,6.78351972619073,2.26407487926192,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.0786332787268898,0.0786332787268898
HCC2_COL9_ROW16,5.38121221581475,3.21488006648726,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.322880099851782,-0.322880099851782
HCC2_COL9_ROW17,3.66722343483941,-1.33792333069139,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,0.415242998673843,0.415242998673843
HCC2_COL9_ROW18,2.27330301323907,3.94775648650832,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.347218971838677,-0.347218971838677
HCC2_COL9_ROW19,3.5878276638128,-1.2039823955565,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.220297995163429,-0.220297995163429
HCC2_COL9_ROW2,1.9347514919378,3.76677723464674,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.244168811919807,-0.244168811919807
HCC2_COL9_ROW20,3.28846595803277,0.278466897580093,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.233871596848428,-0.233871596848428
HCC2_COL9_ROW21,4.08402345696465,2.68228180942244,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.212185037834464,-0.212185037834464
HCC2_COL9_ROW22,8.29471872368829,-6.59008340301805,4,Immune cells,CD8T,CD8T,Patient 2,Patient 2,Tumor,-0.21577346126843,-0.21577346126843
HCC2_COL9_ROW23,3.24317596474664,-0.262629670527512,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.202199859583431,-0.202199859583431
HCC2_COL9_ROW24,4.38406131783502,2.89592881736464,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.440752008737031,0.440752008737031
HCC2_COL9_ROW25,2.63729451218621,3.27121825751967,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.206412356658086,-0.206412356658086
