Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Malignant cells	Malignant	Malignant	EHD1	0.41	48.2	4.35e-37
0	Malignant cells	Malignant	Malignant	ADCY1	-0.34	34.7	4.44e-37
0	Malignant cells	Malignant	Malignant	RHOQ	-0.38	7.7	6.34e-37
0	Malignant cells	Malignant	Malignant	PTPRCAP	-0.74	1.2	8.86e-37
0	Malignant cells	Malignant	Malignant	SERINC5	0.4	69.2	9.1e-37
0	Malignant cells	Malignant	Malignant	ABHD12	0.29	53.4	1.15e-36
0	Malignant cells	Malignant	Malignant	ABI2	-0.35	43.6	1.17e-36
0	Malignant cells	Malignant	Malignant	NNT	0.29	66.3	1.3e-36
0	Malignant cells	Malignant	Malignant	NELFCD	0.32	46.6	1.36e-36
0	Malignant cells	Malignant	Malignant	LINC00924	-0.4	33.7	1.51e-36
0	Malignant cells	Malignant	Malignant	CXCR4	-0.62	1.9	1.56e-36
0	Malignant cells	Malignant	Malignant	NDUFV2	0.57	83.2	1.66e-36
0	Malignant cells	Malignant	Malignant	PHF12	-0.49	43.7	1.66e-36
0	Malignant cells	Malignant	Malignant	ARIH2OS	-0.35	23.9	1.94e-36
0	Malignant cells	Malignant	Malignant	PHAX	-0.27	66.7	2.03e-36
0	Malignant cells	Malignant	Malignant	SLC43A1	0.34	66.0	2.18e-36
0	Malignant cells	Malignant	Malignant	TMEM130	-0.35	27.6	2.37e-36
0	Malignant cells	Malignant	Malignant	GPC1	-0.43	0.7	3.2e-36
0	Malignant cells	Malignant	Malignant	OAZ1	-0.75	60.2	3.26e-36
0	Malignant cells	Malignant	Malignant	ZNF713	-0.35	33.3	3.38e-36
0	Malignant cells	Malignant	Malignant	RSAD2	-0.36	21.1	3.5e-36
0	Malignant cells	Malignant	Malignant	DSTN	0.37	68.5	3.56e-36
0	Malignant cells	Malignant	Malignant	NFKBIB	-0.35	37.2	4.07e-36
0	Malignant cells	Malignant	Malignant	MREG	-0.37	47.3	5.94e-36
0	Malignant cells	Malignant	Malignant	AFAP1L1	-0.47	39.5	6.08e-36
0	Malignant cells	Malignant	Malignant	RUNDC1	-0.43	37.9	6.66e-36
0	Malignant cells	Malignant	Malignant	STAT1	-0.87	33.4	8.34e-36
0	Malignant cells	Malignant	Malignant	TOM1	0.53	46.7	9.79e-36
0	Malignant cells	Malignant	Malignant	IGF1	-0.65	4.2	1.02e-35
0	Malignant cells	Malignant	Malignant	DDX3Y	-0.44	1.4	1.06e-35
0	Malignant cells	Malignant	Malignant	MAP3K11	0.39	61.6	1.07e-35
0	Malignant cells	Malignant	Malignant	DNAJC22	-0.43	46.5	1.21e-35
0	Malignant cells	Malignant	Malignant	BAZ1A	-0.68	17.5	1.22e-35
0	Malignant cells	Malignant	Malignant	TPRG1L	0.51	55.4	1.28e-35
0	Malignant cells	Malignant	Malignant	ERG28	0.48	54.6	1.37e-35
0	Malignant cells	Malignant	Malignant	NONO	0.37	80.8	1.66e-35
0	Malignant cells	Malignant	Malignant	RTN4	0.5	86.3	1.74e-35
0	Malignant cells	Malignant	Malignant	SSR1	0.33	91.6	1.92e-35
0	Malignant cells	Malignant	Malignant	SERPINA6	0.43	74.8	1.94e-35
0	Malignant cells	Malignant	Malignant	PRDM1	-0.91	0.6	2.06e-35
0	Malignant cells	Malignant	Malignant	NAA20	0.27	51.2	2.09e-35
0	Malignant cells	Malignant	Malignant	ACIN1	-0.82	27.5	2.19e-35
0	Malignant cells	Malignant	Malignant	ZNF429	-0.43	61.8	2.98e-35
0	Malignant cells	Malignant	Malignant	WDR70	0.32	54.3	3.06e-35
0	Malignant cells	Malignant	Malignant	ECH1	0.43	71.8	3.12e-35
0	Malignant cells	Malignant	Malignant	CCDC170	0.45	54.3	3.18e-35
0	Malignant cells	Malignant	Malignant	UQCR10	0.47	91.9	3.62e-35
0	Malignant cells	Malignant	Malignant	DRG1	0.6	45.9	4.18e-35
0	Malignant cells	Malignant	Malignant	MRPL40	0.4	48.3	4.2e-35
0	Malignant cells	Malignant	Malignant	IDNK	0.43	29.5	4.59e-35
0	Malignant cells	Malignant	Malignant	CLN8	-0.36	38.9	4.6e-35
0	Malignant cells	Malignant	Malignant	CIRBP	-0.93	35.9	4.92e-35
0	Malignant cells	Malignant	Malignant	SURF4	0.25	62.8	4.93e-35
0	Malignant cells	Malignant	Malignant	HCG11	-0.51	42.1	5.18e-35
0	Malignant cells	Malignant	Malignant	PCAT7	-0.25	21.7	5.41e-35
0	Malignant cells	Malignant	Malignant	FLNC	-0.44	0.3	5.74e-35
0	Malignant cells	Malignant	Malignant	PIPSL	-0.29	11.3	6.84e-35
0	Malignant cells	Malignant	Malignant	TRIM38	-0.83	24.6	8.46e-35
0	Malignant cells	Malignant	Malignant	ARL4C	-0.77	3.8	8.77e-35
0	Malignant cells	Malignant	Malignant	LINC00311	-0.39	36.2	8.82e-35
0	Malignant cells	Malignant	Malignant	SLC47A1	0.26	54.0	1.03e-34
0	Malignant cells	Malignant	Malignant	CNBP	0.56	76.6	1.03e-34
0	Malignant cells	Malignant	Malignant	CCR6	-0.36	36.9	1.2e-34
0	Malignant cells	Malignant	Malignant	MRPS10	0.44	71.6	1.23e-34
0	Malignant cells	Malignant	Malignant	CYP20A1	-0.54	72.2	1.42e-34
0	Malignant cells	Malignant	Malignant	TMEM179B	0.42	52.0	1.43e-34
0	Malignant cells	Malignant	Malignant	FKBP5	-1.11	46.9	1.59e-34
0	Malignant cells	Malignant	Malignant	EEF1D	-0.8	69.9	1.73e-34
0	Malignant cells	Malignant	Malignant	FDPS	0.5	80.0	2.24e-34
0	Malignant cells	Malignant	Malignant	RNF167	0.39	47.5	2.38e-34
0	Malignant cells	Malignant	Malignant	CYB5R3	0.42	70.9	2.47e-34
0	Malignant cells	Malignant	Malignant	WIPF1	-0.62	2.5	2.48e-34
0	Malignant cells	Malignant	Malignant	MR1	-0.42	34.3	2.55e-34
0	Malignant cells	Malignant	Malignant	DCAF4L2	-0.33	0.0	2.56e-34
0	Malignant cells	Malignant	Malignant	POLH	-0.48	58.6	2.8e-34
0	Malignant cells	Malignant	Malignant	RNF157	-0.49	44.7	3e-34
0	Malignant cells	Malignant	Malignant	UBB	0.66	98.0	3.54e-34
0	Malignant cells	Malignant	Malignant	TPTE2P1	-0.37	30.7	4.15e-34
0	Malignant cells	Malignant	Malignant	OCIAD2	0.34	53.8	4.36e-34
0	Malignant cells	Malignant	Malignant	ARPC1A	0.3	52.7	4.62e-34
0	Malignant cells	Malignant	Malignant	TRIM24	0.35	50.1	4.71e-34
0	Malignant cells	Malignant	Malignant	BCKDK	0.31	40.8	5.68e-34
0	Malignant cells	Malignant	Malignant	AKR1A1	0.44	77.1	6.26e-34
0	Malignant cells	Malignant	Malignant	CCBE1	-0.46	45.4	6.44e-34
0	Malignant cells	Malignant	Malignant	ATG14	-0.32	38.6	6.47e-34
0	Malignant cells	Malignant	Malignant	KHK	0.4	80.9	6.85e-34
0	Malignant cells	Malignant	Malignant	PPM1K	-0.5	30.4	7.69e-34
0	Malignant cells	Malignant	Malignant	LY6K	-0.3	0.0	7.93e-34
0	Malignant cells	Malignant	Malignant	CD3D	-0.85	0.1	1.02e-33
0	Malignant cells	Malignant	Malignant	TRIO	0.41	53.5	1.05e-33
0	Malignant cells	Malignant	Malignant	FCF1	-0.36	30.8	1.09e-33
0	Malignant cells	Malignant	Malignant	PTDSS2	0.28	29.5	1.14e-33
0	Malignant cells	Malignant	Malignant	ADD1	0.35	66.6	1.17e-33
0	Malignant cells	Malignant	Malignant	CD27	-0.97	0.7	1.24e-33
0	Malignant cells	Malignant	Malignant	GCKR	-0.27	4.9	1.26e-33
0	Malignant cells	Malignant	Malignant	IRF6	-0.29	0.4	1.29e-33
0	Malignant cells	Malignant	Malignant	CCT3	0.49	80.5	1.32e-33
0	Malignant cells	Malignant	Malignant	MALAT1	-0.49	100.0	1.41e-33
0	Malignant cells	Malignant	Malignant	SELENBP1	0.33	62.7	1.44e-33
0	Malignant cells	Malignant	Malignant	C14orf132	-0.45	31.7	1.44e-33
0	Malignant cells	Malignant	Malignant	HNRNPD	-0.52	27.1	1.48e-33
0	Malignant cells	Malignant	Malignant	SS18L1	0.29	52.5	1.74e-33
0	Malignant cells	Malignant	Malignant	STX5	0.38	35.5	1.78e-33
0	Malignant cells	Malignant	Malignant	SCN11A	-0.33	37.3	1.88e-33
0	Malignant cells	Malignant	Malignant	SAMD9L	-0.64	0.9	2.76e-33
0	Malignant cells	Malignant	Malignant	IQGAP1	-0.91	12.2	2.88e-33
0	Malignant cells	Malignant	Malignant	UBE2Q2P1	-0.47	40.8	3.04e-33
0	Malignant cells	Malignant	Malignant	HHEX	0.33	43.8	3.18e-33
0	Malignant cells	Malignant	Malignant	IRS2	0.33	53.5	3.77e-33
0	Malignant cells	Malignant	Malignant	TMEM59	0.27	77.3	4.11e-33
0	Malignant cells	Malignant	Malignant	TNFRSF1B	-0.72	23.7	4.59e-33
0	Malignant cells	Malignant	Malignant	LSM2	0.3	46.9	4.9e-33
0	Malignant cells	Malignant	Malignant	BTN3A2	-0.51	38.1	5.8e-33
0	Malignant cells	Malignant	Malignant	GUSBP4	0.27	34.3	6e-33
0	Malignant cells	Malignant	Malignant	CCNC	0.32	53.8	6.06e-33
0	Malignant cells	Malignant	Malignant	SLC26A4	-0.4	26.0	6.2e-33
0	Malignant cells	Malignant	Malignant	ST6GALNAC6	0.31	29.7	6.43e-33
0	Malignant cells	Malignant	Malignant	TEP1	-0.37	23.0	6.74e-33
0	Malignant cells	Malignant	Malignant	AP1G2	-0.41	0.7	8.18e-33
0	Malignant cells	Malignant	Malignant	ATP5F1C	0.35	66.1	8.83e-33
0	Malignant cells	Malignant	Malignant	CYB5R1	0.45	45.9	8.85e-33
0	Malignant cells	Malignant	Malignant	COTL1	-0.51	0.9	9.99e-33
0	Malignant cells	Malignant	Malignant	GADD45B	-0.53	4.3	1.18e-32
0	Malignant cells	Malignant	Malignant	FUCA2	0.41	56.6	1.21e-32
0	Malignant cells	Malignant	Malignant	PIN4	0.6	54.7	1.23e-32
0	Malignant cells	Malignant	Malignant	MLF2	0.43	70.5	1.24e-32
0	Malignant cells	Malignant	Malignant	PRR13	0.5	71.3	1.25e-32
0	Malignant cells	Malignant	Malignant	ENTPD6	0.52	49.5	1.31e-32
0	Malignant cells	Malignant	Malignant	IKZF1	-0.57	0.1	1.64e-32
0	Malignant cells	Malignant	Malignant	FLOT1	0.29	52.0	1.93e-32
0	Malignant cells	Malignant	Malignant	FKBP14	-0.47	50.7	2e-32
0	Malignant cells	Malignant	Malignant	KXD1	0.31	47.9	2.02e-32
0	Malignant cells	Malignant	Malignant	COPRS	0.45	60.2	2.22e-32
0	Malignant cells	Malignant	Malignant	NSFL1C	0.3	52.0	2.27e-32
0	Malignant cells	Malignant	Malignant	LTB	-0.77	1.9	2.32e-32
0	Malignant cells	Malignant	Malignant	S100A4	-0.59	1.3	2.67e-32
0	Malignant cells	Malignant	Malignant	HSPB1	0.32	80.8	3.09e-32
0	Malignant cells	Malignant	Malignant	NUGGC	-0.55	35.2	3.13e-32
0	Malignant cells	Malignant	Malignant	FBLIM1	-0.43	52.4	3.59e-32
0	Malignant cells	Malignant	Malignant	ADAT1	-0.4	61.9	3.9e-32
0	Malignant cells	Malignant	Malignant	CCNI	-0.68	26.9	4.56e-32
0	Malignant cells	Malignant	Malignant	TOB1	0.32	57.9	4.59e-32
0	Malignant cells	Malignant	Malignant	CTPS1	-0.38	5.9	5.18e-32
0	Malignant cells	Malignant	Malignant	EVI2B	-0.65	0.6	5.62e-32
0	Malignant cells	Malignant	Malignant	PCAT1	-0.3	27.6	5.66e-32
0	Malignant cells	Malignant	Malignant	UNC119	-0.36	7.2	6.01e-32
0	Malignant cells	Malignant	Malignant	PRRC2C	-0.7	87.1	8.03e-32
0	Malignant cells	Malignant	Malignant	DSTYK	-0.5	46.5	8.25e-32
0	Malignant cells	Malignant	Malignant	IMPA2	0.26	38.9	9.19e-32
0	Malignant cells	Malignant	Malignant	PCBD1	0.4	59.2	1.07e-31
0	Malignant cells	Malignant	Malignant	USP9Y	-0.33	0.1	1.09e-31
0	Malignant cells	Malignant	Malignant	RIOK3	-0.55	58.3	1.26e-31
0	Malignant cells	Malignant	Malignant	FARP1	0.33	42.5	1.42e-31
0	Malignant cells	Malignant	Malignant	ARHGAP1	0.6	46.3	1.51e-31
0	Malignant cells	Malignant	Malignant	AP4S1	-0.34	35.3	1.6e-31
0	Malignant cells	Malignant	Malignant	DDAH1	0.3	64.7	1.63e-31
0	Malignant cells	Malignant	Malignant	HIST1H1D	-0.76	0.0	1.75e-31
0	Malignant cells	Malignant	Malignant	TIMM8A	0.39	30.1	1.95e-31
0	Malignant cells	Malignant	Malignant	MYLK	0.25	68.3	2.51e-31
0	Malignant cells	Malignant	Malignant	TRMT2B	-0.38	23.0	2.69e-31
0	Malignant cells	Malignant	Malignant	SIRT5	0.29	36.2	2.73e-31
0	Malignant cells	Malignant	Malignant	GATAD1	-0.67	55.1	2.82e-31
0	Malignant cells	Malignant	Malignant	LINC00504	-0.62	94.6	2.85e-31
0	Malignant cells	Malignant	Malignant	GRINA	0.34	86.5	2.89e-31
0	Malignant cells	Malignant	Malignant	TLR10	-0.27	20.8	3.15e-31
0	Malignant cells	Malignant	Malignant	CLDN1	0.33	65.0	3.3e-31
0	Malignant cells	Malignant	Malignant	CCDC69	-0.57	30.0	3.99e-31
0	Malignant cells	Malignant	Malignant	ARHGAP30	-0.52	0.6	4.08e-31
0	Malignant cells	Malignant	Malignant	LCK	-0.7	0.0	4.37e-31
0	Malignant cells	Malignant	Malignant	ITGB2	-0.47	1.9	4.47e-31
0	Malignant cells	Malignant	Malignant	KCNJ5	-0.45	50.9	4.64e-31
0	Malignant cells	Malignant	Malignant	PLEKHA2	-0.36	34.4	4.74e-31
0	Malignant cells	Malignant	Malignant	MAP3K9	-0.32	42.8	4.9e-31
0	Malignant cells	Malignant	Malignant	SKAP2	-0.42	32.1	5.09e-31
0	Malignant cells	Malignant	Malignant	FUT2	-0.33	30.5	6.11e-31
0	Malignant cells	Malignant	Malignant	APOL3	-0.46	1.2	6.14e-31
0	Malignant cells	Malignant	Malignant	CLUAP1	-0.39	43.3	6.73e-31
0	Malignant cells	Malignant	Malignant	PSMC2	0.28	54.4	6.82e-31
0	Malignant cells	Malignant	Malignant	PLEK	-0.65	1.4	7.37e-31
0	Malignant cells	Malignant	Malignant	POLRMT	0.29	46.5	7.98e-31
0	Malignant cells	Malignant	Malignant	GP2	-0.28	24.6	8.17e-31
0	Malignant cells	Malignant	Malignant	GRHPR	0.26	47.3	8.61e-31
0	Malignant cells	Malignant	Malignant	ANKRD36B	-0.51	23.7	9.29e-31
0	Malignant cells	Malignant	Malignant	KLB	0.44	71.5	1.06e-30
0	Malignant cells	Malignant	Malignant	SERPINE1	-0.92	13.3	1.09e-30
0	Malignant cells	Malignant	Malignant	TENT4B	0.31	60.8	1.11e-30
0	Malignant cells	Malignant	Malignant	TMX2	0.3	55.1	1.23e-30
0	Malignant cells	Malignant	Malignant	POLR2I	0.56	67.9	1.23e-30
0	Malignant cells	Malignant	Malignant	THSD4	0.32	16.2	1.24e-30
0	Malignant cells	Malignant	Malignant	FAM161A	-0.34	38.1	1.27e-30
0	Malignant cells	Malignant	Malignant	PCBP1	0.3	68.6	1.31e-30
0	Malignant cells	Malignant	Malignant	KLHDC10	0.27	52.4	1.37e-30
0	Malignant cells	Malignant	Malignant	NSDHL	0.38	40.5	1.42e-30
0	Malignant cells	Malignant	Malignant	L2HGDH	-0.5	37.3	1.46e-30
0	Malignant cells	Malignant	Malignant	MALSU1	0.39	45.2	1.59e-30
0	Malignant cells	Malignant	Malignant	AGPAT1	0.25	44.4	1.61e-30
0	Malignant cells	Malignant	Malignant	MAPK12	-0.43	0.4	1.68e-30
0	Malignant cells	Malignant	Malignant	PEMT	0.51	38.4	1.82e-30
0	Malignant cells	Malignant	Malignant	ORC3	0.31	36.9	2.13e-30
0	Malignant cells	Malignant	Malignant	MYO5A	-0.66	24.3	2.2e-30
0	Malignant cells	Malignant	Malignant	ARMC9	-0.41	41.2	2.27e-30
0	Malignant cells	Malignant	Malignant	GMFG	-0.44	1.7	2.28e-30
0	Malignant cells	Malignant	Malignant	ACOT9	-0.41	47.5	2.51e-30
0	Malignant cells	Malignant	Malignant	MYO1B	0.43	68.5	2.76e-30
0	Malignant cells	Malignant	Malignant	SHROOM4	-0.38	22.7	2.9e-30
0	Malignant cells	Malignant	Malignant	GNB4	-0.48	35.3	3.85e-30
0	Malignant cells	Malignant	Malignant	TINCR	-0.25	31.0	4.5e-30
0	Malignant cells	Malignant	Malignant	TSPAN14	-0.57	48.5	5e-30
0	Malignant cells	Malignant	Malignant	MKI67	-0.94	11.4	5.96e-30
0	Malignant cells	Malignant	Malignant	INPP4B	-0.44	19.4	6.07e-30
0	Malignant cells	Malignant	Malignant	PLXDC1	-0.28	24.3	6.13e-30
0	Malignant cells	Malignant	Malignant	SH3KBP1	-0.56	7.5	6.36e-30
0	Malignant cells	Malignant	Malignant	CAPN1	0.3	47.2	6.63e-30
0	Malignant cells	Malignant	Malignant	SRSF10	-0.57	68.6	7.95e-30
0	Malignant cells	Malignant	Malignant	VHL	-0.46	56.6	8.16e-30
0	Malignant cells	Malignant	Malignant	GPC4	-0.35	0.0	8.16e-30
0	Malignant cells	Malignant	Malignant	FAM217B	-0.4	39.2	8.57e-30
0	Malignant cells	Malignant	Malignant	RAC2	-0.54	1.3	9.66e-30
0	Malignant cells	Malignant	Malignant	HKDC1	-0.49	5.8	9.69e-30
0	Malignant cells	Malignant	Malignant	MAPK13	-0.4	37.8	9.84e-30
0	Malignant cells	Malignant	Malignant	PPP1CB	0.27	60.6	9.95e-30
0	Malignant cells	Malignant	Malignant	SGTB	-0.34	25.3	1.07e-29
0	Malignant cells	Malignant	Malignant	PCED1A	0.31	41.1	1.08e-29
0	Malignant cells	Malignant	Malignant	HPSE	-0.32	32.4	1.34e-29
0	Malignant cells	Malignant	Malignant	PIAS2	-0.43	45.9	1.36e-29
0	Malignant cells	Malignant	Malignant	CD8A	-0.64	1.3	1.51e-29
0	Malignant cells	Malignant	Malignant	TSHZ2	-0.59	31.5	1.56e-29
0	Malignant cells	Malignant	Malignant	EIF4E	-0.36	38.5	1.57e-29
0	Malignant cells	Malignant	Malignant	COPS6	0.43	67.1	1.61e-29
0	Malignant cells	Malignant	Malignant	ISG20	-0.61	3.9	1.67e-29
0	Malignant cells	Malignant	Malignant	TUBB	0.34	86.4	1.71e-29
0	Malignant cells	Malignant	Malignant	BTG2	-0.5	2.0	1.72e-29
0	Malignant cells	Malignant	Malignant	CHRNA5	-0.3	30.5	1.8e-29
0	Malignant cells	Malignant	Malignant	C6orf132	-0.3	18.4	2.28e-29
0	Malignant cells	Malignant	Malignant	HLA-DPA1	-0.47	3.0	2.31e-29
0	Malignant cells	Malignant	Malignant	PSPH	0.29	46.7	2.36e-29
0	Malignant cells	Malignant	Malignant	SH3BGRL	-0.45	3.6	2.73e-29
0	Malignant cells	Malignant	Malignant	SRFBP1	-0.35	34.3	2.87e-29
0	Malignant cells	Malignant	Malignant	MAOA	0.42	59.5	2.87e-29
0	Malignant cells	Malignant	Malignant	LBR	0.29	63.8	2.95e-29
0	Malignant cells	Malignant	Malignant	PUM1	0.34	67.7	3.17e-29
0	Malignant cells	Malignant	Malignant	DCTN5	-0.34	40.1	3.25e-29
0	Malignant cells	Malignant	Malignant	CENPE	-0.54	3.5	3.29e-29
0	Malignant cells	Malignant	Malignant	SEMA4D	-0.36	1.2	3.32e-29
0	Malignant cells	Malignant	Malignant	GSTA4	0.43	36.0	3.63e-29
0	Malignant cells	Malignant	Malignant	SNRPB	0.29	54.1	4.85e-29
0	Malignant cells	Malignant	Malignant	CARD8	-0.42	6.7	5.43e-29
0	Malignant cells	Malignant	Malignant	GABARAPL2	0.27	48.3	5.64e-29
0	Malignant cells	Malignant	Malignant	SDHD	0.28	56.2	6.14e-29
0	Malignant cells	Malignant	Malignant	RNF26	0.46	47.6	6.59e-29
0	Malignant cells	Malignant	Malignant	SF3B2	0.43	83.9	6.85e-29
0	Malignant cells	Malignant	Malignant	ESF1	0.41	61.8	8.53e-29
0	Malignant cells	Malignant	Malignant	GOT2	0.34	68.0	8.54e-29
0	Malignant cells	Malignant	Malignant	DENR	0.44	60.3	8.96e-29
0	Malignant cells	Malignant	Malignant	HEXIM1	-0.28	6.1	9.1e-29
0	Malignant cells	Malignant	Malignant	CEBPA	0.26	70.8	9.2e-29
0	Malignant cells	Malignant	Malignant	GZMA	-0.65	0.1	9.54e-29
0	Malignant cells	Malignant	Malignant	HSD17B14	-0.42	8.8	9.62e-29
0	Malignant cells	Malignant	Malignant	PNPT1	-0.44	54.0	1.03e-28
0	Malignant cells	Malignant	Malignant	ACACB	-0.52	10.6	1.12e-28
0	Malignant cells	Malignant	Malignant	RXRA	0.52	59.2	1.25e-28
0	Malignant cells	Malignant	Malignant	ZNF131	0.31	46.2	1.3e-28
0	Malignant cells	Malignant	Malignant	PLXNB2	0.31	57.2	1.31e-28
0	Malignant cells	Malignant	Malignant	FN3KRP	0.34	27.8	1.41e-28
0	Malignant cells	Malignant	Malignant	RUFY3	-0.47	13.9	1.55e-28
0	Malignant cells	Malignant	Malignant	DNAL1	-0.25	36.2	1.59e-28
0	Malignant cells	Malignant	Malignant	SGK494	-0.26	21.7	1.66e-28
0	Malignant cells	Malignant	Malignant	RDH16	0.26	43.4	1.8e-28
0	Malignant cells	Malignant	Malignant	DCTPP1	0.37	29.8	1.9e-28
0	Malignant cells	Malignant	Malignant	GSTM3	-0.3	47.2	1.95e-28
0	Malignant cells	Malignant	Malignant	HINT1	0.34	92.0	1.95e-28
0	Malignant cells	Malignant	Malignant	GJC1	-0.29	41.0	1.96e-28
0	Malignant cells	Malignant	Malignant	ITGA4	-0.61	3.0	2.35e-28
0	Malignant cells	Malignant	Malignant	RPL10A	0.32	86.7	2.38e-28
0	Malignant cells	Malignant	Malignant	CHMP1A	0.42	48.0	2.84e-28
0	Malignant cells	Malignant	Malignant	STRAP	0.25	44.0	2.85e-28
0	Malignant cells	Malignant	Malignant	IRAK4	-0.42	31.7	2.9e-28
0	Malignant cells	Malignant	Malignant	AGPS	0.35	48.0	2.99e-28
0	Malignant cells	Malignant	Malignant	ZNF622	0.28	32.6	3.24e-28
0	Malignant cells	Malignant	Malignant	NWD1	-0.41	47.8	3.3e-28
0	Malignant cells	Malignant	Malignant	PDE4C	-0.4	48.8	3.38e-28
0	Malignant cells	Malignant	Malignant	RALBP1	0.29	66.9	3.45e-28
0	Malignant cells	Malignant	Malignant	UQCRC2	0.25	47.9	4.14e-28
0	Malignant cells	Malignant	Malignant	DPY30	0.32	48.5	4.37e-28
0	Malignant cells	Malignant	Malignant	POLR2F	0.27	46.7	4.81e-28
0	Malignant cells	Malignant	Malignant	SAMD9	-0.47	0.1	5.37e-28
0	Malignant cells	Malignant	Malignant	PARD3B	0.35	44.3	5.61e-28
0	Malignant cells	Malignant	Malignant	GRTP1	-0.39	47.5	6.05e-28
0	Malignant cells	Malignant	Malignant	UGGT1	-0.52	76.8	6.45e-28
0	Malignant cells	Malignant	Malignant	BDH2	-0.27	7.1	7.04e-28
0	Malignant cells	Malignant	Malignant	TSN	0.31	49.3	7.97e-28
0	Malignant cells	Malignant	Malignant	SREBF2	0.33	45.9	8e-28
0	Malignant cells	Malignant	Malignant	LHPP	0.3	40.1	9.26e-28
0	Malignant cells	Malignant	Malignant	RASSF5	-0.34	1.0	9.55e-28
0	Malignant cells	Malignant	Malignant	CXCL14	-0.42	70.3	1.07e-27
0	Malignant cells	Malignant	Malignant	ACTB	-0.77	93.2	1.3e-27
0	Malignant cells	Malignant	Malignant	SLC17A4	0.26	62.2	1.42e-27
0	Malignant cells	Malignant	Malignant	SEMA4F	-0.34	42.4	1.48e-27
0	Malignant cells	Malignant	Malignant	NKG7	-0.37	0.1	1.5e-27
0	Malignant cells	Malignant	Malignant	HIST1H1E	-0.73	6.2	1.69e-27
0	Malignant cells	Malignant	Malignant	SMARCA4	-0.87	15.2	1.71e-27
0	Malignant cells	Malignant	Malignant	DHTKD1	0.45	88.9	1.87e-27
0	Malignant cells	Malignant	Malignant	HABP4	0.32	28.5	1.99e-27
0	Malignant cells	Malignant	Malignant	ABHD15	-0.3	25.5	2.08e-27
0	Malignant cells	Malignant	Malignant	AKR1B10	-0.89	43.3	2.38e-27
0	Malignant cells	Malignant	Malignant	FABP5	-0.49	2.9	2.67e-27
0	Malignant cells	Malignant	Malignant	VPS28	0.39	70.8	2.68e-27
0	Malignant cells	Malignant	Malignant	PLA2G16	0.36	51.7	2.69e-27
0	Malignant cells	Malignant	Malignant	VAMP3	0.31	41.8	2.7e-27
0	Malignant cells	Malignant	Malignant	IRF2BP2	0.3	77.1	2.72e-27
0	Malignant cells	Malignant	Malignant	UBQLN2	0.27	38.8	2.93e-27
0	Malignant cells	Malignant	Malignant	SCCPDH	0.37	62.4	2.95e-27
0	Malignant cells	Malignant	Malignant	HTATSF1P2	-0.41	42.3	3.43e-27
0	Malignant cells	Malignant	Malignant	ANKRD17	-0.49	22.3	3.83e-27
0	Malignant cells	Malignant	Malignant	PAAF1	0.25	27.6	3.97e-27
0	Malignant cells	Malignant	Malignant	CTNNA1	0.29	64.0	4.05e-27
0	Malignant cells	Malignant	Malignant	SIK2	0.32	43.0	4.08e-27
0	Malignant cells	Malignant	Malignant	ANKRD36	-0.55	16.1	4.32e-27
0	Malignant cells	Malignant	Malignant	MVP	-0.41	9.0	4.64e-27
0	Malignant cells	Malignant	Malignant	FNIP2	-0.46	12.0	4.69e-27
0	Malignant cells	Malignant	Malignant	FAM151A	-0.43	1.4	5.25e-27
0	Malignant cells	Malignant	Malignant	ZNF432	-0.34	23.2	5.58e-27
0	Malignant cells	Malignant	Malignant	SEL1L3	-0.9	3.2	5.58e-27
0	Malignant cells	Malignant	Malignant	MRFAP1	0.39	61.6	6.37e-27
0	Malignant cells	Malignant	Malignant	RAB3IP	-0.32	23.7	6.42e-27
0	Malignant cells	Malignant	Malignant	SGPP2	-0.27	21.0	6.65e-27
0	Malignant cells	Malignant	Malignant	MEA1	0.55	58.5	6.75e-27
0	Malignant cells	Malignant	Malignant	CEBPA-DT	0.29	14.5	7.27e-27
0	Malignant cells	Malignant	Malignant	MRPL14	0.49	49.6	8.34e-27
0	Malignant cells	Malignant	Malignant	LRRC27	-0.48	49.3	8.66e-27
0	Malignant cells	Malignant	Malignant	GALE	0.25	47.5	1.11e-26
0	Malignant cells	Malignant	Malignant	OSER1	0.28	42.5	1.18e-26
0	Malignant cells	Malignant	Malignant	GID8	0.33	54.4	1.21e-26
0	Malignant cells	Malignant	Malignant	ANO9	-0.34	0.0	1.3e-26
0	Malignant cells	Malignant	Malignant	HDHD3	0.34	43.0	1.3e-26
0	Malignant cells	Malignant	Malignant	ZNF106	-0.37	61.1	1.69e-26
0	Malignant cells	Malignant	Malignant	TSPYL1	0.27	51.2	1.73e-26
0	Malignant cells	Malignant	Malignant	SERBP1	0.33	84.4	1.8e-26
0	Malignant cells	Malignant	Malignant	UCP2	-0.8	5.1	1.81e-26
0	Malignant cells	Malignant	Malignant	RPA1	0.26	30.1	2.01e-26
0	Malignant cells	Malignant	Malignant	PSMD4	0.37	76.0	2.06e-26
0	Malignant cells	Malignant	Malignant	ADM2	-0.42	43.3	2.31e-26
0	Malignant cells	Malignant	Malignant	WDR31	-0.32	47.6	2.45e-26
0	Malignant cells	Malignant	Malignant	PSMD13	0.28	59.2	2.47e-26
