,sample_subtypes,scores_aa_df$amino_acid,scores_lp_df$lipid,scores_nt_df$nucleotide
TCGA-DD-AAEE-01A-11R-A41C-07,2,0.810655659822965,0.679737959558304,0.713686219147755
TCGA-GJ-A9DB-01A-11R-A37K-07,2,0.763077226076435,0.817677719578298,0.641090319614392
TCGA-DD-A3A3-01A-11R-A22L-07,1,0.779365566405103,0.671870547460794,0.766029140288722
TCGA-ED-A459-01A-11R-A266-07,2,0.635785583040644,0.7254234153259,0.515640751150278
TCGA-2Y-A9H5-01A-11R-A38B-07,1,0.581186255875696,0.666578186102214,0.293292657505019
TCGA-DD-AAE0-01A-11R-A41C-07,1,0.361273591319567,0.279988491732113,0.215796409502567
TCGA-CC-A7IG-01A-11R-A33J-07,1,0.550295013732759,0.463165805045317,0.686282635722766
TCGA-DD-A73B-01A-12R-A32O-07,2,0.800271455062376,0.825778981632156,0.817664820531055
TCGA-CC-5264-01A-01R-A131-07,1,0.438608487527767,0.675491955135448,0.533774289104192
TCGA-BC-A5W4-01A-11R-A28V-07,2,0.652482890914603,0.749606357641109,0.647803183330098
TCGA-RC-A7SF-01A-11R-A352-07,2,0.747011266663685,0.785523689443576,0.840038277296071
TCGA-DD-A1EE-01A-11R-A131-07,2,0.716543511026269,0.741170705872599,0.54642656885561
TCGA-BC-A3KG-01A-11R-A213-07,1,0.537991824623072,0.628345687208624,0.232875125375161
TCGA-DD-A119-01A-11R-A131-07,2,0.891611374027068,0.710501202500149,0.818632744553237
TCGA-DD-AAEK-01A-11R-A41C-07,2,0.704661053380757,0.839568392318536,0.46616591650075
TCGA-O8-A75V-01A-11R-A32O-07,2,0.732043205655975,0.760416662676008,0.677331836484433
TCGA-ED-A7PZ-01A-11R-A33R-07,1,0.866869598697347,0.604427505178276,0.401767696654215
TCGA-ED-A97K-01A-21R-A38B-07,1,0.391852331520669,0.533021976654729,0.37018518243131
TCGA-DD-A1EA-01A-11R-A131-07,2,0.738655299627255,0.750842339083876,0.398728144124264
TCGA-DD-A118-01A-11R-A131-07,1,0.662443399123922,0.643254860941681,0.248193357386439
TCGA-DD-A4NG-01A-11R-A27V-07,2,0.561609363496719,0.791038477726231,0.529919104163101
TCGA-DD-A4NJ-01A-11R-A27V-07,2,0.681156076842401,0.675945113141317,0.679615080397293
TCGA-DD-AADG-01A-11R-A41C-07,2,0.772554943858798,0.757455616331301,0.351623100204639
TCGA-K7-A6G5-01A-11R-A311-07,2,0.833313569887155,0.883528656102685,0.864774565095524
TCGA-BC-A10T-01A-11R-A131-07,2,0.824877222541573,0.700902253850073,0.829826667411524
TCGA-HP-A5N0-01A-11R-A28V-07,2,0.738205409586374,0.77183203687158,0.535889938955823
TCGA-FV-A496-01A-11R-A266-07,2,0.678306746949168,0.783181598304622,0.611988567595473
TCGA-DD-AACV-01A-11R-A41C-07,2,0.773460649075103,0.777742109142287,0.656272136246051
TCGA-3K-AAZ8-01A-12R-A39D-07,2,0.838788115855721,0.756270751961524,0.579866990152661
TCGA-UB-A7MF-01A-11R-A33J-07,1,0.785569409403615,0.633056422572948,0.49852384280444
TCGA-DD-A1EK-01A-11R-A213-07,2,0.716588956996792,0.871264420849621,0.448047126683087
TCGA-DD-AAE6-01A-11R-A41C-07,2,0.816730962391148,0.698138665821382,0.851251964650595
TCGA-MI-A75C-01A-11R-A32O-07,2,0.810416018733692,0.637509915536165,0.878033248443578
TCGA-DD-A3A4-01A-11R-A22L-07,2,0.968954011437116,0.734175819600096,0.844162742980127
TCGA-DD-A113-01A-11R-A131-07,1,0.760008132943855,0.673507607978986,0.689780242695742
TCGA-DD-AACE-01A-11R-A41C-07,2,0.676428120183494,0.759743386163109,0.344837338106784
TCGA-UB-A7MB-01A-11R-A33R-07,2,0.688070893497613,0.783445541646021,0.754037585145814
TCGA-ED-A66X-01A-11R-A311-07,1,0.645803553199014,0.631850545282225,0.509403370655432
TCGA-QA-A7B7-01A-11R-A32O-07,2,0.704024192521329,0.642923481200346,0.607860122624259
TCGA-G3-A25S-01A-11R-A16W-07,1,0.824838980833277,0.614228388686579,0.817028092643141
TCGA-DD-A4NE-01A-11R-A27V-07,2,0.643863209895452,0.795048427460695,0.708753017794791
TCGA-FV-A495-01A-11R-A266-07,2,0.80732693079759,0.649037494716484,0.809550666154262
TCGA-G3-A25U-01A-11R-A16W-07,2,0.720918294744215,0.718702283470859,0.736835417761319
TCGA-ED-A4XI-01A-11R-A266-07,2,0.801363056508499,0.804808388400752,0.420829757632548
TCGA-UB-A7ME-01A-11R-A33J-07,1,0.671987395012351,0.615889233703133,0.392414034040057
TCGA-DD-A39Y-01A-11R-A213-07,1,0.722489994087776,0.514288731105468,0.763257578262945
TCGA-LG-A6GG-01A-11R-A311-07,2,0.748566031664945,0.80506036563812,0.564766980892908
TCGA-DD-A4ND-01A-11R-A266-07,2,0.663421673224095,0.732338562561061,0.448519518443419
TCGA-CC-5260-01A-01R-A131-07,1,0,0.254877900060787,0.260065118263385
TCGA-DD-AADU-01A-11R-A41C-07,2,0.67281380870388,0.65012840639451,0.591830192480014
TCGA-G3-A3CJ-01A-11R-A213-07,2,0.867383718049502,0.73337413016252,0.611392279316644
TCGA-BD-A3EP-01A-11R-A22L-07,1,0.58865679210656,0.664202434297569,0.285883347608525
TCGA-DD-AACK-01A-11R-A41C-07,2,0.804524676822052,0.851981929350953,0.837601231793376
TCGA-DD-A3A5-01A-11R-A22L-07,2,0.889600496221492,0.78036949713987,0.708565874378091
TCGA-CC-A123-01A-11R-A131-07,1,0.649765044811455,0.543486057434375,0.602067675428215
TCGA-DD-AACY-01A-11R-A41C-07,2,0.872878982271478,0.709115153912607,0.622345284846579
TCGA-UB-AA0V-01A-11R-A38B-07,2,0.805692950967556,0.793379409937429,0.418868568508929
TCGA-CC-A7IH-01A-11R-A33J-07,2,0.686111727507838,0.754211482275116,0.28141248565079
TCGA-BC-A8YO-01A-11R-A37K-07,1,0.51724055256776,0.632867197709849,0.471648056897513
TCGA-DD-AACI-01A-11R-A41C-07,1,0.673736879894564,0.585945280599012,0.510866714810991
TCGA-G3-AAV1-01A-11R-A38B-07,2,0.767506610267027,0.754192609258277,0.579148078909625
TCGA-RC-A7S9-01A-11R-A33R-07,1,0.811349117193471,0.596223832853701,0.784592895763181
TCGA-2Y-A9H9-01A-21R-A39D-07,2,0.912327192900008,0.738919643469932,0.843323274336812
TCGA-DD-AAEB-01A-11R-A41C-07,2,0.840067300486201,0.720737041611977,0.56491900804353
TCGA-EP-A3RK-01A-11R-A22L-07,1,0.694261755944773,0.685255926162584,0.743855459755779
TCGA-MI-A75H-01A-11R-A32O-07,2,0.822059580371723,0.642612931556967,0.615745232289077
TCGA-DD-AAEI-01A-11R-A41C-07,2,0.817591364032528,0.852955916288841,0.950790009365682
TCGA-G3-A25Z-01A-11R-A16W-07,2,0.831385699375503,0.748717275280731,0.82777410580366
TCGA-FV-A3R3-01A-11R-A22L-07,2,0.768627423160837,0.663049325017107,0.222762752761392
TCGA-2Y-A9GW-01A-11R-A38B-07,2,0.723637723930324,0.676397366000017,0.655605321202103
TCGA-ZS-A9CG-01A-11R-A37K-07,2,0.779357808043152,0.762588307934789,0.477846613737613
TCGA-ZP-A9D0-01A-11R-A37K-07,2,0.935520664818214,0.768229504926311,0.561392709850574
TCGA-DD-AADC-01A-11R-A41C-07,1,0.556482200154764,0.525329997281161,0.451259027309046
TCGA-DD-AAD6-01A-11R-A41C-07,1,0.636640619582681,0.648729089841463,0.722438666551461
TCGA-DD-AACD-01A-11R-A41C-07,2,0.825276491087947,0.618017112901942,0.847888148922876
TCGA-NI-A8LF-01A-11R-A36F-07,2,0.757381028343044,0.881438552665612,0.362382212696198
TCGA-ZP-A9D4-01A-11R-A37K-07,2,0.734082194429572,0.73292676978795,0.435653077404572
TCGA-DD-AAE7-01A-11R-A41C-07,2,0.828227239764605,0.708019711828521,0.546244740923679
TCGA-DD-A39Z-01A-11R-A213-07,1,0.719717934969671,0.681150947030138,0.81065699388394
TCGA-EP-A2KA-01A-11R-A180-07,1,0.587153562129637,0.458650225568428,0.737567137892209
TCGA-G3-A3CH-01A-11R-A22L-07,2,0.781060725575875,0.787851489399276,0.75482560735464
TCGA-DD-A3A9-01A-11R-A266-07,1,0.495293905874404,0.546382270139302,0.430967549914189
TCGA-DD-AAC8-01A-11R-A41C-07,1,0.54398330366043,0.507817714144596,0.349370836645475
TCGA-BC-A216-01A-11R-A155-07,2,0.662791658149513,0.628827150824435,0.499197068231082
TCGA-DD-AADV-01A-11R-A39D-07,2,0.850678678719504,0.709906412818757,0.524982667265553
TCGA-DD-AAE2-01A-11R-A41C-07,2,0.824973671721846,0.768003750542071,0.649252237128163
TCGA-G3-AAV7-01A-11R-A38B-07,1,0.421313631963726,0.493942106633702,0.584844390070364
TCGA-CC-A9FU-01A-11R-A37K-07,1,0.562648596474407,0.513332907112716,0.414261727818816
TCGA-5C-A9VH-01A-11R-A37K-07,1,0.698699150089886,0.596960706925509,0.450343786580588
