sampleName,riskScore,Angiogenesis,Antigen processing machinery,CD8 T effector,Cell cycle,Cell cycle regulators,DNA damage repair,DNA replication,EMT_1,EMT_2,EMT_3,Fanconi anemia,FGFR3-related genes,Homologous recombination,Immune checkpoint,Mismatch repair,Nucleotide excision repair,Pan-F-TBRS,WNT target
L033P,3.25633315410564,0.5954468465125,0.660170199142609,0.340891754251213,0.535786070757606,0.551970666557106,0.570624146100477,0.583883013851496,0.614257074322505,0.437826107238164,0.514155995559452,0.494758714542722,-0.183410079460683,0.472365355699053,0.307422000992664,0.561956270123632,0.616713869557417,0.611210428878439,0.659684692881677
L033T,0.986902134201355,0.188524527236017,0.655591942122697,0.0592897230368411,0.647708722853043,0.662912406459633,0.609523145641819,0.649259246020142,0.516820351270882,0.0533740935412692,0.295929221899565,0.55579979674436,0.163448899110042,0.583230271353873,0.00845935434556058,0.63210694141512,0.634276742137807,0.602835050771477,0.532583689190613
L035P,0.178142065299179,0.548005606965244,0.692540528009396,0.51538935718939,0.573840472850274,0.599759665999786,0.579420268147397,0.595465171910292,0.652851474872656,0.290694876608253,0.527602837549122,0.505931075512808,0.52431363463182,0.529250289780137,0.460046670786043,0.574474805175206,0.616554680362905,0.619755997186749,0.62675142013333
L035T,1.07198620536999,0.563685411731863,0.732213779667419,0.556799577250564,0.618795224577639,0.643364953424987,0.603550137423362,0.637275628319048,0.665379529452392,0.591919134484584,0.576721271325789,0.531410712057948,0.484070974404349,0.574652745909424,0.46161803148146,0.609723413159569,0.633046484125944,0.670310069032887,0.668516729952069
L037P,3.60443296115027,0.530065975226606,0.697827715617021,0.540855606222277,0.543296148135135,0.618727242388027,0.579798159766669,0.593101680400679,0.617845073590052,0.441305252304084,0.490684991233799,0.506955619722849,-0.184627899053821,0.519747691662254,0.441446256820027,0.56683334420436,0.616391491133143,0.605286703404191,0.629067088338267
L037T,1.20042819544732,0.634113762925069,0.722849820010978,0.585802548523587,0.597521976218463,0.656643825098364,0.575329611294605,0.588565391717823,0.665422922933192,0.537548451263044,0.517295415551522,0.508996191882349,0.428238228269291,0.548168186016864,0.42406100629193,0.566445432512206,0.603490446101332,0.678088778151858,0.586428892117681
L038P,1.54046726629614,0.544114943192141,0.699056413338778,0.505331294712793,0.564504829429366,0.611493450656406,0.587062713068947,0.615372876827239,0.62618877040664,0.326376927138351,0.489553629833823,0.52548976833453,0.369945084612461,0.555736406559794,0.422968004703114,0.610812113147266,0.638742273644386,0.607239120173354,0.632146079116806
L038T,4.73282135138408,0.539460733657368,0.733547578466247,0.47274166654054,0.614151935473455,0.623389265441455,0.608606237641977,0.632877564456263,0.500560622111679,0.321857133479082,0.302513447835477,0.554101427229526,0.0468376069554681,0.583117504127589,0.389103369832075,0.634804316437165,0.653780326711628,0.634063255183079,0.567287637837416
L039P,1.72257688150175,0.503647976472682,0.71977254015458,0.598443174556686,0.556819563396186,0.608733240519444,0.583503904521152,0.602848573867889,0.621276917087945,0.456290633010284,0.498786777485955,0.526542632809837,0.363913895607717,0.548682954773402,0.481804145921918,0.594627039806363,0.63272899011111,0.645151365247072,0.635241147348685
L039T,0.0203840572606854,0.57730651340268,0.708997534982185,0.510218001610799,0.590326622199523,0.629164181377787,0.5995296388216,0.617458904667577,0.635391244904256,0.488305977535075,0.513531501356853,0.531765078594484,0.412186215368484,0.567575097284631,0.421362829868203,0.617477178805034,0.63920385734143,0.666358947908601,0.611251441271955
L040P,0.914551657373048,0.454515850518562,0.711470840414481,0.449626247955349,0.547782402498064,0.574922789272018,0.582280871099225,0.591337661567481,0.587206811114254,0.27953562111862,0.433806843212414,0.513343293846897,0.369028439936806,0.540870981948781,0.389470726077363,0.587578606556308,0.633212038257207,0.604086517936298,0.648080827735526
L040T,0.0969134006081775,0.596327700330904,0.751781189362582,0.573536264042574,0.603609712374267,0.630724697473891,0.593846155608232,0.616635574059796,0.595967583103768,0.34456744008872,0.52213720018329,0.530260450962851,0.0694312023147088,0.5661643355074,0.484262293945732,0.609088232946452,0.635381071326488,0.668519532654908,0.632285204253614
L041P,0.891682643269241,0.497151057341236,0.699453124969699,0.546386720670008,0.565444438532909,0.591897333694901,0.592313779473323,0.602073185078427,0.591458404229379,0.374692623623982,0.443827005273511,0.523225297606175,0.1081703435429,0.551259798619361,0.471964851158202,0.599746797844807,0.636007680574463,0.605324980420429,0.658415787082847
L041T,0.0687467467087825,0.482282076047662,0.715220828066699,0.584406424660722,0.603385695246138,0.626967607807887,0.598070981425849,0.617133236398743,0.662807368165045,0.471301064689675,0.482419654475323,0.533302905827502,0.119991292460404,0.570045340855773,0.479947184191056,0.619514588870294,0.636192098767865,0.655513622049874,0.62248031464106
L042P,4.20082417953401,0.473078922056321,0.69154819180023,0.489809765496806,0.538347194654024,0.593999292893575,0.582756938394772,0.596844086616267,0.601465863329944,0.277915856800959,0.47628240964528,0.516470739283049,0.340503615575212,0.549556316821597,0.395340792799581,0.596914018542367,0.636900462777657,0.618787218223777,0.637538134078886
L042T,101.372292238197,0.377478454601259,0.620462185798793,0.294670158587356,0.658427122866709,0.693624494317247,0.639895191757395,0.69765220883707,0.525686524342859,0.302507991882682,0.375986219118488,0.586397312000593,0.0704912066067323,0.6178223921552,0.378349251355219,0.677736495435019,0.67193111390449,0.551472225607362,0.548722861833406
L044P,2.92298698082214,0.558149738771029,0.69925579443976,0.453886216488527,0.558661733482437,0.591625485416458,0.587190870644976,0.604072740897348,0.612944166011042,0.413650231199899,0.490883270002681,0.521882695578238,0.363253315668857,0.548852870595812,0.414707238441485,0.605076030017191,0.639566751515092,0.602474737676238,0.653093992014622
L044T,3.87674363133199,0.613945062878113,0.70919365303369,0.527682905445429,0.598497244758394,0.648241178709262,0.592166836330832,0.613054163185666,0.620946188814598,0.516892671446265,0.520035559406653,0.529827240780016,0.123017024895043,0.564449276699335,0.453218789359398,0.607916123434351,0.629910170043728,0.669256622509607,0.644707628531942
L045P,1.64408155801495,0.511285846244721,0.691796825392819,0.462919316374336,0.560627761604763,0.586506329282734,0.58940312251279,0.594035143657518,0.586518697594769,0.27331195340685,0.4689822204153,0.513102119459341,0.366326645315394,0.543854746782005,0.400838336149506,0.603704127551041,0.636651997613587,0.602823113283005,0.630598777280124
L045T,0.225266637340794,0.506368191976983,0.692810894731961,0.492442831995956,0.594253952889288,0.592765274477411,0.605879976212455,0.630379011900614,0.615588612556446,0.473897555627699,0.484208300272216,0.541579107002246,0.1271360770012,0.571238213457032,0.4086238959669,0.635485954182516,0.642067055597063,0.637974397112444,0.562787509912956
L046P,4.11811079946312,0.576765867073179,0.729811391009121,0.593236827503758,0.55662709749807,0.620602618356999,0.576459928390114,0.602709063992032,0.636678764066809,0.399641835474496,0.498635002557094,0.515007735037491,0.334546775256896,0.539104294430195,0.436918289275829,0.584798064046619,0.625297744563822,0.62654298894737,0.594730912355228
L046T,0.593313830939323,0.538309267491397,0.711146013068131,0.484388693962697,0.64116276277933,0.644478483672657,0.61322015238359,0.657728570165912,0.678430361572152,0.440543288891864,0.526037086399876,0.56150211439933,0.307581404778648,0.588498957328784,0.352744017784419,0.65362108038059,0.651623060077687,0.65676674046882,0.645176229953513
L047P,1.38678596954205,0.480114923992003,0.684036504981088,0.410423163116481,0.545060627940461,0.594031195803152,0.589968105084694,0.592363495878907,0.586130129132278,0.395016024231665,0.441123282615058,0.518059410057833,0.394788324773073,0.54501431075204,0.40555530376151,0.595508786731054,0.63750028184275,0.616965548287892,0.618952736119864
L047T,9.63875825824098,0.416610603748695,0.723379478447159,0.53651703764582,0.647049853898846,0.642134619011266,0.633837006864888,0.681862450336917,0.443006071484141,0.279966010172627,0.315822724298513,0.588381736000717,0.119557014851193,0.617957080277769,0.456066219102647,0.666696485067077,0.676548513340785,0.606881932743353,0.554073792948931
L048P,4.27563775589643,0.512835986642247,0.699350817032855,0.513664069006587,0.55388495338152,0.597190735741832,0.585928589165622,0.607223427950424,0.604971628845367,0.399808621193528,0.458020701588722,0.526179728886212,0.368059720176286,0.545569274918022,0.423737016022471,0.598297159591015,0.639270839934306,0.606143159622245,0.626513780177696
L048T,0.367193345000259,0.516306848899656,0.752108810854496,0.564558526374555,0.595603499337584,0.647895348654527,0.606550296525302,0.631667969881411,0.607548178586998,0.45668991926127,0.477837336362006,0.544921678026835,0.108754648942364,0.583351773640356,0.469828141923959,0.633331510498539,0.648192541132134,0.641717565920869,0.603974265675514
L052P,4.64763464859568,0.501752275855785,0.709108966719244,0.538114472301721,0.547072091852182,0.591020602263119,0.583501671732795,0.601668829048686,0.608923363095643,0.41763020627777,0.477229158647498,0.520817308771925,0.394976605290497,0.552119624382067,0.435620987697437,0.588977057009581,0.632303057521101,0.580870512530391,0.604961498748451
L052T,0.0129410927750159,0.375302968264365,0.721801330518828,0.599016107492528,0.675690704149668,0.68220072648441,0.646106414945511,0.708946865629582,0.684480765508751,0.507196500267594,0.494457532571086,0.607468889149655,0.370908488715545,0.663394205805247,0.494472817045374,0.692176728610512,0.668234447859991,0.581079210745799,0.633728188095871
L056P,4.00730107412207,0.565186988064865,0.704119713788188,0.62105054981576,0.561938538474238,0.593360617677198,0.58836533961178,0.605851630764848,0.626941823605275,0.279853092784727,0.494706213148497,0.534557555242879,0.39205024206273,0.550937401602149,0.429277335261474,0.607340465778767,0.640141791806289,0.609936962243525,0.589471452732714
L056T,0.655808870242118,0.515881820972322,0.714144100582297,0.575688195164316,0.615294048244473,0.642421359256028,0.611086099813547,0.650780397473489,0.662300307740625,0.428987508199324,0.527726260890024,0.549444702031537,0.418649163305912,0.587412735036953,0.436862377946272,0.634192992010725,0.660453357835701,0.657946379079092,0.650023218730697
L076P,19.9040796103697,0.489494456257838,0.706035330186993,0.590135388065718,0.577387009297125,0.621632405046591,0.58920554993757,0.607668072785432,0.621055843142592,0.452121259450562,0.485544930562659,0.525507282332103,0.34468853746871,0.555029762997606,0.452061233330232,0.617339202417754,0.651778092546412,0.614689780121426,0.636590340536986
L076T,19.1165100295972,0.480801189769267,0.732883662281787,0.541759780280581,0.598048447070144,0.620535606185078,0.603042353762122,0.64109402383417,0.532756931017015,0.283060898048968,0.419963388359738,0.549049508124148,0.104644208129465,0.566281243068022,0.422962920781488,0.635061405652907,0.662822623809604,0.584826735027153,0.567682982370811
