,amino_acid,lipid,nucleotide,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
TCGA.ZS.A9CD.01A.11R.A37K.07,0.807168694371479,0.718628036235877,0.688772816428833,-0.257334690967187,0.00206244713266462,0.114352416917026,0.282275671048166,0.195396317591031,0.439449054744966,0.337264593111974,0.306233156269473,-0.109788306524784,0.0782982762683531,-0.14383323912145,0.199222576935652,-0.00493140716840205,0.245978261806826,0.0380437863455614,-0.0817238562259868,0.178864982859514,0.0381217874951541,0.415516419787882,0.350398872095012,0.0371566131076917,0.0545085608770145,0.331555823355651,-0.0329203570128444,0.0672584966499381,0.0189445734676112,0.0257764547424993,-0.125081017419425
TCGA.CC.A3MC.01A.11R.A22L.07,0.709905690767947,0.674432125592659,0.896872044404456,-0.257993198343189,0.0532691774462293,0.107950956157637,0.228285604817154,0.298776428977736,0.456890985097321,0.323236204279769,0.330227168263213,-0.0617457802882945,0.085240243208102,-0.255066991338156,0.196243938809252,-0.0838273462750522,0.297449523482656,0.104143053142904,-0.108311150300431,0.207620493277571,0.0418067346755151,0.442561385219275,0.386097261811065,0.0795503525886467,-0.0284075960057686,0.312353690588121,-0.0465598424849545,0.129550608710996,-0.0133491535708498,0.0757138489394961,-0.0710247718003932
TCGA.LG.A9QC.01A.11R.A37K.07,0.64253561244106,0.752803298548734,0.412234488017582,-0.331926551457755,-0.183703997355294,0.0942614255195913,0.196474217475272,0.242168824867552,0.497822109852601,0.282220901684016,0.313606827090987,-0.16234352492781,-0.0118328639014859,-0.240540665412416,0.256907777090644,-0.0285975437500662,0.22838950861197,-0.108639655119645,-0.18513331674555,-0.0689577693166118,0.0282723716531306,0.430390551122951,0.266856053580513,-0.0763331230530649,-0.317249263427898,0.307007233234907,-0.171543709840196,0.0782811335592592,0.0299427897336213,-0.00183814419822326,-0.117107897662952
TCGA.CC.A8HU.01A.11R.A36F.07,0.751820915179864,0.613047096923362,0.539256959223749,-0.320554996623076,-0.0465585536020036,0.0604534175402531,0.173918773584102,0.223285305155658,0.387879070789918,0.293847034560456,0.374766861082683,-0.0800587783309041,-0.222739369278015,-0.379261365171796,0.185985311991792,-0.112305060253879,0.239980373955415,0.0226133293192545,-0.155665509144262,0.0689269476103487,0.0381381911094989,0.467483338314605,0.317635229020448,0.0732550289413494,-0.19933502222683,0.230688869187628,-0.156684283251237,0.044758487742024,-0.0191848770412101,-0.0538943965212457,-0.0909280366361961
TCGA.DD.A11D.01A.11R.A131.07,0.736881702125377,0.909878029536211,0.615605560990918,-0.276718003534136,-0.135497817205543,0.0703137685472913,0.20107674571676,0.203215093524535,0.431190042271041,0.338211048193512,0.323811112401576,-0.155829922545409,0.0133159060593661,-0.222676700523913,0.203828633834117,-0.0661198992276279,0.260538598890484,-0.00918318190951606,-0.136597722762707,0.01915525764924,-0.025614632915039,0.452103262061911,0.370036199804962,-0.059421416033544,-0.0547588330983311,0.311663194230241,0.01482864621896,0.0383535476349405,-0.0215391049088044,0.0258013637552513,-0.0696722407840703
TCGA.G3.A25Y.01A.11R.A16W.07,0.528262556448914,0.491942461209521,0.532665525295313,-0.245124832734392,0.0726906201314077,0.0980507862244098,0.2024165299094,0.162123026772572,0.390600231542277,0.333811267895031,0.346752475499912,-0.057340760475125,0.092711744861799,-0.194207104835069,0.19603677036345,0.0671228754087216,0.250063906946659,-0.0174124737528795,-0.128244568416818,0.218878574962358,0.0358065073057195,0.461957481122695,0.39832779350223,0.0584195695429436,-0.101805195602794,0.353709909862432,-0.0203138560127439,0.171650477322179,0.0352981953717821,-0.0931592242264746,-0.0638143777539874
TCGA.K7.AAU7.01A.11R.A38B.07,0.476498510916647,0.472421816729473,0.44639175327756,-0.246755000069222,0.0781351307381684,0.0811176343668468,0.243886466269449,0.270620947204301,0.444776515495283,0.450902741972861,0.313863708421901,-0.1315192131786,0.0817209338357189,-0.02781383018496,0.202154938955012,0.0825667617246269,0.352464084333522,0.0192948166383662,-0.0391366088444667,0.228723370801688,-0.149443337696687,0.462558276048922,0.414883728855634,0.103691980412234,-0.115225809632276,0.396788148263137,0.0894387601686778,0.0504753383224881,0.068424179640475,0.0461702941045586,-0.0666423426231597
TCGA.DD.AAD1.01A.11R.A41C.07,0.48212581870628,0.618717924473809,0.212922703650187,-0.123689830949103,0.115826650520836,0.224462658417472,0.272850638889021,0.202772089868169,0.45679403046454,0.385697883778053,0.349305176800404,-0.119132689922081,0.120058970623459,-0.216644608234337,0.199341748198793,0.137981373255406,0.221508812972904,-0.0183558049781263,-0.0337818237400869,0.198603172077206,0.0405587707310937,0.435563996089953,0.42132235651985,0.103125322949431,0.0234759300452697,0.410307034335056,0.11344506553115,0.190974251544729,0.0742989383777015,0.0447583753504138,-0.135720885277638
TCGA.DD.AACH.01A.11R.A41C.07,0.566890359312198,0.495255710315293,0.525613603661353,-0.297700428006409,0.137549238568837,0.118454366150252,0.317070953655621,0.317649199365301,0.438250357754374,0.378965721490414,0.314536314484087,-0.130232369314228,0.0718005343291725,-0.364123969658043,0.180076154033039,-0.0209133307095784,0.301175132647917,0.0136512708762044,-0.113751734831882,0.114099848644302,-0.0531536846776128,0.421832183089672,0.378547646848788,0.108635383766936,-0.150188238172076,0.375839122719906,-0.0214832700205183,0.155100925760962,-0.110727836706329,0.0237446931797189,-0.0235142389478937
TCGA.2V.A95S.01A.11R.A37K.07,0.507771774762206,0.449590605495621,0.533498068917852,-0.103656485107004,0.282766309285385,0.486334834898668,0.373618228198025,0.248382215627423,0.351806152414516,0.457773199328595,0.332301082433268,-0.0227872347984742,0.18770677184128,-0.20624236256687,0.221210674055227,0.143926633562688,0.254763288630131,0.121853045078102,-0.038781838498151,0.397126929433017,0.0431894413731195,0.440589983770546,0.397541821930141,0.147466295115904,-0.0922425462645335,0.38225861438519,0.183249267386725,0.109912096552956,0.0603532973716495,0.1937646658877,-0.0707979795687991
