,x
847,RPL27
848,RPL28
849,RPL29
850,RPL30
851,RPL31
852,RPL32
853,RPL34
854,RPL35A
855,RPL35
856,RPL36AL
857,RPL36
858,RPL37A
859,RPL37
860,RPL38
861,RPL39L
862,RPL39
863,RPL3
864,RPL41
865,RPL4
866,RPL5
867,RPL6
868,RPL7A
869,RPL7
870,RPL8
871,RPL9
872,RPLP0
873,RPLP1
874,RPLP2
875,RPS11
876,RPS12
877,RPS13
878,RPS14
879,RPS15A
880,RPS15
881,RPS16
882,RPS18
883,RPS19
884,RPS20
885,RPS21
886,RPS23
887,RPS24
888,RPS25
889,RPS26
890,RPS27A
891,RPS27L
892,RPS27
893,RPS28
894,RPS29
895,RPS2
896,RPS3A
897,RPS3
898,RPS4X
899,RPS4Y1
900,RPS4Y2
901,RPS5
902,RPS6
903,RPS7
904,RPS8
905,RPS9
906,RPSA
907,RRM1
908,RRM2B
909,RRM2
910,RUFY1
911,RXRA
912,SACM1L
913,SAR1B
914,SARDH
915,SAT1
916,SCAP
917,SCARB1
918,SCD5
919,SCD
920,SCP2
921,SEC23A
922,SEC24A
923,SEC24B
924,SEC24C
925,SEC24D
926,SECISBP2
927,SEPSECS
928,SERINC1
929,SERINC2
930,SERINC3
931,SERINC5
932,SGMS1
933,SGMS2
934,SGPL1
935,SGPP1
936,SGPP2
937,SH3KBP1
938,SHMT1
939,SIN3A
940,SIN3B
941,SLC10A1
942,SLC25A10
943,SLC25A15
944,SLC25A17
945,SLC25A1
946,SLC25A20
947,SLC27A1
948,SLC27A2
949,SLC27A3
950,SLC27A5
951,SLC3A2
952,SLC44A1
953,SLC44A2
954,SLC44A3
955,SLC44A4
956,SLC44A5
957,SLC45A2
958,SLC5A5
959,SLC6A11
960,SLC6A12
961,SLC6A8
962,SLC7A5
963,SLCO1A2
964,SLCO1B1
965,SLCO1B3
966,SMARCD3
967,SMOX
968,SMPD1
969,SMPD2
970,SMPD3
971,SMPD4
972,SMS
973,SOAT1
974,SOAT2
975,SP1
976,SPHK1
977,SPHK2
978,SPTLC1
979,SPTLC2
980,SPTLC3
981,SQLE
982,SRD5A1
983,SRD5A3
984,SREBF1
985,SREBF2
986,SRM
987,STARD10
988,STARD3NL
989,STARD3
990,STARD4
991,STARD6
992,STARD7
993,STAR
994,STS
995,SULT2A1
996,SUMF1
997,SUMF2
998,SUOX
999,SYNJ1
1000,SYNJ2
1001,TAT
1002,TAZ
1003,TBL1XR1
1004,TBL1X
1005,TBXAS1
1006,TDO2
1007,TEAD1
1008,TEAD2
1009,TEAD3
1010,TEAD4
1011,TECRL
1012,TECR
1013,TGS1
1014,THEM4
1015,THEM5
1016,THRAP3
1017,THRSP
1018,TH
1019,TK1
1020,TK2
1021,TM7SF2
1022,TMEM86B
1023,TMLHE
1024,TNFAIP8L1
1025,TNFAIP8L2
1026,TNFAIP8L3
1027,TNFAIP8
1028,TNFRSF21
1029,TPH1
1030,TRIB3
1031,TST
1032,TXNRD1
1033,TXN
1034,TYMP
1035,TYMS
1036,TYRP1
1037,UBA52
1038,UCK1
1039,UCK2
1040,UGCG
1041,UGT8
1042,UMPS
1043,UPB1
1044,UPP1
1045,UPP2
1046,UROC1
1047,VAC14
1048,VAPA
1049,VAPB
1050,VLDLR
1051,WWTR1
1052,XDH
1053,YAP1
1054,ZDHHC8
