Immune cells	Malignant cells	Stromal cells
CLDN9	0.00067	0.00366	0.00572
CLDN6	0.0015	0.06989	0.02024
TNFRSF12A	0.09606	0.7258	0.28392
HCFC1R1	0.22617	0.20003	0.22305
THOC6	0.07696	0.08803	0.05554
CCDC64B	0.00966	0.12665	0.11552
MMP25	0.01488	0.00059	0.00304
MMP25-AS1	0.03067	0.02901	0.03413
IL32	1.1086	0.71889	0.46724
RP11-473M20.9	0.01919	0.00966	0.01103
ZNF213-AS1	0.01311	0.03193	0.02844
ZNF205	0.0172	0.06091	0.05981
ZNF213	0.01627	0.01656	0.01406
RP11-473M20.16	0.02167	0.01266	0.03941
ZNF200	0.03808	0.02383	0.01748
MEFV	0.01593	0.00053	0.00229
LINC00921	0.01143	0.00479	0.01349
ZNF263	0.0528	0.04427	0.038
TIGD7	0.01133	0.01762	0.02436
ZNF75A	0.06266	0.07526	0.07657
LA16c-306E5.2	0.00157	0.00541	0.01132
ZSCAN32	0.02145	0.02688	0.02113
ZNF174	0.01207	0.02796	0.01829
ZNF597	0.01614	0.01411	0.01727
NAA60	0.08364	0.13739	0.08663
CLUAP1	0.035	0.08517	0.06556
NLRC3	0.0362	0.00125	0.00533
LA16c-390H2.4	0.00319	0.00293	0.00096
SLX4	0.01512	0.01144	0.0175
DNASE1	0.02784	0.03782	0.04827
TRAP1	0.06917	0.24314	0.09742
CREBBP	0.18169	0.12162	0.13386
ADCY9	0.01365	0.02548	0.02556
RP11-95P2.3	0.00035	0.00842	0.00178
SRL	0	7e-05	0.0038
LINC01569	0.00354	0.01767	0.0053
TFAP4	0.01816	0.06563	0.0348
GLIS2	7e-04	0.01128	0.01867
GLIS2-AS1	0.00148	0.0152	0.00799
PAM16	0.00595	0.02472	0.00861
CORO7	0.21267	0.02333	0.05231
VASN	0.00527	0.04411	0.07833
DNAJA3	0.04485	0.10939	0.06826
NMRAL1	0.09567	0.21696	0.09754
HMOX2	0.15235	0.20943	0.10132
CDIP1	0.06409	0.0458	0.02775
UBALD1	0.03672	0.0657	0.05394
MGRN1	0.09376	0.07823	0.08336
NUDT16L1	0.13558	0.21489	0.07664
ANKS3	0.02677	0.07394	0.08328
C16orf71	2e-04	0.00175	0.0017
ZNF500	0.0181	0.03033	0.03496
SMIM22	0.01404	0.56786	0.29399
ROGDI	0.07756	0.05202	0.04634
GLYR1	0.15264	0.14817	0.10607
UBN1	0.11469	0.11269	0.0935
PPL	0.00312	0.06432	0.04881
RP11-165E7.1	0.00072	0.0017	0.00052
NAGPA	0.07129	0.05503	0.04774
ALG1	0.03908	0.09173	0.04092
C16orf89	0.00076	1e-04	0.00332
EEF2KMT	0.02517	0.06071	0.02235
METTL22	0.04932	0.04071	0.036
ABAT	0.02919	0.03636	0.02212
TMEM186	0.02672	0.06511	0.02924
PMM2	0.07305	0.10597	0.07923
RP11-77H9.2	0.00084	0.00483	0.00465
CARHSP1	0.24166	0.2915	0.21817
RP11-77H9.5	0.00047	0.00106	0.00109
RP11-77H9.6	0.00031	0.00074	0.00166
USP7	0.17233	0.17121	0.12709
RP11-77H9.8	0.00142	0.00077	0.00046
C16orf72	0.32872	0.18982	0.19456
RP11-473I1.5	0.02924	0.00627	0.01175
GRIN2A	0.00025	0.00148	0.00359
ATF7IP2	0.16677	0.14107	0.15547
LINC01290	0.00029	0.00495	0.00701
EMP2	0.07651	0.3444	0.24087
RP11-27M24.1	0.00054	0.00182	0.00129
TEKT5	0	0.00197	0.00088
NUBP1	0.11748	0.09241	0.05317
TVP23A	0.02938	0.00331	0.00331
CIITA	0.07871	0.0093	0.01787
DEXI	0.07191	0.08477	0.0545
RP11-876N24.4	0.00491	0.00096	6e-04
CLEC16A	0.02934	0.0222	0.02951
RP11-66H6.3	0.0028	0.00078	0
RP11-396B14.2	0.00056	0.00082	0.00054
RMI2	0.01566	0.04061	0.00917
SOCS1	0.24322	0.03238	0.09701
RP11-485G7.5	0.00083	0.00209	0.00232
CTD-3088G3.8	0.00443	0.01482	0.02092
CTD-3088G3.6	0.00063	0.00036	0.00052
LITAF	0.95219	0.62485	0.34496
SNN	0.14062	0.03967	0.03792
TXNDC11	0.08481	0.12939	0.09125
RP11-490O6.2	0.02171	0.00869	0.02269
ZC3H7A	0.18275	0.16753	0.13468
RP11-486I11.2	0.00845	0.00817	0.00586
RSL1D1	0.43025	0.80668	0.32059
RP11-166B2.8	0.0024	0.00066	0.00254
GSPT1	0.46275	0.56933	0.24445
RP11-166B2.5	0.00213	0.00067	4e-04
RP11-166B2.1	0.0025	0.00491	0.00214
TNFRSF17	0.00786	0.00022	0.00082
SNX29	0.07697	0.04348	0.04765
CTD-3037G24.3	1e-04	0.00093	0.00013
CTD-3037G24.5	2e-04	0.00061	0.00049
CPPED1	0.24199	0.16042	0.08426
CTD-2583P5.3	0.00385	0.00052	0.00187
U91319.1	0.00023	0.01511	0.0044
ERCC4	0.05503	0.06595	0.05087
CTD-2135D7.2	0.00049	0.00031	0.00047
CTD-2135D7.5	0.00303	0.00102	0.00271
MKL2	0.04035	0.07607	0.12122
CTA-276F8.1	0.00569	0.0147	0.02533
MIR193BHG	0.00045	0.00553	0.00239
PARN	0.07036	0.07568	0.045
BFAR	0.18871	0.24193	0.13575
PLA2G10	0.00524	0.36168	0.11264
NPIPA1	0.02618	0.03668	0.04931
NOMO1	0.03351	0.1208	0.0722
PDXDC1	0.13456	0.308	0.218
RP11-680G24.6	0.00056	0.00047	0.00073
NTAN1	0.28976	0.05656	0.08939
RRN3	0.09043	0.08337	0.04763
RP11-72I8.1	0.00063	0.00132	0.00203
MIR3180-4	0.00059	0.00101	0.00115
NPIPA5	0.00138	0.00029	0.00144
MPV17L	0.01724	0.06513	0.03359
C16orf45	0.01733	0.04331	0.06859
KIAA0430	0.12991	0.12587	0.10767
CTB-193M12.1	0.00027	0.00155	0.00277
NDE1	0.11412	0.04877	0.07377
CTB-193M12.5	0.03716	0.01324	0.0123
MYH11	0.00716	0.00284	0.09311
AF001548.5	0.00592	0.00179	0.00161
FOPNL	0.09037	0.13319	0.06626
ABCC1	0.07302	0.04365	0.0342
ABCC6	0.00568	0.12243	0.05508
RP11-517A5.7	8e-05	0.00083	0.00081
NOMO3	0.01003	0.01253	0.00945
AC138969.4	0.00361	0.00262	0.00479
NPIPA7	0.00026	0.00018	0.0019
XYLT1	0.02955	0.01357	0.01505
CTD-2576D5.4	0.00974	4e-04	0.00226
RP11-1212A22.4	0.0012	0.00135	0.00223
MIR3179-3	0.00046	0.00143	0.00044
NOMO2	0.00244	0.00136	0.00348
RPS15A	3.189	2.83066	2.11751
ARL6IP1	0.74366	0.89854	0.51311
SMG1	0.3027	0.25292	0.26361
CTD-2288F12.1	0.00113	0.00097	0.00173
TMC7	0.00138	0.07515	0.05212
RP11-626G11.5	0.00042	0.00139	1e-04
RP11-626G11.1	6e-05	0.00488	0.00286
COQ7	0.09543	0.05835	0.06897
RP11-626G11.4	0.00054	0.00014	0
RP11-626G11.6	0.00014	0.00067	0.00046
ITPRIPL2	0.13091	0.16076	0.18162
RP11-626G11.3	0.01086	0.01377	0.01683
SYT17	0.01456	0.07565	0.04587
CLEC19A	0	0.00209	0
CTA-363E6.2	3e-04	0.01463	0.00518
TMC5	0.01138	0.43432	0.44477
CTA-363E6.6	0	0.00122	0.00024
CTA-363E6.7	0.00104	0.00098	0.00062
GDE1	0.1122	0.11909	0.06269
CCP110	0.06122	0.09165	0.08566
C16orf62	0.07454	0.03991	0.04066
AC002550.6	0.00061	0.00175	0.00304
KNOP1	0.08431	0.23467	0.23071
AC002550.5	0.00039	0.00034	0.00034
IQCK	0.01065	0.05721	0.06495
CTD-2380F24.1	0.00229	8e-05	0.00037
GPRC5B	0.00877	0.06874	0.06125
GP2	0.00035	0.00178	0.00703
ACSM5	0.01599	0.00763	0.005
ACSM2A	0.00041	0.03128	0.01562
ACSM2B	0.00184	0.06962	0.02324
ACSM3	0.00599	0.09616	0.02105
ACSM1	0.00063	0.00566	0.00244
THUMPD1	0.23334	0.19755	0.15362
ERI2	0.02964	0.09186	0.03646
AC004381.6	0.00624	0.00786	0.00815
DCUN1D3	0.02957	0.04255	0.04351
LYRM1	0.05905	0.18053	0.05694
DNAH3	0	0.00103	0.00055
TMEM159	0.06031	0.10162	0.05959
ANKS4B	0.00084	0.0525	0.02222
CRYM	0.00191	0.05917	0.0131
CRYM-AS1	0.00191	0.00431	0.00597
NPIPB3	0.00056	6e-05	0.00047
CTB-31N19.5	0	0.00087	0.00068
METTL9	0.29755	0.30021	0.19379
IGSF6	0.69139	0.03002	0.07824
OTOA	0.19245	0.00695	0.0198
RP11-645C24.5	0.00478	0.00191	0.00384
NPIPB4	0.03413	0.01458	0.02536
UQCRC2	0.34503	0.372	0.22669
CTD-2649C14.3	0.00056	0.00082	6e-04
C16orf52	0.06271	0.1057	0.08543
SDR42E2	0.05143	0.01539	0.04894
EEF2K	0.05611	0.07296	0.05906
POLR3E	0.09396	0.08192	0.05577
CDR2	0.08828	0.07108	0.04872
RP11-21M24.2	0.00208	0.0017	0.00395
NPIPB5	0.11958	0.05191	0.10207
RP11-105C19.1	0.00088	0.00027	0.00027
HS3ST2	0.02602	0.00084	0.00351
USP31	0.02574	0.04516	0.04516
SCNN1B	0.00124	0.00102	0.00113
COG7	0.03205	0.0621	0.06007
CTD-2270L9.4	0.01231	0.04103	0.01668
GGA2	0.25069	0.09964	0.0887
EARS2	0.01348	0.03079	0.01961
UBFD1	0.05889	0.15441	0.07957
NDUFAB1	0.44566	0.83643	0.34611
PALB2	0.02534	0.03449	0.01589
DCTN5	0.12903	0.13108	0.10429
PLK1	0.03454	0.03448	0.01066
CTD-2196E14.5	0.00015	0.00676	0.00606
ERN2	0.00273	0.14259	0.14282
CHP2	0	0.00137	0.00066
PRKCB	0.30387	0.01749	0.03553
RBBP6	0.26567	0.21931	0.21608
TNRC6A	0.16513	0.20502	0.21479
CTD-2515A14.1	0.00095	0.00017	0.00141
SLC5A11	0	0.00126	0.00082
ARHGAP17	0.11988	0.04197	0.0826
RP11-266L9.5	0.00149	0.00239	0.0048
LCMT1-AS1	0.00126	0.00049	0.00147
LCMT1	0.11648	0.10832	0.05935
LCMT1-AS2	0.00114	0.00052	0.00113
AQP8	8e-05	0.00042	0
ZKSCAN2	0.00592	0.00688	0.00702
CTD-2547G23.4	0.019	0.02218	0.0325
AC002331.1	0.04328	0.00212	0.00574
KDM8	0.00359	0.00274	0.00451
CTD-3203P2.1	0.00048	0.00051	0.00031
NSMCE1	0.17116	0.17398	0.094
FLJ21408	0.0106	0.00443	0.00734
CTD-3203P2.3	0.01213	0.00141	0.00793
IL4R	0.15965	0.08717	0.10619
IL21R	0.06947	0.00317	0.00999
IL21R-AS1	0.00599	0.00041	0.00077
GTF3C1	0.08893	0.07093	0.08255
KIAA0556	0.01541	0.01902	0.0321
XPO6	0.12598	0.07074	0.05047
SBK1	0.00543	0.00069	0.00059
NPIPB6	0.00016	0.00159	0.00128
EIF3CL	0.00021	0.00054	3e-04
RP11-435I10.4	0.00221	0.00133	0.00101
CLN3	0.12002	0.21635	0.10444
APOBR	0.10087	0.00362	0.0134
IL27	0.00788	0.00677	0.00415
NUPR1	0.20083	0.86551	0.39876
RP11-666O2.2	0.01215	0.01262	0.01937
SGF29	0.07378	0.06477	0.04435
SULT1A2	0.00661	0.0802	0.01829
SULT1A1	0.22179	0.2518	0.12157
EIF3C	0.02918	0.02435	0.02665
RP11-1348G14.4	0.00262	0.011	0.00474
RP11-1348G14.5	0.00065	0.00026	4e-04
RP11-1348G14.8	0.00624	0.00512	0.0065
ATXN2L	0.18389	0.14505	0.13092
RP11-24N18.1	0.00097	0.00033	0.00109
TUFM	0.40932	0.68286	0.35178
SH2B1	0.04044	0.0524	0.06082
RP11-22P6.2	0.00421	0.00207	0.00416
ATP2A1	0.0014	0.00136	0
ATP2A1-AS1	0.00272	0.00335	0.00168
RABEP2	0.03769	0.05114	0.06022
CD19	0.00878	0.00726	0.00211
NFATC2IP	0.19778	0.16953	0.18014
RP11-264B17.2	0.00198	0.00079	0.00107
RP11-264B17.4	0.00182	0.0017	0.00538
SPNS1	0.14101	0.1743	0.11922
LAT	0.22117	0.01726	0.03048
RP11-426C22.5	0.03386	0.00227	0.00451
RP11-426C22.7	0.00121	0.00226	0.00073
RP11-426C22.6	0.00017	0.00076	0.00152
RP11-426C22.8	0.00311	0.00329	0.00377
RP11-231C14.7	0.01987	0.03071	0.01714
NPIPB11	0.0206	0.02059	0.04616
BOLA2	0.00249	0.00173	0.00107
RP11-345J4.5	0.02249	0.03418	0.01274
SLX1B	0.00077	0.00042	0.00023
SPN	0.19913	0.00659	0.01651
QPRT	0.07813	0.60611	0.21436
C16orf54	0.1662	0.00634	0.01277
AC009133.17	0.00169	0	0
ZG16	0.00104	0.05982	0.01098
KIF22	0.14462	0.17243	0.09554
AC009133.21	0.00053	0.00256	0.00306
MAZ	0.2702	0.30302	0.20632
AC009133.15	0.00146	0.00027	0.00031
AC009133.12	0.01467	0.09748	0.07967
PRRT2	0.0041	0.01115	0.02524
PAGR1	0.02176	0.0208	0.01386
MVP	0.22767	0.2821	0.22278
CDIPT	0.11534	0.16858	0.13087
CDIPT-AS1	0.00062	0.00365	0.00097
SEZ6L2	0.00975	0.20581	0.12572
ASPHD1	0.00986	0.11252	0.09098
KCTD13	0.03075	0.03617	0.03319
CTD-2574D22.2	0.00069	0.002	0.003
TMEM219	0.43518	0.55074	0.30962
TAOK2	0.03882	0.06048	0.08114
HIRIP3	0.06469	0.03351	0.03276
INO80E	0.07627	0.10324	0.08209
DOC2A	0.00248	0.00983	0.01464
FAM57B	0.00069	0.00055	0.00067
ALDOA	1.58284	1.45555	0.97888
CTD-2515O10.5	0.00235	0.00189	0.00221
PPP4C	0.37174	0.42582	0.23904
TBX6	0.00488	0.01208	0.00899
YPEL3	0.31111	0.24338	0.21962
RP11-455F5.3	0.00059	0.00744	0.00359
GDPD3	0.00807	0.0715	0.04171
RP11-455F5.6	0.00032	0.00145	0.00305
MAPK3	0.11944	0.19148	0.16507
CORO1A	0.92035	0.04047	0.09345
RP11-455F5.5	0.01087	0.00032	0.00163
BOLA2B	0.02206	0.04213	0.0199
SLX1A	0.00511	0.00937	0.00547
SULT1A3	0.01366	0.01962	0.01499
RP11-347C12.3	0.00149	0.00144	0.00236
RP11-347C12.1	0.00163	0.00222	0.00556
CD2BP2	0.18892	0.16213	0.12104
RP11-347C12.10	0.01066	0.01432	0.004
TBC1D10B	0.08686	0.05403	0.05487
RP11-347C12.11	0.00051	8e-04	0.00031
MYLPF	0.01303	0.00434	0.00502
ZNF48	0.01215	0.02115	0.01421
SEPT1	0.19964	0.02307	0.04732
ZNF771	0.01158	0.04841	0.02491
DCTPP1	0.11859	0.23279	0.08967
SEPHS2	0.01757	0.04677	0.02378
ITGAL	0.24827	0.01957	0.02951
RP11-297C4.3	0.00013	0.00106	0
ZNF768	0.03127	0.05954	0.06077
ZNF747	0.01924	0.02972	0.02261
AC002310.12	0.01162	0.02088	0.02128
ZNF764	0.02531	0.01907	0.01796
ZNF688	0.07064	0.05515	0.04652
AC002310.7	0.00131	0.0011	0.0014
ZNF785	0.02112	0.04529	0.05052
ZNF689	0.02873	0.03054	0.02145
PRR14	0.07704	0.06462	0.06063
FBRS	0.11589	0.07372	0.09574
RP11-146F11.1	0.00427	0.00489	0.00742
SRCAP	0.02007	0.01373	0.01627
RP11-2C24.9	0.00242	0.0074	0.00399
PHKG2	0.08768	0.09429	0.06897
CCDC189	0.00756	0.00863	0.01319
RNF40	0.07697	0.07936	0.0602
ZNF629	0.01048	0.02394	0.02001
RP11-2C24.7	0.00062	0.00081	0.00075
BCL7C	0.25473	0.27131	0.17851
MIR762HG	0.01221	0.01489	0.01459
CTF1	0.00353	0.01211	0.0061
FBXL19-AS1	0.0034	0.00635	0.01037
FBXL19	0.02193	0.03917	0.03335
ORAI3	0.07159	0.10342	0.05277
RP11-1072A3.4	0.00036	0.00123	0.00133
SETD1A	0.02492	0.03393	0.03111
HSD3B7	0.10288	0.15688	0.08407
STX1B	0.00184	0.00333	0.00241
STX4	0.31104	0.13501	0.13978
RP11-196G11.2	0.01342	0.00175	0.00267
RP11-196G11.6	0.00909	0.00136	0.00265
ZNF668	0.02487	0.02511	0.01841
ZNF646	0.02716	0.01659	0.01571
PRSS53	0.00126	8e-04	0.00174
VKORC1	0.41593	0.50088	0.2954
BCKDK	0.21806	0.16865	0.08579
KAT8	0.08753	0.0898	0.07683
PRSS8	0.00352	0.23337	0.11952
PRSS36	0.01331	0.00628	0.0053
FUS	0.96448	0.7362	0.86412
RP11-388M20.1	0.00371	0.00153	0.00218
PYCARD	0.65715	0.32152	0.17202
PYCARD-AS1	0.00751	0.00719	0.01088
TRIM72	0.00157	0.00105	0
PYDC1	0.00089	0.00031	0.00044
ITGAM	0.26563	0.0227	0.03725
ITGAX	0.26199	0.03211	0.04457
ITGAD	0.00495	0.00013	0.00048
COX6A2	0.0013	0.02594	0.0051
RP11-452L6.8	3e-04	0.00386	0.00398
ZNF843	0.00104	0.00157	0.00182
RP11-452L6.1	0.00245	0.00999	0.01239
RP11-452L6.5	0.01077	0.01865	0.02002
ARMC5	0.02108	0.02113	0.0243
TGFB1I1	0.00425	0.01888	0.15887
SLC5A2	0.00073	0.00322	0.00185
AC026471.6	2e-04	0.00156	0.00073
C16orf58	0.05038	0.13001	0.08444
RP11-452L6.7	0.00185	0.00522	0.00454
AHSP	0.01068	0.00031	0.00103
CTD-2358C21.5	0.00323	0.00137	0.00063
ZNF720	0.07236	0.12106	0.10006
ZNF267	0.29919	0.07361	0.08196
TP53TG3D	0.00106	0.00072	0.00264
RP11-19N8.4	5e-05	0.00058	0
RP11-989E6.10	0.00043	0.00046	0.00089
RP11-80F22.15	0	0.00107	0.00087
RP11-352B15.2	0	0.00094	0.00115
SHCBP1	0.04309	0.01627	0.00891
RP11-46D6.1	8e-04	0.00028	0.00104
VPS35	0.40236	0.40937	0.22692
ORC6	0.04506	0.05059	0.02776
MYLK3	0.00133	0.00037	0
C16orf87	0.14272	0.12382	0.07368
GPT2	0.00933	0.10267	0.05382
DNAJA2	0.34309	0.28337	0.18137
RP11-169E6.1	8e-05	0.00062	0.00101
NETO2	0.04307	0.00923	0.01634
ITFG1	0.1419	0.14746	0.12349
RP11-329J18.3	0.00037	7e-04	0.00044
PHKB	0.21502	0.176	0.1652
ABCC11	0.00015	0.00123	0.00041
LONP2	0.16215	0.19695	0.15372
SIAH1	0.12508	0.11583	0.09741
N4BP1	0.2566	0.116	0.12413
RP11-42I10.1	0.00267	0.00261	0.00014
CTC-527H23.3	0.00181	0.00262	0.00038
CBLN1	0.00017	0.00041	0.03511
ZNF423	3e-05	0.00189	0.01748
CNEP1R1	0.09397	0.04712	0.03752
HEATR3	0.08063	0.04639	0.03289
PAPD5	0.19602	0.09584	0.07751
ADCY7	0.18686	0.05624	0.03894
BRD7	0.23268	0.30787	0.19608
NKD1	0.00649	0.0013	0.00503
RP11-401P9.6	0.00215	0.00042	0
RP11-401P9.4	0.0016	0.00022	0.00214
SNX20	0.07738	0.00274	0.00567
NOD2	0.02876	0.00312	0.00671
RP11-327F22.2	0.00415	0.00016	0.00031
RP11-327F22.1	0.00682	0.00043	0.00236
CYLD	0.34672	0.08764	0.11019
SALL1	0.00062	0.01899	0.00654
TOX3	0.00394	0.24092	0.10006
CASC16	0	0.00138	0.00124
RP11-297L17.2	0.01221	0.35042	0.08253
RP11-295M3.4	0.00128	0.03868	0.01384
CHD9	0.29739	0.30227	0.4414
RBL2	0.18136	0.16061	0.13573
AKTIP	0.04589	0.08419	0.05734
RPGRIP1L	0.00985	0.08294	0.02949
FTO	0.0433	0.07086	0.04997
RP11-357N13.3	0.00111	0.00051	0.00088
IRX3	0.00027	0.0245	0.0158
RP11-434E6.4	0.00026	0.00294	0.00133
CRNDE	0.013	0.33486	0.11479
IRX5	0.00091	0.0092	0.00862
MMP2	0.00459	0.00663	0.08374
RP11-212I21.5	0.00147	4e-05	0
RP11-212I21.2	0.00202	9e-05	0.00027
LPCAT2	0.19981	0.13003	0.08025
RP11-212I21.4	0.026	0.00765	0.01223
CAPNS2	0.00121	0.00012	1e-04
CES1	0.03456	0.56364	0.37723
CES5A	0	0.00204	0.00049
GNAO1	0.01154	0.00129	0.00537
AMFR	0.08773	0.11132	0.08079
RP11-413H22.2	0.01185	0.00342	0.00354
NUDT21	0.20944	0.24151	0.12528
OGFOD1	0.07118	0.06598	0.04912
RP11-413H22.3	0.00011	0.00107	0.00136
BBS2	0.03139	0.05129	0.05027
MT3	0.01552	0.00189	0.0041
MT2A	0.80906	0.66433	0.62781
RP11-249C24.10	0.00104	0	0
MT1E	0.13278	0.12618	0.13826
MT1M	0.03702	0.00488	0.04766
MT1A	0.01395	0.22259	0.06286
MT1F	0.11241	0.06753	0.03937
MT1G	0.14838	0.02204	0.02865
MT1H	0.05162	0.00408	0.00964
MT1X	0.38896	0.19084	0.16503
RP11-343H19.1	0.00075	0.00137	0.00371
NUP93	0.06547	0.06486	0.03699
SLC12A3	0.00057	0.00019	0
HERPUD1	0.89858	0.65399	0.43346
CETP	0.11959	0.00528	0.03522
NLRC5	0.08687	0.01635	0.04155
CPNE2	0.06743	0.03103	0.05356
FAM192A	0.20669	0.17648	0.13258
RSPRY1	0.08778	0.11869	0.0699
ARL2BP	0.19237	0.24509	0.15012
RP11-407G23.7	0	0.00116	0.00035
PLLP	0.00638	0.13912	0.05448
CCL22	0.00601	0.00108	0.00139
CX3CL1	0.001	0.06574	0.0598
CCL17	0.00893	0.00085	0.00033
CIAPIN1	0.06708	0.13604	0.05314
COQ9	0.05501	0.1118	0.0696
POLR2C	0.13392	0.20829	0.10674
DOK4	0.00503	0.11872	0.07373
CCDC102A	0.00928	0.02409	0.02166
ADGRG5	0.00683	0.00145	0.00013
ADGRG1	0.0142	0.22569	0.1383
ADGRG3	0.00344	0.00134	0.0023
DRC7	3e-04	0.00236	0.00184
KATNB1	0.02511	0.03475	0.02284
KIFC3	0.03815	0.08341	0.10151
CTD-2600O9.2	0.00078	0.00146	0.00079
CTD-2600O9.1	0.00106	0.00424	0.00343
CNGB1	6e-05	8e-04	2e-04
TEPP	0.00194	0.00032	0.00241
ZNF319	0.01138	0.01115	0.00703
USB1	0.08984	0.08217	0.05078
MMP15	0.00319	0.08294	0.06464
CFAP20	0.09429	0.09302	0.11662
CSNK2A2	0.12838	0.13921	0.09952
CCDC113	0.00029	0.01006	0.00254
GINS3	0.01199	0.0199	0.00986
RP11-481J2.3	0.00152	0.00607	0.00556
NDRG4	0.00272	0.0032	0.00328
SETD6	0.02004	0.04382	0.03323
CNOT1	0.21113	0.15697	0.12278
RP11-481J2.4	0.00413	0.00576	0.00686
AC010287.1	0.01946	0.00353	0.00621
SLC38A7	0.08385	0.04416	0.04285
GOT2	0.08491	0.19906	0.07725
CDH8	0	0.00209	0.00127
RP11-368L12.1	0.00014	0.00298	0.00358
CDH11	0.00018	0.00193	0.05207
CDH5	0.00053	5e-04	0.08017
LINC00920	0.01107	0.02538	0.0097
BEAN1	0.00206	0.02593	0.00602
TK2	0.07764	0.10735	0.08854
RP11-403P17.3	0.00129	0.00211	0.00044
RP11-403P17.4	0.00122	0.00101	0.00144
CKLF	0.74121	0.79504	0.36328
CKLF-CMTM1	0.00069	0.00136	0.00078
RP11-403P17.6	2e-04	0.00131	3e-04
CMTM1	0.00059	0.00133	0.00338
CMTM2	0.00281	0.00686	0.00531
CMTM3	0.34932	0.07695	0.10947
CMTM4	0.00456	0.06575	0.04628
DYNC1LI2	0.18583	0.30678	0.32286
RP11-63M22.2	0.00113	0.00403	0.00605
RP11-61A14.4	0.00034	8e-04	0.00055
NAE1	0.09513	0.23504	0.09982
RP11-61A14.1	0.00147	0.00312	0
PDP2	0.01423	0.03844	0.0292
CDH16	0.00041	0.00172	0.00079
RRAD	0.04188	0.00963	0.03546
FAM96B	0.50881	0.62634	0.28813
CES2	0.0567	0.08685	0.07149
CES3	0.00084	0.01412	0.00884
CES4A	0.00849	0.00095	0.00285
CBFB	0.20942	0.1373	0.09943
C16orf70	0.05423	0.06073	0.03817
B3GNT9	0.00387	0.00757	0.01164
TRADD	0.15873	0.16754	0.09806
FBXL8	0.01124	0.03792	0.03068
HSF4	0.01983	0.04996	0.05418
NOL3	0.03684	0.17727	0.11636
KIAA0895L	0.01242	0.02484	0.04516
EXOC3L1	0.00243	0.00229	0.01665
E2F4	0.11369	0.10007	0.09543
ELMO3	0.00784	0.10721	0.06458
LRRC29	0.01106	0.01652	0.00727
TMEM208	0.26527	0.58371	0.2462
FHOD1	0.07541	0.02914	0.0607
SLC9A5	0.00117	8e-04	0.00137
PLEKHG4	0.00792	0.0212	0.01565
KCTD19	8e-05	0.00108	0.00053
LRRC36	0.00061	0.00814	0.01157
TPPP3	0.0053	0.04935	0.14772
ZDHHC1	0.00687	0.05062	0.03734
HSD11B2	0.00089	0.04879	0.04748
ATP6V0D1	0.43169	0.29752	0.17311
RP11-297D21.4	0.02132	0.02674	0.02613
AGRP	0.00278	0.00018	0.00049
CTD-2012K14.8	0.00322	0.01721	0.00398
FAM65A	0.10434	0.05011	0.06742
CTD-2012K14.6	0.00196	0.00055	0.00116
CTD-2012K14.7	0.00264	0.00096	0.00339
CTCF	0.1807	0.16249	0.10887
AC009095.4	0.00018	0.00049	0.00119
RLTPR	0.01452	0.00177	0.00185
ACD	0.06157	0.03327	0.0351
PARD6A	0.04543	0.01497	0.01072
ENKD1	0.01381	0.03771	0.03426
C16orf86	0.01682	0.00855	0.01136
GFOD2	0.03072	0.05253	0.0716
RANBP10	0.02844	0.02547	0.02921
TSNAXIP1	0.00031	0.00331	0.00314
CENPT	0.05448	0.05463	0.06951
THAP11	0.10202	0.08828	0.0567
NUTF2	0.17116	0.27799	0.14358
EDC4	0.00225	0.00138	0.00323
CTC-479C5.10	0.00072	2e-04	0.00138
NRN1L	0.00056	0.00046	0
PSKH1	0.01544	0.02798	0.02013
CTRL	0.00136	0.00061	0.00012
CTC-479C5.12	0.01204	0.00977	0.00622
PSMB10	0.10799	0.0906	0.05625
LCAT	0.01091	0.04376	0.03949
SLC12A4	0.02762	0.02842	0.03837
DPEP3	0.00169	6e-05	0
DPEP2	0.04964	0.00252	0.00778
DUS2	0.0285	0.02709	0.01709
DDX28	0.02478	0.03054	0.01408
NFATC3	0.18224	0.17935	0.1214
RP11-96D1.11	0.00301	0.04113	0.0207
ESRP2	0.00165	0.05505	0.02956
PLA2G15	0.1774	0.03067	0.03869
SLC7A6	0.06386	0.02332	0.0296
SLC7A6OS	0.07492	0.06779	0.05678
PRMT7	0.04505	0.09832	0.0568
SMPD3	0.01249	0.05918	0.04713
RP11-71L14.4	0	0.00063	0.00083
ZFP90	0.05141	0.05535	0.05198
RP11-615I2.6	0.00068	0.00192	0.00219
CDH3	0.00031	0.03453	0.00925
CDH1	0.00523	0.2724	0.13388
TANGO6	0.02401	0.01816	0.0128
HAS3	0.00052	0.00518	0.00154
CHTF8	0.09526	0.14598	0.09019
UTP4	0.04799	0.08808	0.04006
SNTB2	0.08899	0.06455	0.13095
VPS4A	0.12304	0.08568	0.08772
COG8	0.02764	0.06076	0.0475
PDF	0.00062	0.00125	0.00122
NIP7	0.11633	0.16577	0.08003
TMED6	0.00215	0.10361	0.02365
TERF2	0.08602	0.08085	0.05683
CYB5B	0.19005	0.21783	0.15949
NFAT5	0.23998	0.17099	0.23436
NQO1	0.06998	1.31492	0.40385
CTD-2033A16.1	0.00025	0.00087	0.00032
CTD-2033A16.3	0.00033	0.00134	0.00235
NOB1	0.0806	0.17234	0.07583
WWP2	0.0724	0.06499	0.06133
CLEC18A	0.00169	0.00223	0.00561
