Immune cells	Malignant cells	Stromal cells
ZC3H12A	0.19706	0.17556	0.15255
MEAF6	0.33972	0.51199	0.24407
SNIP1	0.07009	0.06965	0.04339
DNALI1	0.00515	0.19927	0.07131
GNL2	0.12421	0.20119	0.09539
C1orf109	0.03505	0.08179	0.03875
CDCA8	0.03666	0.0483	0.0158
EPHA10	0.00016	0.01369	0.00995
MANEAL	0.00641	0.0181	0.00606
YRDC	0.07205	0.11555	0.05271
C1orf122	0.25612	0.50109	0.23488
MTF1	0.06643	0.04299	0.0401
INPP5B	0.03633	0.03123	0.03998
RP11-109P14.10	0.00074	0.00028	0.00034
SF3A3	0.17297	0.28355	0.13004
FHL3	0.04944	0.10303	0.08544
UTP11L	0.12405	0.24804	0.10985
POU3F1	0.03655	0.00699	0.05651
RRAGC	0.20578	0.12291	0.08689
RP5-864K19.4	0.01103	0.01848	0.0049
MYCBP	0.05347	0.1358	0.05308
RP5-864K19.6	0.00032	3e-04	0.00118
RHBDL2	8e-04	0.0661	0.0316
AKIRIN1	0.30247	0.27647	0.15773
NDUFS5	1.0177	1.45059	0.73312
MACF1	0.46607	0.43057	0.49027
RP11-69E11.4	0.01057	0.00474	0.00618
PABPC4	0.42632	0.44089	0.28801
HEYL	0.00078	0.00274	0.05338
HPCAL4	0.00516	0.00028	0.00254
PPIE	0.14353	0.22342	0.09068
BMP8B	0.00183	0.00857	0.00523
OXCT2	0.00284	0.00739	0.00271
RP1-118J21.25	0.00028	0.0026	0.00218
TRIT1	0.03043	0.07226	0.04887
MYCL	0.02281	0.02338	0.01986
MFSD2A	0.02651	0.01037	0.01378
CAP1	0.94609	0.56979	0.40437
PPT1	0.61253	0.34103	0.21788
RLF	0.1987	0.1288	0.12042
TMCO2	0.00046	0.00027	0
RP1-39G22.7	0.00971	0.03973	0.03354
ZMPSTE24	0.11777	0.31378	0.14412
COL9A2	0.03541	0.07367	0.09875
SMAP2	0.59688	0.17418	0.11827
ZFP69B	0.00751	0.01122	0.00829
ZFP69	0.00623	0.00833	0.0053
RP11-656D10.3	0.00089	0.00472	0.00415
EXO5	0.01726	0.02816	0.01775
ZNF684	0.01962	0.03824	0.02121
RIMS3	0.00406	0.00385	0.00184
NFYC-AS1	0.01383	0.00845	0.01548
NFYC	0.13903	0.15257	0.09746
KCNQ4	7e-05	0.00292	0.0058
CITED4	0.04748	0.15888	0.08758
CTPS1	0.0331	0.07124	0.03965
SLFNL1-AS1	0.00177	0.00278	0.00248
SLFNL1	0.00036	0.00177	0.00262
SCMH1	0.01649	0.08221	0.05925
RP11-399E6.1	0.00014	0.00325	0.00128
FOXO6	0.00113	0.01139	0.01033
RP11-399E6.4	0.00014	0.00084	0.00072
EDN2	1e-04	0.00386	0.00228
HIVEP3	0.0557	0.03839	0.04349
GUCA2B	0.00087	0.03361	0.00826
GUCA2A	0.00069	0.01415	0.00385
FOXJ3	0.09462	0.11354	0.11902
RIMKLA	0.00365	0.00759	0.00266
ZMYND12	0.00372	0.00338	0.00127
PPCS	0.24527	0.5039	0.18354
CCDC30	0.01239	0.02622	0.02919
PPIH	0.12328	0.23214	0.08661
RP5-994D16.3	0.00067	0.0013	0.00244
YBX1	1.79066	1.93145	1.07315
CLDN19	0.00106	0.00891	0.00405
P3H1	0.04215	0.11448	0.1196
C1orf50	0.08277	0.13022	0.04769
SVBP	0.11833	0.13738	0.08701
ERMAP	0.02277	0.04499	0.02701
RP11-342M1.3	0.003	0.01392	0.00343
ZNF691	0.01308	0.04313	0.02025
SLC2A1	0.17804	0.11638	0.07771
SLC2A1-AS1	0.00394	0.00596	0.00496
FAM183A	0.00018	0.00386	0.00286
EBNA1BP2	0.1151	0.41483	0.14201
CFAP57	0.00019	0.00123	0.00094
TMEM125	0.00089	0.07818	0.03353
C1orf210	0.00099	0.07392	0.01977
TIE1	0.0014	4e-04	0.06036
RP1-92O14.3	0.00285	0.00736	0.00142
CDC20	0.04619	0.08434	0.02317
ELOVL1	0.14082	0.31051	0.1395
MED8	0.12576	0.35838	0.1202
SZT2	0.03297	0.05402	0.05873
SZT2-AS1	0	0.00097	0.00185
HYI	0.08168	0.23738	0.11995
HYI-AS1	0.00034	0.00047	0.00047
PTPRF	0.0143	0.54458	0.31572
KDM4A	0.03313	0.05861	0.03804
KDM4A-AS1	0.00265	0.00585	0.00508
ST3GAL3	0.01073	0.02019	0.01823
ARTN	0.00067	0.01079	0.02035
RP11-7O11.3	0.00123	0.00558	0.00092
IPO13	0.02569	0.04038	0.03013
DPH2	0.01963	0.07623	0.03886
ATP6V0B	0.8251	1.16025	0.59036
B4GALT2	0.01673	0.17951	0.07955
CCDC24	0.00948	0.07457	0.02868
SLC6A9	0.00087	0.0165	0.01763
RP5-1198O20.4	0.00093	0.00291	0.00137
DMAP1	0.09156	0.17296	0.09863
ERI3	0.08676	0.25646	0.10087
RNF220	0.09726	0.20046	0.13165
TMEM53	0.05028	0.20488	0.04937
C1orf228	0.03379	0.00792	0.01356
