M1	cDC1	M2	CD8Tcm	Malignant	Epithelial	Treg	Fibroblasts	Tprolif	DC	B	Monocyte	Endothelial	Mast
KCNS1	0	0	0	0	0.00111	0.00025	0	0	0	0	0	0	0	0
PI3	0.00206	0.00116	0.00384	0.00486	0.10954	0.07214	0.00275	0.00491	0.00038	0	0.00541	0	0	0
SEMG1	0	0	0	0	0.00069	0.00046	0	0	0	0	0	0	0	0
SLPI	0.02421	0.01389	0.02683	0.03195	1.00164	0.47022	0.01926	0.02596	0.02153	0.0153	0.03242	0.01821	0.05579	0.02974
MATN4	0.00079	0.00042	0.00099	0.00127	0.0048	0.00964	0	0	0.00029	0.00052	0	0.00215	0	0
SDC4	0.19112	0.0804	0.10202	0.06393	0.60045	0.43759	0.19195	0.04811	0.12331	0.15176	0.00992	0.21928	0.04922	0.02598
SYS1	0.11978	0.13008	0.12941	0.16081	0.2014	0.09112	0.16243	0.13006	0.16473	0.14496	0.19704	0.14955	0.10902	0.08412
TP53TG5	0.00046	0.00018	0	0.001	0.00066	0.00058	0	0.00954	0.00093	0.00146	0	0	0	0
DBNDD2	0	0.00078	0.00083	0.00061	0.00063	0	0.00129	0.00849	0.00271	0.00192	0	0.00237	0	0
PIGT	0.20207	0.30264	0.13318	0.08263	0.39401	0.21362	0.12929	0.27657	0.29515	0.26433	0.12296	0.19814	0.25106	0.08404
RP3-453C12.15	0.00039	0.00209	0.00408	0.01094	0.00398	0.00385	0.00743	0.00799	0.00245	0.00063	0.03148	0	0.01141	0
RP3-461P17.10	0.00188	0.00218	0.00237	0.00318	0.00505	0.0049	0.00731	0.00227	0.00546	0.00118	0.00222	0.00074	0.00135	0.01325
WFDC2	0.00093	6e-04	0.00245	0.01792	0.34324	0.26933	0.00714	0.02657	0.00293	0.00199	0.02465	0.00253	0.01495	0
WFDC10A	0.00107	0	0	0	0.00313	0.00067	0	0	0	0	0	0	0	0
WFDC10B	0	0	0	0	0.00361	0.00074	0	0.00207	0	0	0	0	0	0
WFDC3	0.0016	0.00223	0.00232	0.00028	0.00453	0.00143	0	0.00434	0.00198	0	0	0.00087	0	0
DNTTIP1	0.09013	0.12938	0.14334	0.04705	0.1498	0.06438	0.06238	0.13962	0.20985	0.13756	0.03949	0.12873	0.09064	0.00761
UBE2C	0.01679	0.04481	0.01212	0.0083	0.15996	0.0556	0.01183	0.05639	1.33585	0.01668	0.00532	0.01326	0.00357	0.00826
TNNC2	0	0	0	0	0.00379	0.00473	0.00358	0.0041	0.00029	0	0.00313	0	0.00181	0
SNX21	0.01059	0.01837	0.00885	0.00412	0.03326	0.01839	0.00393	0.08897	0.02307	0.01732	0	0.01046	0.04741	0.01198
ACOT8	0.04773	0.0832	0.06699	0.02461	0.10843	0.04015	0.0582	0.08086	0.11027	0.07105	0.04461	0.04961	0.06409	0.04309
ZSWIM3	0.00851	0.00994	0.00651	0.00877	0.00872	0.00397	0.00512	0.00612	0.01041	0.00872	0.00086	0.00211	0.0212	0.01678
ZSWIM1	0.00875	0.01233	0.00625	0.00384	0.00992	0.00848	0.00356	0.00433	0.01003	0.0046	0.00313	0.0044	0.01936	0.00896
SPATA25	0.00116	0.00042	0	0	0.00049	0.00111	0	0.003	0	0.00216	0	0	0	0
NEURL2	0.03169	0.01966	0.00616	0.00197	0.05692	0.01329	0.00849	0.03742	0.00681	0.02956	0.00471	0.014	0.00397	0
CTSA	0.52801	0.87919	0.51364	0.17248	0.62908	0.4328	0.21855	0.43373	0.68072	0.79711	0.13826	0.71585	0.34541	0.0523
PLTP	1.53875	1.14465	0.12988	0.01275	0.05557	0.07126	0.0213	0.54246	0.50982	1.47707	0.00744	1.01547	0.04427	0
PCIF1	0.06736	0.05546	0.06807	0.1023	0.06036	0.03084	0.11378	0.07086	0.0932	0.05489	0.0737	0.08721	0.11261	0.12844
ZNF335	0.04921	0.05495	0.06768	0.08183	0.05921	0.06521	0.06993	0.06164	0.06083	0.05761	0.06017	0.05917	0.07294	0.06097
MMP9	1.54963	1.01456	0.19225	0.02518	0.04108	0.07455	0.0641	0.21487	0.65192	1.47488	0.00557	1.00819	0.03895	0
RP11-465L10.10	0.00092	0.00345	0	0.00029	0.00297	0.00065	0.00167	0.00164	0.00053	0.0054	0	0.00206	0.00993	0
SLC12A5	0.13354	0.24856	0.0231	0.00211	0.04664	0.0165	0.01455	0.03349	0.0892	0.24833	0.00356	0.0764	0.02329	0.00889
NCOA5	0.03245	0.06104	0.03364	0.02449	0.06	0.03816	0.04564	0.03956	0.06891	0.04397	0.01742	0.02969	0.05436	0.01289
CD40	0.18045	0.3369	0.24728	0.0096	0.1466	0.08502	0.01627	0.28688	0.17883	0.37902	0.23142	0.31497	0.38096	0.02457
SLC35C2	0.06812	0.11628	0.07574	0.05731	0.22458	0.14377	0.08627	0.13476	0.1077	0.09716	0.04155	0.09258	0.19304	0.0187
ELMO2	0.0287	0.05025	0.03709	0.03347	0.02134	0.01766	0.03054	0.03243	0.04097	0.04944	0.03242	0.04538	0.01635	0.01836
ZNF334	0.00198	0.00169	0.00041	0.00095	0.01101	0.01138	0.00798	0.007	0.00038	0.00547	0	0	0.01764	0
SLC13A3	0.00098	2e-04	0.00177	0	0.01029	0.00604	0	0.00821	0.00045	0	0	0.00091	0.01038	0
TP53RK	0.05185	0.08251	0.04972	0.08354	0.10769	0.05394	0.08267	0.11341	0.10938	0.06471	0.06368	0.06273	0.12571	0.06912
RP1-28H20.3	0.00168	0.00308	0.00616	0.00233	0.00388	0.00306	0.00118	0.00519	0.00287	0.0043	0.00137	0.00637	0.00453	0.01022
SLC2A10	0.00116	0.00811	0.00232	0.00149	0.08307	0.05402	0.00375	0.03199	0.00639	0.00732	0	0.00113	0.01746	0
EYA2	0.00973	0.02399	0	0.00023	0.02215	0.00932	0.00125	0.00257	0.01447	0.03047	0.00582	0.00103	0	0
ZMYND8	0.19836	0.22552	0.13214	0.1008	0.35452	0.30496	0.15512	0.16497	0.25021	0.26871	0.09781	0.18155	0.18835	0.14911
RP4-569M23.5	0.00098	0.00209	0	0.00042	0.00141	0.00124	0	0	0.00081	0.00256	0	0.00085	0.00152	0
RP4-569M23.2	0	0.00089	0.00053	0	0.00159	0.00053	0	0.0026	0	0	0.00484	0.00064	0.00236	0
RP1-148H17.1	0.00021	0	0	0	4e-04	0.00057	0	0	0.00068	0	0.00802	0	0	0
NCOA3	0.20748	0.26848	0.25351	0.18752	0.1687	0.1423	0.33187	0.16041	0.25597	0.2839	0.57488	0.20914	0.27615	0.15118
SULF2	0.37907	0.10403	0.24674	0.04035	0.15756	0.10005	0.05188	0.11651	0.12155	0.25771	0.14121	0.35399	0.61527	0
LINC00494	0.00054	0.00073	0	0	0.00518	0.00478	0	0	0	0	0.00777	0.00224	0	0
RP1-66N13.1	0	0	0	0	0.00086	0.00023	0	0	0	0	0	0	0	0
PREX1	0.12018	0.30265	0.21719	0.20949	0.02247	0.02313	0.25622	0.05109	0.30123	0.25738	0.14585	0.22077	0.15815	0.00889
RP5-906C1.1	0.02238	0.02373	0.02848	0.04231	0.00316	0.00257	0.03913	0.00872	0.0308	0.01323	0.02453	0.02723	0.01138	0.03028
ARFGEF2	0.08249	0.12895	0.06819	0.04346	0.18109	0.14197	0.05337	0.08014	0.12227	0.1155	0.0499	0.10281	0.12172	0.04793
CSE1L-AS1	0.00146	0.00062	0	0	0.00296	0	0.00188	0	0	0	0	0.00096	0	0
CSE1L	0.14013	0.19039	0.12371	0.03662	0.25764	0.09246	0.04615	0.10982	0.3864	0.16103	0.03126	0.11514	0.10562	0.0273
STAU1	0.35226	0.3377	0.21336	0.28452	0.68423	0.25219	0.30274	0.39014	0.33812	0.40897	0.22153	0.31941	0.39369	0.15747
DDX27	0.14496	0.22194	0.23298	0.26679	0.36188	0.1852	0.31724	0.21695	0.29744	0.23487	0.26866	0.2314	0.15294	0.24179
ZNFX1	0.11382	0.15069	0.10244	0.13289	0.08014	0.0706	0.13348	0.14674	0.16082	0.16896	0.06688	0.14834	0.13804	0.07221
ZFAS1	1.22478	0.95016	1.30057	0.9959	1.72227	0.92206	0.98402	1.07609	1.02124	1.03266	1.13633	1.18359	0.89786	1.13772
KCNB1	0	0	0	0	0.00037	0.00017	0	0.00723	0	0.00148	0	0	0.01476	0
PTGIS	0.00093	0.00196	0	0.00187	0.08082	0.05286	0.00094	0.0891	0	0	0	0.00198	0.00351	0
B4GALT5	0.25501	0.13452	0.18605	0.10325	0.17983	0.09876	0.07461	0.14264	0.12643	0.19872	0.03678	0.25219	0.22089	0.43848
SLC9A8	0.02644	0.0384	0.03134	0.02702	0.03988	0.0295	0.03106	0.0168	0.03954	0.03372	0.0091	0.02466	0.05808	0.02397
SPATA2	0.02061	0.02188	0.01786	0.02596	0.03937	0.02009	0.02045	0.03221	0.0248	0.01621	0.02975	0.0177	0.02559	0.02092
RNF114	0.26356	0.35795	0.26138	0.22775	0.32792	0.15934	0.2652	0.23323	0.31073	0.31605	0.22259	0.28877	0.16587	0.14593
SNAI1	0.05179	0.05483	0.19187	0.01847	0.03266	0.02061	0.00474	0.06788	0.07353	0.03777	0.02577	0.15798	0.38336	0.03309
UBE2V1	0.07103	0.07326	0.0612	0.06492	0.07361	0.05148	0.10893	0.10646	0.06887	0.07423	0.05887	0.08233	0.04974	0.0953
TMEM189	0.10799	0.10911	0.09271	0.06291	0.17446	0.08018	0.07563	0.12478	0.12709	0.10515	0.04376	0.11888	0.12586	0.04706
RP11-112L6.3	0.00179	0.00082	0.00105	0	0.01356	0.00463	0	0	0.0019	0	0.003	0	0	0
LINC01273	0.00049	0	0	0	0.00711	0.00127	0	0.00374	0	0	0	0	0.0019	0
CEBPB-AS1	0.00226	0.00164	0.00109	0.00146	0.00232	0.00271	0.00274	0.0069	0.00057	0.00203	0.00434	0.0018	0	0
CEBPB	1.62473	1.18954	1.40055	0.42937	0.99313	0.65816	0.32659	1.01944	1.03014	1.41506	0.26742	1.58724	0.30183	0.6388
LINC01272	0.93201	0.14021	0.70753	0.00749	0.01273	0.02086	0.00236	0.07134	0.2223	0.40458	0.01301	0.72685	0.01247	0
LINC01270	0.01224	0.00286	0.00343	0.00038	0.01342	0.00533	0	0.00224	0.00306	0.00398	0	0.00846	0.00171	0
LINC01271	0	0	0	0	0.00068	0.00225	0	0	0	0	0	0	0	0
PTPN1	0.2465	0.27665	0.25248	0.2184	0.14241	0.07392	0.36839	0.24529	0.32326	0.37204	0.42813	0.38528	0.17563	0.13142
RP4-530I15.9	0.00086	0.00082	0	0.00101	0.00013	3e-04	0	0	0.00117	0	0	0.00118	0	0
FAM65C	0.00225	0.00107	0.00264	0.00149	0.00071	0.00142	0.00454	0.00423	0.00136	0.00251	0	0.00433	0	0
RP4-530I15.6	0	0	0	0.00042	0.00059	0	0	0.00259	0	0	0	0	0	0
PARD6B	0.01239	0.00691	0.00857	0.02064	0.20346	0.10675	0.01406	0.0052	0.01722	0.00945	0.01104	0.01024	0	0.02652
BCAS4	0.00402	0.00301	0.00189	0.05225	0.07342	0.03092	0.03603	0.0217	0.01795	0.0026	0.17498	0.00524	0.00214	0.00963
ADNP	0.16217	0.21486	0.14828	0.16279	0.2703	0.13615	0.15189	0.26699	0.25427	0.20284	0.13791	0.13472	0.19856	0.07611
ADNP-AS1	0.00409	0.00528	0.00139	0.00172	0.00876	0.00431	0.00235	0.00258	0.00269	0.00381	0.00584	0.00371	0.00444	0
DPM1	0.17861	0.19015	0.18508	0.08566	0.31294	0.0985	0.11713	0.22627	0.24781	0.18657	0.09673	0.18898	0.20147	0.05315
MOCS3	0.02103	0.01989	0.00731	0.00556	0.04428	0.01658	0.00792	0.02036	0.0214	0.01363	0.01595	0.00977	0.0219	0.01161
KCNG1	0.00087	0.00039	0	0	0.00373	0.00093	0	0.01542	0.00115	0.00118	0	0	0	0
NFATC2	0.05113	0.26968	0.07383	0.20604	0.07139	0.05028	0.11587	0.07909	0.18839	0.21207	0.08819	0.07933	0.22279	0.07192
ATP9A	0.00871	0.00561	0.00403	0.00758	0.19367	0.13722	0.0115	0.03734	0.01204	0.00404	0.00293	0.00361	0.05737	0
SALL4	0.00066	0.00141	0.00077	0.00034	0.03482	0.04617	0	0.00165	0.00332	0.00115	0	0.00087	0	0
ZFP64	0.02102	0.02786	0.01064	0.01473	0.05446	0.02555	0.01634	0.0458	0.01678	0.02351	0.01318	0.01577	0.032	0.01653
TSHZ2	0.00883	0.00636	0.00252	0.04565	0.19146	0.18358	0.14595	0.07219	0.02057	0.00414	0.05462	0.00432	1.16679	0.02754
RP4-669H2.1	0	0	0	0	0.00055	0.00069	0.00093	0	0	0	0	0	0	0
RP4-724E16.2	0.00079	0.00104	0.00179	0.00165	0.00102	0	0.00155	0	0.00097	0	0	0.00076	0	0
ZNF217	0.16406	0.30886	0.2582	0.12236	0.148	0.14592	0.12423	0.17712	0.28533	0.29053	0.06695	0.1855	0.09568	0.03307
BCAS1	0.00127	0.0015	0.00338	0.01449	0.1995	0.18639	0.00628	0.00181	0.00262	0.00292	0.00378	0.00538	0.02873	0.01792
CYP24A1	0	0.00101	0.00079	0.00077	0.01429	0.01026	0	0	0.00057	0	0	0	0.00407	0
PFDN4	0.24847	0.28213	0.23908	0.17122	0.56737	0.19525	0.29748	0.3269	0.34218	0.25323	0.16667	0.27463	0.34484	0.10281
DOK5	0.00071	0.00176	0	0.00072	0.00153	0.00316	0.00723	0.02088	0.001	0.00099	0.00107	0.00221	0.10333	0
FAM210B	0.17879	0.17588	0.08099	0.0493	0.1843	0.08289	0.0825	0.25601	0.08463	0.18169	0.02582	0.14378	0.20253	0.05471
AURKA	0.02428	0.04319	0.03038	0.00983	0.07283	0.02909	0.01818	0.02081	0.54917	0.04024	0.00647	0.0477	0.02143	0.03941
CSTF1	0.06299	0.08823	0.06113	0.033	0.12177	0.03599	0.06185	0.07482	0.13345	0.08066	0.02831	0.04676	0.04543	0.07536
CASS4	0.04008	0.102	0.06094	0.03056	0.00282	0.00629	0.00823	0.01373	0.04486	0.11554	0.01368	0.05374	0	0.08797
RTFDC1	0.31018	0.39575	0.3535	0.20113	0.34258	0.132	0.30577	0.35397	0.45766	0.33701	0.20097	0.4057	0.29406	0.42985
FAM209A	0.00345	0.00032	0.00075	0.00184	0.00089	0.00195	0.00092	0	0.00321	0.00185	0.00066	0.00066	0	0
FAM209B	0	0.00184	0.00238	0.00115	0.00233	0.00152	0.00078	0	0.00224	0.002	0	0.00129	0	0
TFAP2C	0.00163	0.00301	0	8e-04	0.0195	0.01324	0	0	0	0.00203	0.00421	0.00104	0.00442	0
BMP7	0.00165	0.00021	0	0.00025	0.00597	0.00129	0	0	0	0	0	0.00058	0	0
RAE1	0.05308	0.11946	0.12744	0.06434	0.18141	0.05573	0.06805	0.10654	0.1476	0.08713	0.06623	0.08972	0.05227	0.13026
RP4-800J21.3	0	8e-04	0.00444	0.01858	0.00058	0.00164	0.01406	0	0.00721	0.00133	0.02168	0.0036	0.00593	0.01163
RBM38	0.05754	0.08125	0.08923	0.41769	0.08247	0.04907	0.36228	0.02938	0.14505	0.09655	0.51279	0.07609	0.06186	0.15382
CTCFL	0	0	0.00128	0.00063	0.00048	0.00023	0	0	0	0	0	0	0	0
PCK1	0.00275	0.00105	0.00144	0.00609	0.1025	0.09203	0.00271	0.01161	0.00242	0	0.00116	0	0	0
ZBP1	0.00143	0.00338	0.00513	0.07694	0.00478	0.0027	0.08363	0.00133	0.02385	0.00188	0.15198	0.00499	0.00337	0
PMEPA1	0.02558	0.03379	0.0293	0.60728	0.59982	0.48862	0.21245	1.02528	0.05055	0.02361	0.30339	0.0509	0.62388	0.63858
NKILA	0.00037	0.00433	0.00359	0.0258	0.06665	0.06609	0.00723	0.01915	0.00512	0.00319	0.00814	0.00396	0.0324	0.03592
RAB22A	0.16166	0.17752	0.14951	0.17673	0.2207	0.09325	0.14366	0.19141	0.23586	0.18749	0.13271	0.16344	0.17814	0.09317
VAPB	0.07268	0.07514	0.04314	0.0785	0.14456	0.08194	0.06644	0.07691	0.1073	0.07308	0.10513	0.05384	0.10063	0.04884
STX16	0.12515	0.19752	0.1677	0.17902	0.24639	0.19866	0.18072	0.22213	0.20247	0.21337	0.14586	0.1451	0.41081	0.12473
STX16-NPEPL1	0	0.00127	0.00207	0.00073	0	0.00083	0.00126	0	0	0	0	0.00269	0	0
NPEPL1	0.05989	0.09082	0.06558	0.03242	0.14703	0.1326	0.05008	0.09385	0.07118	0.07697	0.02429	0.05639	0.13506	0.0355
RP4-806M20.4	0.0012	0	0	0.00034	0.00809	0.00874	0	0.00082	0	0	0	0.001	0	0
GNAS-AS1	6e-04	6e-04	0	0.00033	0.00936	0.00836	0	0.0025	0	0.00096	0	0	0	0
RP4-806M20.3	0	0	0	0	0.00027	7e-04	0	0	0	0	0	0	0	0
GNAS	2.07529	1.77987	1.43076	1.2003	1.02982	0.60885	1.4153	1.9341	1.84049	1.93705	1.17219	1.80908	1.77871	1.10719
NELFCD	0.08385	0.11743	0.12413	0.13778	0.23925	0.16197	0.141	0.15427	0.17523	0.10168	0.18243	0.09737	0.19573	0.03721
CTSZ	1.89259	2.35226	1.45308	0.14077	0.55495	0.33997	0.3642	0.7993	1.61158	2.54314	0.43443	1.94434	0.38824	0.18355
TUBB1	0	0.00036	0.00149	0.00033	0.00092	0.00098	0	0	0.00047	0	0.00304	0	0.00316	0
ATP5E	2.55333	2.76811	2.89229	2.19891	2.31927	1.37494	2.84005	2.2662	2.75696	2.65327	1.87145	2.8233	2.12993	2.06013
PRELID3B	0.18109	0.18994	0.14807	0.16412	0.29176	0.10034	0.15803	0.15105	0.2776	0.16495	0.15867	0.22935	0.17453	0.12916
RP3-492J12.2	0	0.00088	0.00221	0.01307	0.00027	0.00107	0.03652	0	0.00392	0	0.00219	0	0	0
ZNF831	0.00051	0.00102	9e-04	0.0464	0.00099	0.00067	0.05191	0.00203	0.01192	0	0.00519	0.00121	0	0
EDN3	0	2e-04	0	0.00075	0.00616	0.00371	0	0	0	0	0	0	0	0
PHACTR3	0	0	0	0.00068	0.00976	0.0019	0	0.00396	0	0	0	0.00181	0.0025	0
SYCP2	0.00089	0.0087	0.003	0.00773	0.01476	0.00606	0.00895	0.028	0.02514	0.00484	0.00158	0.00299	0.01491	0
FAM217B	0.06522	0.09134	0.06289	0.06407	0.1275	0.05704	0.09103	0.10191	0.11605	0.09219	0.06344	0.05695	0.05632	0.04479
PPP1R3D	0.02958	0.03345	0.03237	0.01964	0.02435	0.01565	0.01437	0.02334	0.02692	0.03151	0.02137	0.01434	0.01816	0.01744
CDH26	0	0.00062	0.00067	0.00061	0.00081	0.00056	0.00152	0.00419	0.00071	0.00362	0	0	0.02699	0
C20orf197	0.00148	0.0048	0.00456	0.00187	0.00024	0.00074	0.0014	0	0.011	0.0018	0	0.0059	0	0
MIR646HG	0.00092	0.00233	0.0042	0.00129	4e-05	0	0.00147	0.00155	0.00356	0.00078	0.00355	6e-04	0	0
RP11-429E11.3	0	0.00019	0	0.00241	5e-05	0	0.00284	0	0	0	0	0	0	0.0122
TAF4	0.03672	0.05493	0.03095	0.02205	0.0605	0.0467	0.02722	0.02904	0.05705	0.05219	0.00968	0.02603	0.06631	0.02056
RP11-11M20.4	0.00223	0.00261	0.00183	0.00877	0.00425	0.01878	0.00205	0.00198	0.00402	0.00254	0.00382	0.00378	0.02189	0.00844
LSM14B	0.05816	0.07371	0.05057	0.04794	0.06245	0.04663	0.04141	0.04977	0.06923	0.06805	0.04342	0.05133	0.07227	0.01987
PSMA7	1.19719	1.30295	1.25945	0.96789	1.2405	0.44938	1.26243	1.26892	1.57238	1.20885	0.69655	1.37857	0.96617	0.8039
SS18L1	0.03699	0.05086	0.04089	0.03223	0.06736	0.06589	0.02894	0.04453	0.04092	0.0561	0.03607	0.04619	0.13724	0.04376
MTG2	0.053	0.08265	0.06808	0.0378	0.15916	0.0857	0.05364	0.08438	0.08914	0.07194	0.05349	0.06522	0.09878	0.01122
OSBPL2	0.05043	0.05863	0.04055	0.05376	0.13765	0.10164	0.06016	0.04647	0.0713	0.06122	0.04926	0.05512	0.073	0.03514
ADRM1	0.28807	0.38415	0.33641	0.26248	0.47463	0.1897	0.31708	0.30779	0.54507	0.34796	0.22816	0.38233	0.36542	0.30069
RP11-157P1.4	0	0	0.00278	0	0.00789	0.00997	0.0012	0.01189	0.00095	0	0.00236	0.00153	0.04655	0
LAMA5	0.00597	0.00479	0.0056	0.00363	0.09208	0.09823	0.00471	0.18656	0.00614	0.00294	0.02325	0.00398	0.44639	0
RP5-908M14.9	0.00741	0.00749	0.00824	0.00481	0.03509	0.0172	0.00845	0.01363	0.01061	0.00688	0.01215	0.01092	0.00852	0.01741
RPS21	1.96352	2.14817	2.51415	2.80868	2.87906	1.68968	2.73958	2.23809	2.48605	2.00044	2.74478	2.35148	2.33693	2.71672
CABLES2	0.01294	0.01282	0.01182	0.00692	0.01099	0.00738	0.0117	0.0063	0.02664	0.00997	0.00231	0.00703	0.00731	0.01087
RBBP8NL	0.00054	0.00027	0	0.00082	0.01467	0.0114	0	0.00356	0	0	0	0	0.00351	0
RP5-908M14.5	0	0	0	0	0.00107	0.00018	0	0	0	0	0	0	0	0
WI2-87327B8.2	0.01511	0.00086	0	0	0.00058	0	0	0	0.00276	0.00422	0	0.0039	0	0
RP11-93B14.6	0	0.00042	0	0.00107	0.00137	0.00156	0.00389	0	0.00028	0.00098	0.00203	0.00146	0	0
SLCO4A1	0.24682	0.01828	0.02117	0.01688	0.03723	0.03076	0.04959	0.0178	0.04086	0.04191	0.0581	0.1016	0.03874	0.0186
RP11-93B14.9	0.01178	0.0085	0.00751	0.00618	0.00595	0.00448	0.01356	0	0.0019	0.01681	0.01073	0.00487	0	0
RP11-93B14.10	0	0.00077	6e-04	0.0011	0.00016	0.00037	0	0	0	0	0	0.00103	0.00494	0
SLCO4A1-AS1	0.00071	0	0.00115	0.00065	0.02317	0.01472	0.00142	0	0.00078	9e-04	0.00317	0	0	0
NTSR1	0.00301	0.00038	0.00575	0.00123	0.00075	0	0.0113	0	0.00266	0	0	0.00425	0	0
LINC00659	0	0	0.00242	0.00148	0.00251	0.00197	0.00521	0	0.0035	0	0	0	0	0
MRGBP	0.11035	0.07528	0.0662	0.0547	0.1551	0.05684	0.06112	0.08795	0.13254	0.10252	0.06947	0.11009	0.10313	0.0127
OGFR-AS1	0	0.00076	6e-04	0	0.0014	0.00077	0	0	0.00101	0	0	0	0	0
OGFR	0.21369	0.26869	0.27646	0.14466	0.19425	0.12694	0.14351	0.16639	0.29012	0.26182	0.20917	0.25961	0.1488	0.15128
COL9A3	0.00266	0.00357	0.00791	0.0017	0.04808	0.01325	0.00161	0.00746	0.008	0.0043	0.19175	0.00359	0.05849	0.00844
TCFL5	0.00673	0.01588	0.01841	0.00837	0.03367	0.01637	0.00534	0.01495	0.02842	0.01498	0.01402	0.01355	0.06836	0
DIDO1	0.08875	0.09272	0.07446	0.0846	0.12921	0.10821	0.10351	0.13401	0.11966	0.09128	0.06603	0.0677	0.13733	0.06997
RP4-563E14.1	0.00646	0.00438	0.00527	0.00655	0.01322	0.02276	0.00495	0.00396	0.0084	0.00548	0.00117	0.00469	0.01114	0
GID8	0.20901	0.17548	0.14002	0.11256	0.29783	0.12355	0.16459	0.17614	0.23894	0.18937	0.13787	0.19261	0.18872	0.15798
SLC17A9	0.04789	0.07293	0.04581	0.00965	0.22369	0.19607	0.00995	0.04517	0.08051	0.09369	0.05623	0.06634	0.01236	0.02573
HAR1B	0	0.00058	0	0.00163	0.00016	0.00036	0.00372	0	0.00051	0	0	0	0	0
HAR1A	0.00047	0.00095	0	0.00329	0.00245	0.00152	0.00527	0.00777	0	0	0	0	0.00275	0
YTHDF1	0.09825	0.125	0.09354	0.09041	0.19273	0.08869	0.0921	0.14071	0.1419	0.14573	0.09922	0.10641	0.13212	0.17517
RP5-963E22.6	0	0.00032	0	0.00061	0.00304	0	0	0	0.00164	0	0	0	0	0
BIRC7	0.05456	0.01315	0	0.00073	0.00449	0.00441	0.00171	0.00477	0.00653	0.04598	0.00202	0.00989	0	0
ARFGAP1	0.05935	0.08194	0.05608	0.03479	0.14212	0.17996	0.04012	0.06977	0.07699	0.08521	0.0282	0.05883	0.09529	0.02366
EEF1A2	0.00186	0.00041	0.00357	0.00194	0.01621	0.01324	0.00911	0	0.00194	0.00126	0.00441	0.00078	0.02369	0
PPDPF	1.15846	0.53511	0.40063	0.8162	0.88653	0.61051	0.7252	0.76667	0.77018	0.74179	0.57638	0.85271	0.68812	0.87543
PTK6	0.01517	0.00613	0.00281	0.00798	0.11321	0.0729	0.00237	0	0.00491	0.00795	0.00316	0.00814	0	0.01569
RP4-697K14.15	6e-04	0	0	0.001	0.00158	0.00331	0	0.00181	0	0	0.00412	0	0	0
C20orf195	0	0	0	0.00207	0.00112	0.00146	0.00106	0	0	0	0.0035	0	0.00276	0
HELZ2	0.02784	0.02917	0.04262	0.07738	0.07124	0.06612	0.08815	0.05557	0.03575	0.03889	0.05531	0.0456	0.09276	0.04937
GMEB2	0.01541	0.0275	0.02537	0.03727	0.04983	0.03603	0.03678	0.03624	0.05479	0.02058	0.03151	0.0249	0.05006	0.01413
CTD-3184A7.4	0.02527	0.03282	0.02638	0.06856	0.07782	0.07875	0.0333	0.02237	0.02668	0.01546	0.05777	0.04042	0.03216	0
STMN3	0.00119	0.00415	0.00521	0.06976	0.01165	0.0079	0.04693	0.08417	0.02072	0.00541	0.0121	0.00307	0.07162	0.02723
RTEL1-TNFRSF6B	0.00074	0.00159	0.00567	0.00057	0.00033	8e-04	0	0.00189	0.00138	0.00131	0	0.00208	0	0
ARFRP1	0.10014	0.15107	0.09984	0.08142	0.20496	0.11991	0.16239	0.18844	0.17318	0.13805	0.10401	0.10333	0.25985	0.06985
ZGPAT	0.00032	0.00379	0.00546	0.00363	0.00272	2e-04	0.00493	0	0.00105	0.00212	0.00221	0.00171	0.00961	0
RP4-583P15.15	0	0.00166	0	0.00078	0.00077	0.00057	0.00259	0.00131	0.00047	0	0.00026	0.00075	0	0
RP4-583P15.16	0	0.00057	0	0.00129	0.00047	0.00104	0	0	0	0	0.00159	0	0	0
LIME1	0	0.00028	0	0.00202	0.00146	0.00043	0.00102	0	0.00146	0	0	9e-04	0	0
SLC2A4RG	0.12942	0.11497	0.06489	0.20263	0.33059	0.16144	0.18244	0.2275	0.27242	0.12756	0.05827	0.11791	0.13403	0.0352
ZBTB46	0.0155	0.04046	0.01804	0.00338	0.01133	0.01141	0.01059	0.07888	0.02265	0.04786	0.00086	0.02309	0.10136	0
RP4-583P15.10	0	0	0.00072	0.00132	0.00134	0.00327	0.00241	0	0.00235	0	0	0	0	0
RP4-591C20.9	0.0394	0.02384	0.0279	0.00782	0.01609	0.01955	0.01287	0.01369	0.03089	0.0268	0	0.02504	0.01532	0
TPD52L2	0.4125	0.34822	0.21243	0.07383	0.17261	0.10368	0.09578	0.2097	0.32233	0.4291	0.06369	0.43558	0.19227	0.16127
DNAJC5	0.1504	0.14443	0.09208	0.0582	0.10537	0.07307	0.04331	0.0524	0.129	0.15914	0.04441	0.16495	0.0866	0.04868
UCKL1	0.05901	0.0687	0.06104	0.05396	0.09038	0.04708	0.05435	0.09349	0.08322	0.06389	0.04895	0.06383	0.05698	0.0754
UCKL1-AS1	0.00203	0.00504	0.00569	0.01437	0.00367	0.00169	0.00351	0.00365	0.00633	0.00599	0.00244	0.00599	0.00818	0
ZNF512B	0.01884	0.02398	0.00573	0.01774	0.069	0.06718	0.03619	0.04654	0.0199	0.01255	0.0063	0.0114	0.06755	0.04418
SAMD10	0.00582	0.00993	0.00665	0.02663	0.03431	0.03396	0.03678	0.01055	0.01586	0.01083	0.01621	0.00655	0.00328	0.03497
