DC	Mono/Macro	CD8T	Malignant	Epithelial	Treg	Fibroblasts	Tprolif	B	Endothelial	Mast
THAP3	0.03724	0.04527	0.02533	0.04251	0.02012	0.02545	0.07193	0.04966	0.04482	0.0429	0.05128
DNAJC11	0.05312	0.05531	0.01752	0.05007	0.03145	0.02102	0.05485	0.06275	0.02255	0.07831	0.02159
RP11-312B8.1	0.00054	0.00024	0.00077	0.00068	0.00059	0	0.00267	0	0	0	0
CAMTA1	0.46958	0.43596	0.18155	0.39396	0.14464	0.24772	0.53109	0.53814	0.19081	0.544	0.28921
VAMP3	0.39943	0.3328	0.06026	0.10804	0.05124	0.05334	0.22282	0.29933	0.05578	0.33807	0.14121
PER3	0.08755	0.09822	0.01177	0.05018	0.05383	0.01285	0.0927	0.06077	0.01519	0.13747	0.02447
UTS2	0.09291	0.06668	0.08303	0.00393	0.00802	0.1961	0.01674	0.09681	0.01906	0.00929	0.14142
TNFRSF9	0.02556	0.01749	0.08261	0.00541	0.01017	0.5234	0.00716	0.06993	0.0084	0.00513	0.35183
PARK7	0.74394	0.81768	0.56103	0.88076	0.33037	1.25747	1.19895	1.18591	0.43821	0.74645	0.70546
ERRFI1	0.07275	0.03102	0.03031	0.23384	0.15824	0.01855	0.09458	0.0413	0.00798	0.01999	0.04373
RP11-431K24.1	0.00228	0.00046	3e-04	0.00467	0.0098	0.00409	0.01033	0.00434	0	0	0
SLC45A1	0.00064	0.00077	0.00212	0.00013	0	0.00302	0.01311	0	0	0.01324	0
RERE	0.11868	0.15036	0.10559	0.12135	0.13768	0.11554	0.23307	0.15673	0.18772	0.4371	0.25504
ENO1	2.06391	1.51905	0.67704	1.33742	0.66468	1.23186	1.17886	2.02238	0.37828	1.00122	0.58444
ENO1-AS1	0.00103	0.0032	0.00243	0.00288	0.00122	0	0.0015	0.00343	0	0.00392	0
SLC2A5	0.52228	0.09234	0.00483	0.00755	0.01068	0.00353	0.02667	0.18766	0.0288	0.00677	0
GPR157	0.04507	0.02449	0.00677	0.03934	0.02574	0.00397	0.01141	0.01415	0.04258	0.00989	0
MIR34AHG	0.02968	0.02111	0.00569	0.01653	0.03217	0.00363	0.01986	0.01598	0.00487	0.04299	0
RP3-510D11.2	0.00152	0.00296	0.00141	0.00669	0.00438	0.00143	0.01192	0.00044	0.00316	0.00157	0
H6PD	0.04559	0.04744	0.02264	0.08238	0.07919	0.03311	0.06809	0.03882	0.02235	0.14271	0.093
SPSB1	0.03899	0.00422	0.04407	0.02883	0.01132	0.03892	0.0671	0.01606	0.02822	0.17105	0.15038
SLC25A33	0.06915	0.06794	0.07651	0.08758	0.03263	0.04193	0.05469	0.0756	0.10248	0.07352	0.11844
TMEM201	0.0137	0.013	0.01022	0.01118	0.00967	0.00452	0.01818	0.02326	0.0193	0.0385	0.01034
PIK3CD	0.0738	0.11103	0.09379	0.00516	0.01071	0.06219	0.04124	0.16603	0.03271	0.00704	0.0618
PIK3CD-AS1	0.00073	0.00474	0.00184	3e-05	0	0	0.00152	0.00622	0.00222	0	0
PIK3CD-AS2	0.00697	0.00387	0.00368	0.08543	0.02589	0.02745	0.05487	0.01207	0.03344	0.0045	0.01933
CLSTN1	0.08513	0.09858	0.0919	0.13247	0.10479	0.12877	0.21362	0.12466	0.05717	0.24017	0.03723
CTNNBIP1	0.1364	0.13773	0.04146	0.11511	0.05537	0.06006	0.11511	0.18429	0.03008	0.11224	0.04822
LZIC	0.23046	0.18713	0.08907	0.12916	0.04394	0.13736	0.23562	0.30702	0.05544	0.10962	0.05016
